linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
029_0001,Раманы,epub,/Jakub_Kolas/Na_rostaniach.epub,,,На ростанях,/Jakub_Kolas/Na_rostaniach.html
029_0002,П'есы,epub,/Jakub_Kolas/Antos_Lata.epub,,,Антось Лата,/Jakub_Kolas/Antos_Lata.html
029_0003,П'есы,epub,/Jakub_Kolas/Vajna_vajnie.epub,,,Вайна вайне,/Jakub_Kolas/Vajna_vajnie.html
029_0004,П'есы,epub,/Jakub_Kolas/Zabastouscyki.epub,,,Забастоўшчыкі,/Jakub_Kolas/Zabastouscyki.html
029_0005,П'есы,epub,/Jakub_Kolas/Na_darozie_zyccia.epub,,,На дарозе жыцця,/Jakub_Kolas/Na_darozie_zyccia.html
029_0006,П'есы,epub,/Jakub_Kolas/U_puscach_Palessia.epub,,,У пушчах Палесся,/Jakub_Kolas/U_puscach_Palessia.html
029_0007,Паэмы,epub,/Jakub_Kolas/Adplata.epub,,,Адплата,/Jakub_Kolas/Adplata.html
029_0008,Паэмы,epub,/Jakub_Kolas/Na_slachach_voli.epub,,,На шляхах волі,/Jakub_Kolas/Na_slachach_voli.html
029_0009,Паэмы,epub,/Jakub_Kolas/Novaja_ziamla.epub,,,Новая зямля,/Jakub_Kolas/Novaja_ziamla.html
029_0010,Паэмы,epub,/Jakub_Kolas/Rybakova_chata.epub,,,Рыбакова хата,/Jakub_Kolas/Rybakova_chata.html
029_0011,Паэмы,epub,/Jakub_Kolas/Sud_u_lesie.epub,,,Суд у лесе,/Jakub_Kolas/Sud_u_lesie.html
029_0012,Паэмы,epub,/Jakub_Kolas/Symon-muzyka.epub,,,Сымон-музыка,/Jakub_Kolas/Symon-muzyka.html
029_0013,Вершы,epub,"/Jakub_Kolas/I_ja_stary,_stary_i_moj_susied.epub",,,"""I я стары, стары і мой сусед...""","/Jakub_Kolas/I_ja_stary,_stary_i_moj_susied.html"
029_0014,Вершы,epub,"/Jakub_Kolas/Adstanu_ja,_i_cas_razluki.epub",,,"""Адстану я, і час разлукі...""","/Jakub_Kolas/Adstanu_ja,_i_cas_razluki.html"
029_0015,Вершы,epub,/Jakub_Kolas/Adstupilasia_radasc_maja_ad_mianie.epub,,,"""Адступілася радасць мая ад мяне...""",/Jakub_Kolas/Adstupilasia_radasc_maja_ad_mianie.html
029_0016,Вершы,epub,/Jakub_Kolas/Boza_moj_Kali_paustanie.epub,,,"""Божа мой! Калі паўстане...""",/Jakub_Kolas/Boza_moj_Kali_paustanie.html
029_0017,Вершы,epub,"/Jakub_Kolas/Butelecka,_butelecka.epub",,,"""Бутэлечка, бутэлечка...""","/Jakub_Kolas/Butelecka,_butelecka.html"
029_0018,Вершы,epub,/Jakub_Kolas/Byvaje_muzyka_i_u_stuku.epub,,,"""Бывае музыка і ў стуку...""",/Jakub_Kolas/Byvaje_muzyka_i_u_stuku.html
029_0019,Вершы,epub,/Jakub_Kolas/Byu_u_Taskiencie_Kolas_Jakub.epub,,,"""Быў у Ташкенце Колас Якуб...""",/Jakub_Kolas/Byu_u_Taskiencie_Kolas_Jakub.html
029_0020,Вершы,epub,/Jakub_Kolas/Voraham_za_sto.epub,,,"""Ворагам...""",/Jakub_Kolas/Voraham_za_sto.html
029_0021,Вершы,epub,/Jakub_Kolas/Vos_staraja_chatka.epub,,,"""Вось старая хатка...""",/Jakub_Kolas/Vos_staraja_chatka.html
029_0022,Вершы,epub,/Jakub_Kolas/Vyhladajes_ty_jasnaj_viasnoj.epub,,,"""Выглядаеш ты яснай вясной...""",/Jakub_Kolas/Vyhladajes_ty_jasnaj_viasnoj.html
029_0023,Вершы,epub,/Jakub_Kolas/Vylez_z_dziebrau_zvier_lutuscy.epub,,,"""Вылез з дзебраў звер лютушчы...""",/Jakub_Kolas/Vylez_z_dziebrau_zvier_lutuscy.html
029_0024,Вершы,epub,/Jakub_Kolas/Hod_za_hodam_nieuzamietki.epub,,,"""Год за годам неўзаметкі...""",/Jakub_Kolas/Hod_za_hodam_nieuzamietki.html
029_0025,Вершы,epub,/Jakub_Kolas/Hod_za_hodam_uciakaje.epub,,,"""Год за годам уцякае...""",/Jakub_Kolas/Hod_za_hodam_uciakaje.html
029_0026,Вершы,epub,"/Jakub_Kolas/Hudzie_ziamla,_dryzac_lasy.epub",,,"""Гудзе зямля, дрыжаць лясы...""","/Jakub_Kolas/Hudzie_ziamla,_dryzac_lasy.html"
029_0027,Вершы,epub,/Jakub_Kolas/Huscieje_nad_stomlenym_svietam_imhla.epub,,,"""Гусцее над стомленым светам імгла...""",/Jakub_Kolas/Huscieje_nad_stomlenym_svietam_imhla.html
029_0028,Вершы,epub,"/Jakub_Kolas/Davaj_pahamonim,_Jakubie,_z_taboju.epub",,,"""Давай пагамонім, Якубе, з табою...""","/Jakub_Kolas/Davaj_pahamonim,_Jakubie,_z_taboju.html"
029_0029,Вершы,epub,/Jakub_Kolas/Dahladala_Alena_karovu.epub,,,"""Даглядала Алена карову...""",/Jakub_Kolas/Dahladala_Alena_karovu.html
029_0030,Вершы,epub,/Jakub_Kolas/Daj_zirnu_u_svajo_vakonca.epub,,,"""Дай зірну ў сваё ваконца...""",/Jakub_Kolas/Daj_zirnu_u_svajo_vakonca.html
029_0031,Вершы,epub,/Jakub_Kolas/Darahi_Siarhiej_Iosifavic.epub,,,"""Дарагі Сяргей Іосіфавіч!""",/Jakub_Kolas/Darahi_Siarhiej_Iosifavic.html
029_0032,Вершы,epub,/Jakub_Kolas/Daroha_ad_kurhana.epub,,,"""Дарога...""",/Jakub_Kolas/Daroha_ad_kurhana.html
029_0033,Вершы,epub,"/Jakub_Kolas/Dzie_b_ni_byu_ja,_sto_b_ni_dumau.epub",,,"""Дзе б ні быў я, што б ні думаў...""","/Jakub_Kolas/Dzie_b_ni_byu_ja,_sto_b_ni_dumau.html"
029_0034,Вершы,epub,/Jakub_Kolas/Dni_iduc_za_dniami.epub,,,"""Дні ідуць за днямі...""",/Jakub_Kolas/Dni_iduc_za_dniami.html
029_0035,Вершы,epub,"/Jakub_Kolas/Dumki_ujucca,_tomiac_hrudzi.epub",,,"""Думкі ўюцца, томяць грудзі...""","/Jakub_Kolas/Dumki_ujucca,_tomiac_hrudzi.html"
029_0036,Вершы,epub,/Jakub_Kolas/Josc_u_nas_haspadary.epub,,,"""Ёсць у нас гаспадары...""",/Jakub_Kolas/Josc_u_nas_haspadary.html
029_0037,Вершы,epub,"/Jakub_Kolas/Zapytaj_ty_siabie,_calavieca.epub",,,"""Запытай ты сябе, чалавеча...""","/Jakub_Kolas/Zapytaj_ty_siabie,_calavieca.html"
029_0038,Вершы,epub,/Jakub_Kolas/Kali_na_zjezdzie_ci_na_schodzie.epub,,,"""Калі на з’ездзе ці на сходзе...""",/Jakub_Kolas/Kali_na_zjezdzie_ci_na_schodzie.html
029_0039,Вершы,epub,"/Jakub_Kolas/Lud_stohnie,_haruje_pad_ciazaram_mieca.epub",,,"""Люд стогне, гаруе пад цяжарам меча...""","/Jakub_Kolas/Lud_stohnie,_haruje_pad_ciazaram_mieca.html"
029_0040,Вершы,epub,"/Jakub_Kolas/Lazu_ja_chvory,_aslabiely.epub",,,"""Ляжу я хворы, аслабелы...""","/Jakub_Kolas/Lazu_ja_chvory,_aslabiely.html"
029_0041,Вершы,epub,/Jakub_Kolas/Mnoha_slaunienkich_kutockau.epub,,,"""Многа слаўненькіх куточкаў...""",/Jakub_Kolas/Mnoha_slaunienkich_kutockau.html
029_0042,Вершы,epub,"/Jakub_Kolas/Moj_zrok,_jak_lod_chalodny.epub",,,"""Мой зрок, як лёд халодны...""","/Jakub_Kolas/Moj_zrok,_jak_lod_chalodny.html"
029_0043,Вершы,epub,"/Jakub_Kolas/My_maucali,_jak_niamyja.epub",,,"""Мы маўчалі, як нямыя...""","/Jakub_Kolas/My_maucali,_jak_niamyja.html"
029_0044,Вершы,epub,/Jakub_Kolas/Nadryvajsia_i_sumi.epub,,,"""Надрывайся і шумі...""",/Jakub_Kolas/Nadryvajsia_i_sumi.html
029_0045,Вершы,epub,/Jakub_Kolas/Nas_Boh_vialiki_sviat.epub,,,"""Наш Бог вялікі свят!""",/Jakub_Kolas/Nas_Boh_vialiki_sviat.html
029_0046,Вершы,epub,/Jakub_Kolas/Nas_mily_Prezident.epub,,,"""Наш мілы Прэзідэнт!""",/Jakub_Kolas/Nas_mily_Prezident.html
029_0047,Вершы,epub,"/Jakub_Kolas/Nie_viedaju,_kamu_skazac_mnie_dziakuj.epub",,,"""Не ведаю, каму сказаць мне «дзякуй»...""","/Jakub_Kolas/Nie_viedaju,_kamu_skazac_mnie_dziakuj.html"
029_0048,Вершы,epub,"/Jakub_Kolas/Nie_viedaju,_papraudzie,_sto_skazac.epub",,,"""Не ведаю, папраўдзе, што сказаць...""","/Jakub_Kolas/Nie_viedaju,_papraudzie,_sto_skazac.html"
029_0049,Вершы,epub,"/Jakub_Kolas/Nie_daj,_Boza,_sercam_zniknuc.epub",,,"""Не дай, Божа, сэрцам знікнуць...""","/Jakub_Kolas/Nie_daj,_Boza,_sercam_zniknuc.html"
029_0050,Вершы,epub,"/Jakub_Kolas/Nie_pytajcie,_nie_prasiecie.epub",,,"""Не пытайце, не прасеце...""","/Jakub_Kolas/Nie_pytajcie,_nie_prasiecie.html"
029_0051,Вершы,epub,"/Jakub_Kolas/Ni_krasak,_ni_zykau_Zamierla_pryroda.epub",,,"""Ні красак, ні зыкаў. Замерла прырода...""","/Jakub_Kolas/Ni_krasak,_ni_zykau_Zamierla_pryroda.html"
029_0052,Вершы,epub,/Jakub_Kolas/Nu_jakich_za_pryhod.epub,,,"""Ну якіх жа прыгод...""",/Jakub_Kolas/Nu_jakich_za_pryhod.html
029_0053,Вершы,epub,/Jakub_Kolas/Niachaj_hetamu_flakonu.epub,,,"""Няхай гэтаму флакону...""",/Jakub_Kolas/Niachaj_hetamu_flakonu.html
029_0054,Вершы,epub,/Jakub_Kolas/Niachaj_zlujucca_ciemrasaly.epub,,,"""Няхай злуюцца цемрашалы...""",/Jakub_Kolas/Niachaj_zlujucca_ciemrasaly.html
029_0055,Вершы,epub,"/Jakub_Kolas/Niachaj_sabie_ludzi_kazuc,_sto_chocuc.epub",,,"""Няхай сабе людзі кажуць, што хочуць...""","/Jakub_Kolas/Niachaj_sabie_ludzi_kazuc,_sto_chocuc.html"
029_0056,Вершы,epub,"/Jakub_Kolas/Niachaj,_jak_sonca_u_kroplach_rosau.epub",,,"""Няхай, як сонца ў кроплях росаў...""","/Jakub_Kolas/Niachaj,_jak_sonca_u_kroplach_rosau.html"
029_0057,Вершы,epub,"/Jakub_Kolas/Oj,_skazy_mnie,_viecier_volny.epub",,,"""Ой, скажы мне, вецер вольны...""","/Jakub_Kolas/Oj,_skazy_mnie,_viecier_volny.html"
029_0058,Вершы,epub,/Jakub_Kolas/Pahulau_na_voli.epub,,,"""Пагуляў на волі...""",/Jakub_Kolas/Pahulau_na_voli.html
029_0059,Вершы,epub,/Jakub_Kolas/Paezii_pierly_u_Arbatskom_albomie.epub,,,"""Паэзіі перлы ў «Арбатском» альбоме...""",/Jakub_Kolas/Paezii_pierly_u_Arbatskom_albomie.html
029_0060,Вершы,epub,/Jakub_Kolas/Piesni_zimy.epub,,,"""Песні зімы...""",/Jakub_Kolas/Piesni_zimy.html
029_0061,Вершы,epub,/Jakub_Kolas/Pozna_Vosien_ahalila.epub,,,"""Позна. Восень агаліла...""",/Jakub_Kolas/Pozna_Vosien_ahalila.html
029_0062,Вершы,epub,"/Jakub_Kolas/Prazrystaje_nieba,_zialony_hrudok.epub",,,"""Празрыстае неба, зялёны грудок...""","/Jakub_Kolas/Prazrystaje_nieba,_zialony_hrudok.html"
029_0063,Вершы,epub,/Jakub_Kolas/Prajsli_niezvarotna_dzianki_zalatyja.epub,,,"""Прайшлі незваротна дзянькі залатыя...""",/Jakub_Kolas/Prajsli_niezvarotna_dzianki_zalatyja.html
029_0064,Вершы,epub,/Jakub_Kolas/Prajsou_ja_na_sviecie_nie_mala_daroh.epub,,,"""Прайшоў я на свеце не мала дарог...""",/Jakub_Kolas/Prajsou_ja_na_sviecie_nie_mala_daroh.html
029_0065,Вершы,epub,/Jakub_Kolas/Ptuski_u_lesie_scabiatali.epub,,,"""Птушкі ў лесе шчабяталі...""",/Jakub_Kolas/Ptuski_u_lesie_scabiatali.html
029_0066,Вершы,epub,"/Jakub_Kolas/Razharni_hetu_knizku,_druzok.epub",,,"""Разгарні гэту кніжку, дружок...""","/Jakub_Kolas/Razharni_hetu_knizku,_druzok.html"
029_0067,Вершы,epub,/Jakub_Kolas/Rana_vam_zurycca.epub,,,"""Рана вам журыцца...""",/Jakub_Kolas/Rana_vam_zurycca.html
029_0068,Вершы,epub,/Jakub_Kolas/Skora_u_poli_zabusuje.epub,,,"""Скора ў полі забушуе...""",/Jakub_Kolas/Skora_u_poli_zabusuje.html
029_0069,Вершы,epub,/Jakub_Kolas/Sochnu_marna_ja_u_astrozie.epub,,,"""Сохну марна я ў астрозе...""",/Jakub_Kolas/Sochnu_marna_ja_u_astrozie.html
029_0070,Вершы,epub,"/Jakub_Kolas/Spytaju,_a_vy_adkazycie.epub",,,"""Спытаю, а вы адкажыце...""","/Jakub_Kolas/Spytaju,_a_vy_adkazycie.html"
029_0071,Вершы,epub,/Jakub_Kolas/Stachovicau_vouk.epub,,,"""Стаховічаў воўк...""",/Jakub_Kolas/Stachovicau_vouk.html
029_0072,Вершы,epub,/Jakub_Kolas/Scichnuu_sum_na_kalidory.epub,,,"""Сціхнуў шум на калідоры...""",/Jakub_Kolas/Scichnuu_sum_na_kalidory.html
029_0073,Вершы,epub,"/Jakub_Kolas/Taja_z_samaja_dal,_toj_za_samy_razloh.epub",,,"""Тая ж самая даль, той жа самы разлог...""","/Jakub_Kolas/Taja_z_samaja_dal,_toj_za_samy_razloh.html"
029_0074,Вершы,epub,/Jakub_Kolas/Tolki_stohnie_ziamla.epub,,,"""Толькі стогне зямля...""",/Jakub_Kolas/Tolki_stohnie_ziamla.html
029_0075,Вершы,epub,/Jakub_Kolas/U_biarlozie_ty_radziusia.epub,,,"""У бярлозе ты радзіўся...""",/Jakub_Kolas/U_biarlozie_ty_radziusia.html
029_0076,Вершы,epub,"/Jakub_Kolas/Usmichnulasia,_zardziela.epub",,,"""Усміхнулася, зардзела...""","/Jakub_Kolas/Usmichnulasia,_zardziela.html"
029_0077,Вершы,epub,"/Jakub_Kolas/Ci_doma_ja,_ci_ja_u_pachodzie.epub",,,"""Ці дома я, ці я ў паходзе...""","/Jakub_Kolas/Ci_doma_ja,_ci_ja_u_pachodzie.html"
