linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
119_0001,Казкі,epub,/Vasil_Vitka/Buslinaje_leta.epub,,,Буслінае лета,/Vasil_Vitka/Buslinaje_leta.html
119_0002,Казкі,epub,/Vasil_Vitka/Vaviorcyna_hora.epub,,,Вавёрчына гора,/Vasil_Vitka/Vaviorcyna_hora.html
119_0003,Казкі,epub,/Vasil_Vitka/Hienieral_vierabiej.epub,,,Генерал верабей,/Vasil_Vitka/Hienieral_vierabiej.html
119_0004,Казкі,epub,/Vasil_Vitka/Dudaryk.epub,,,Дударык,/Vasil_Vitka/Dudaryk.html
119_0005,Казкі,epub,/Vasil_Vitka/Kazka_biez_kanca.epub,,,Казка без канца,/Vasil_Vitka/Kazka_biez_kanca.html
119_0006,Казкі,epub,/Vasil_Vitka/Kazka_pra_cara_zubra.epub,,,Казка пра цара зубра,/Vasil_Vitka/Kazka_pra_cara_zubra.html
119_0007,Казкі,epub,/Vasil_Vitka/Kazki_dzieda_Vasila.epub,,,Казкі дзеда Васіля,/Vasil_Vitka/Kazki_dzieda_Vasila.html
119_0008,Казкі,epub,/Vasil_Vitka/Kazki_i_kraski.epub,,,Казкі і краскі,/Vasil_Vitka/Kazki_i_kraski.html
119_0009,Казкі,epub,/Vasil_Vitka/Maski.epub,,,Маскі,/Vasil_Vitka/Maski.html
119_0010,Казкі,epub,/Vasil_Vitka/PPS.epub,,,ППШ,/Vasil_Vitka/PPS.html
119_0011,Вершы,epub,/Vasil_Vitka/Azbuka_Vasi_Viasiolkina.epub,,,Азбука Васі Вясёлкіна,/Vasil_Vitka/Azbuka_Vasi_Viasiolkina.html
119_0012,Вершы,epub,/Vasil_Vitka/Nul_bul-bul.epub,,,Нуль буль-буль,/Vasil_Vitka/Nul_bul-bul.html
119_0013,Аўдыё,mp3,https://files.knihi.com/Knihi/audio-staroeradio.ru/Vitka_Vasil.Scascie_paeta.mp3,,,Шчасьце паэта,/Vasil_Vitka/Scascie_paeta_audio.html
119_0014,Аўдыё,epub,/Vasil_Vitka/Ablicca_druha.epub,,,Аблічча друга,/Vasil_Vitka/Ablicca_druha.html
119_0015,Аўдыё,djvu,https://files.knihi.com/Knihi/scanned/Vitka.Tryvoha_u_Elnicach.djvu,,,Трывога ў Ельнічах,/Vasil_Vitka/Tryvoha_u_Jelnicach.html
119_0016,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Vitka_Vasil.Azbuka_dusy.djvu,,,Азбука душы,/Vasil_Vitka/Azbuka_dusy.html
119_0017,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Vitka_Vasil.Vysyni_sviatla.djvu,,,Вышыні святла,/Vasil_Vitka/Vysyni_sviatla.html
119_0018,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Vitka_Vasil.Dzieci_i_my.djvu,,,Дзеці і мы,/Vasil_Vitka/Dzieci_i_my.html
119_0019,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Vitka_Vasil.Minskija_balady.djvu,,,Мінскія балады,/Vasil_Vitka/Minskija_balady.html
119_0020,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Vitka_Vasil.Sluccyna.djvu,,,Случчына,/Vasil_Vitka/Sluccyna.html
119_0021,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Vitka_Vasil.Trecija_pieuni.djvu,,,Трэція пеўні,/Vasil_Vitka/Trecija_pieuni.html
119_0022,Пераклады,epub,/Uladzimir_Majakouski/Kim_byc.epub,Уладзімір Маякоўскі,/Uladzimir_Majakouski/,Кім быць?,/Uladzimir_Majakouski/Kim_byc.html
119_0023,Пераклады,epub,/Alaksandar_Puskin/Aniol.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Анёл,/Alaksandar_Puskin/Aniol.html
119_0024,Пераклады,epub,/Alaksandar_Puskin/I_I_Puscynu.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,І. І. Пушчыну,/Alaksandar_Puskin/I_I_Puscynu.html
119_0025,Пераклады,epub,/Alaksandar_Puskin/Pad_sinim_niebam_rodnaje_svajoj_ziamli.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,«Пад сінім небам роднае сваёй зямлі...»,/Alaksandar_Puskin/Pad_sinim_niebam_rodnaje_svajoj_ziamli.html
119_0026,Пераклады,epub,/Alaksandar_Puskin/Pryznannie.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Прызнанне,/Alaksandar_Puskin/Pryznannie.html
119_0027,Пераклады,epub,/Alaksandar_Puskin/Talisman.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Талісман,/Alaksandar_Puskin/Talisman.html
119_0028,Пераклады,epub,/Fiodar_Ciutcau/Viasnovaja_navalnica_vitka.epub,Фёдар Цютчаў,/Fiodar_Ciutcau/,Вясновая навальніца,/Fiodar_Ciutcau/Viasnovaja_navalnica_vitka.html
119_0029,Пераклады,epub,"/Fiodar_Ciutcau/Josc_niezabyuny,_razvitalny.epub",Фёдар Цютчаў,/Fiodar_Ciutcau/,"«Ёсць незабыўны, развітальны...»","/Fiodar_Ciutcau/Josc_niezabyuny,_razvitalny.html"
