linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
187_0001,Вершы,epub,/Juras_Svirka/Vierny_kreunamu_bractvu.epub,,,Верны крэўнаму брацтву,/Juras_Svirka/Vierny_kreunamu_bractvu.html
187_0002,Вершы,epub,/Juras_Svirka/Jasce_raz_pra_maci.epub,,,Яшчэ раз пра маці,/Juras_Svirka/Jasce_raz_pra_maci.html
187_0003,Пераклады,epub,"/Michail_Lermantau/Byvaj,_niamytaja_Rasija_svirka.epub",Міхаіл Лермантаў,/Michail_Lermantau/,"«Бывай, нямытая Расія...»","/Michail_Lermantau/Byvaj,_niamytaja_Rasija_svirka.html"
187_0004,Пераклады,epub,/Michail_Lermantau/Vietraz_svi.epub,Міхаіл Лермантаў,/Michail_Lermantau/,Ветразь,/Michail_Lermantau/Vietraz_svi.html
187_0005,Пераклады,epub,/Michail_Lermantau/Zapaviet.epub,Міхаіл Лермантаў,/Michail_Lermantau/,Запавет,/Michail_Lermantau/Zapaviet.html
187_0006,Пераклады,epub,/Michail_Lermantau/I_nudna_i_sumna.epub,Міхаіл Лермантаў,/Michail_Lermantau/,І нудна і сумна,/Michail_Lermantau/I_nudna_i_sumna.html
187_0007,Пераклады,epub,/Michail_Lermantau/Kali_chvalujecca_i_daspiavaje_niva_svi.epub,Міхаіл Лермантаў,/Michail_Lermantau/,«Калі хвалюецца і даспявае ніва...»,/Michail_Lermantau/Kali_chvalujecca_i_daspiavaje_niva_svi.html
187_0008,Пераклады,epub,/Michail_Lermantau/Listok.epub,Міхаіл Лермантаў,/Michail_Lermantau/,Лісток,/Michail_Lermantau/Listok.html
187_0009,Пераклады,epub,/Michail_Lermantau/Na_pounacy_dzikaj_staic_adzinoka_svirka.epub,Міхаіл Лермантаў,/Michail_Lermantau/,«На поўначы дзікай стаіць адзінока...»,/Michail_Lermantau/Na_pounacy_dzikaj_staic_adzinoka_svirka.html
187_0010,Пераклады,epub,/Michail_Lermantau/Nieba_i_zorki.epub,Міхаіл Лермантаў,/Michail_Lermantau/,Неба і зоркі,/Michail_Lermantau/Nieba_i_zorki.html
187_0011,Пераклады,epub,/Michail_Lermantau/Skalny_vystup.epub,Міхаіл Лермантаў,/Michail_Lermantau/,Скальны выступ,/Michail_Lermantau/Skalny_vystup.html
187_0012,Пераклады,epub,/Michail_Lermantau/Udziacnasc_svi.epub,Міхаіл Лермантаў,/Michail_Lermantau/,Удзячнасць,/Michail_Lermantau/Udziacnasc_svi.html
187_0013,Пераклады,epub,/Michail_Lermantau/Chmary_Svirka.epub,Міхаіл Лермантаў,/Michail_Lermantau/,Хмары,/Michail_Lermantau/Chmary_Svirka.html
187_0014,Пераклады,epub,/Michail_Lermantau/Camu.epub,Міхаіл Лермантаў,/Michail_Lermantau/,Чаму,/Michail_Lermantau/Camu.html
187_0015,Пераклады,epub,/Michail_Lermantau/Casa_zyccia.epub,Міхаіл Лермантаў,/Michail_Lermantau/,Чаша жыцця,/Michail_Lermantau/Casa_zyccia.html
187_0016,Пераклады,epub,/Michail_Lermantau/Ja_nie_lublu_ciabie_z_taboj.epub,Міхаіл Лермантаў,/Michail_Lermantau/,«Я не люблю цябе; з табой...»,/Michail_Lermantau/Ja_nie_lublu_ciabie_z_taboj.html
187_0017,Пераклады,epub,/Alaksandar_Puskin/Vakchicnaja_piesnia_sv.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Вакхічная песня,/Alaksandar_Puskin/Vakchicnaja_piesnia_sv.html
187_0018,Пераклады,epub,/Alaksandar_Puskin/Viek_nie_budzies_zyc_u_zmanie.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,«Век не будзеш жыць у змане...»,/Alaksandar_Puskin/Viek_nie_budzies_zyc_u_zmanie.html
187_0019,Пераклады,epub,/Alaksandar_Puskin/Viazien_4.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Вязень,/Alaksandar_Puskin/Viazien_4.html
187_0020,Пераклады,epub,/Alaksandar_Puskin/Daroznaja_zalba.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Дарожная жальба,/Alaksandar_Puskin/Daroznaja_zalba.html
187_0021,Пераклады,epub,/Alaksandar_Puskin/Kalymaha_zyccia.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Калымага жыцця,/Alaksandar_Puskin/Kalymaha_zyccia.html
187_0022,Пераклады,epub,/Alaksandar_Puskin/Kvietka.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Кветка,/Alaksandar_Puskin/Kvietka.html
187_0023,Пераклады,epub,/Alaksandar_Puskin/Kvitniennie_pozniaju_paroj.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,«Квітненне позняю парой...»,/Alaksandar_Puskin/Kvitniennie_pozniaju_paroj.html
