linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
214_0001,Вершы,epub,/Anatol_Hracanikau/Vierasien.epub,,,Верасень,/Anatol_Hracanikau/Vierasien.html
214_0002,Вершы,epub,/Anatol_Hracanikau/Drymotna_cisnucca_kusty.epub,,,«Дрымотна ціснуцца кусты...»,/Anatol_Hracanikau/Drymotna_cisnucca_kusty.html
214_0003,Вершы,epub,/Anatol_Hracanikau/Zory_spiavajuc.epub,,,Зоры спяваюць,/Anatol_Hracanikau/Zory_spiavajuc.html
214_0004,Вершы,epub,/Anatol_Hracanikau/Kazka_pra_Ivana-hancara_i_pacvaru-cara.epub,,,Казка пра Івана-ганчара і пачвару-цара,/Anatol_Hracanikau/Kazka_pra_Ivana-hancara_i_pacvaru-cara.html
214_0005,Вершы,epub,/Anatol_Hracanikau/Mova.epub,,,Мова...,/Anatol_Hracanikau/Mova.html
214_0006,Вершы,epub,"/Anatol_Hracanikau/Sviaci,_kachannia_cystaja_zara.epub",,,"«Свяці, кахання чыстая зара!..»","/Anatol_Hracanikau/Sviaci,_kachannia_cystaja_zara.html"
214_0007,Вершы,epub,/Anatol_Hracanikau/Jak_apadaje_list.epub,,,«Як ападае ліст...»,/Anatol_Hracanikau/Jak_apadaje_list.html
214_0008,Вершы,djvu,https://files.knihi.com/Knihi/scanned/Hracanikau.Z_knihi_Paliessie.djvu,,,"З кнігі ""Палессе""",/Anatol_Hracanikau/Z_knihi_Palessie.html
214_0009,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Hracanikau_Anatol.Vierasien.djvu,,,Верасень,/Anatol_Hracanikau/Vierasien_kniha.html
214_0010,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Hracanikau_Anatol.Dreva_na_vyspie.djvu,,,Дрэва на выспе,/Anatol_Hracanikau/Dreva_na_vyspie.html
214_0011,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Hracanikau_Anatol.Ja_vas_lublu.djvu,,,Я вас люблю,/Anatol_Hracanikau/Ja_vas_lublu.html
