authorId,authorName,authorPath,linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref,hasMeta,Authors,CreationYear,Edition,FirstPublicationYear,LangOrig,Pravapis,PublicationYear,StyleGenre,Title,Translation,SectionAuthor,Title2,AuthorsTranslated,Lang,Source,Uploaded,Year,SectionsTheme,Original1,Original1desc,Original1sha1,FilenameSuffix,Original2,Original2desc,Original2sha1,MaxChapterLevel,Notice,PreparedBy,AuthorsLinked,Description,OriginalCreationYear
3,Ян Баршчэўскі,Jan_Barsceuski,003_0004,Аўдыё,epub,/Jan_Barsceuski/Draulany_Dziadok_i_kabieta_Insiekta.epub,,,Драўляны Дзядок і кабета Інсекта,/Jan_Barsceuski/Draulany_Dziadok_i_kabieta_Insiekta.html,True,Ян Баршчэўскі,1840-1847?,"Ян Баршчэўскі. Выбраныя творы. Менск, МФ «Беларускі кнігазбор», 1998.",1844,pol,A1957,1998,мастацкі/аповесць,Драўляны Дзядок і кабета Інсекта,Мікола Хаўстовіч,,,,,,,,,,,,,,,,,,,,,
3,Ян Баршчэўскі,Jan_Barsceuski,003_0005,Аўдыё,epub,/Jan_Barsceuski/Dusa_nie_u_svaim_ciele.epub,,,Душа не ў сваім целе,/Jan_Barsceuski/Dusa_nie_u_svaim_ciele.html,True,Ян Баршчэўскі,1840-1849?,"Ян Баршчэўскі. Выбраныя творы. Менск, МФ «Беларускі кнігазбор», 1998.",1849,pol,A1957,1998,мастацкі/апавяданне,Душа не ў сваім целе,Мікола Хаўстовіч,,,,,,,,,,,,,,,,,,,,,
3,Ян Баршчэўскі,Jan_Barsceuski,003_0007,Балады,epub,/Jan_Barsceuski/Dzvie_biarozy.epub,,,Дзве бярозы,/Jan_Barsceuski/Dzvie_biarozy.html,True,Ян Баршчэўскі,13.07.1841,"Ян Баршчэўскі. Выбраныя творы. Менск, МФ «Беларускі кнігазбор», 1998.",1842,pol,A1957,1998,мастацкі/балада,Дзве бярозы,Кастусь Цьвірка,Балады,З народных паданняў,,,,,,,,,,,,,,,,,,,
3,Ян Баршчэўскі,Jan_Barsceuski,003_0008,Балады,epub,/Jan_Barsceuski/Zaroslaje_voziera.epub,,,Зарослае возера,/Jan_Barsceuski/Zaroslaje_voziera.html,True,Ян Баршчэўскі,1842,"Ян Баршчэўскі. Выбраныя творы. Менск, МФ «Беларускі кнігазбор», 1998.",1843,pol,A1957,1998,мастацкі/балада,Зарослае возера,Уладзімір Мархель,Балады,Балада з народных паданняў,,,,,,,,,,,,,,,,,,,
3,Ян Баршчэўскі,Jan_Barsceuski,003_0009,Балады,epub,/Jan_Barsceuski/Kurhany.epub,,,Курганы,/Jan_Barsceuski/Kurhany.html,True,Ян Баршчэўскі,1840-1842?,"Ян Баршчэўскі. Выбраныя творы. Менск, МФ «Беларускі кнігазбор», 1998.",1842,pol,A1957,1998,мастацкі/балада,Курганы,Рыгор Барадулін,Балады,,,,,,,,,,,,,,,,,,,,
3,Ян Баршчэўскі,Jan_Barsceuski,003_0010,Балады,epub,/Jan_Barsceuski/Rospac.epub,,,Роспач,/Jan_Barsceuski/Rospac.html,True,Ян Баршчэўскі,1840-1842?,"Ян Баршчэўскі. Выбраныя творы. Менск, МФ «Беларускі кнігазбор», 1998.",1842,pol,A1957,1998,мастацкі/балада,Роспач,Рыгор Барадулін,Балады,,,,,,,,,,,,,,,,,,,,
3,Ян Баршчэўскі,Jan_Barsceuski,003_0011,Балады,epub,/Jan_Barsceuski/Rusalka-spakusnica.epub,,,Русалка-спакусніца,/Jan_Barsceuski/Rusalka-spakusnica.html,True,Ян Баршчэўскі,1840,"Ян Баршчэўскі. Выбраныя творы. Менск, МФ «Беларускі кнігазбор», 1998.",1841,pol,A1957,1998,мастацкі/балада,Русалка-спакусніца,Рыгор Барадулін,Балады,З прастанародных паданняў,,,,,,,,,,,,,,,,,,,
3,Ян Баршчэўскі,Jan_Barsceuski,003_0013,Вершы,epub,/Jan_Barsceuski/Wiersze-pol.epub,,,Wiersze,/Jan_Barsceuski/Wiersze-pol.html,True,Ян Баршчэўскі,,,,pol,,,,Wiersze,,Вершы,,Jan Barszczewski,pol,"Альманах «XIX стагоддзе» (<a href=http://almanach.knihi.com>http://almanach.knihi.com</a>), <a href=http://almanach.knihi.com/index.html>Кніга I</a>",,,,,,,,,,,,,,,,
4,Паўлюк Багрым,Pauluk_Bahrym,004_0002,Вершы,epub,"/Pauluk_Bahrym/Play_then,_play-eng.epub",,,"Play then, play","/Pauluk_Bahrym/Play_then,_play-eng.html",True,Паўлюк Багрым,,,,,,,,"Play then, play",Вера Рыч,Вершы,,Paŭluk Bahrym,eng,"Like Water, Like Fire. London, 1971.",,,,,,,,,,,,,,,,
7,Ян Чачот,Jan_Cacot,007_0001,,epub,/Jan_Cacot/Da_milych_muzyckou.epub,,,Да мілых мужычкоў,/Jan_Cacot/Da_milych_muzyckou.html,True,Ян Чачот,1825-1846?,"Беларуская літаратура : хрэстаматыя / [складальнікі: У. В. Адамчык, М. В. Адамчык]. - Мінск : Сучасны літаратар, 2004. - 1007 с.",1846,,A1957,2004,мастацкі/верш,Да мілых мужычкоў,,,,,,,2011-08-04T09:09:00.000Z,,,,,,,,,,,,,,,
7,Ян Чачот,Jan_Cacot,007_0002,,epub,/Jan_Cacot/Na_pryjezd_Adama_Mickievica.epub,,,На прыезд Адама Міцкевіча,/Jan_Cacot/Na_pryjezd_Adama_Mickievica.html,True,Ян Чачот,1819,"Беларуская літаратура: Хрэстаматыя. Частка першая (другая палова XVIII - першая палова ХІХ стст). Дапаможнік для польскіх студэнтаў па спецыяльнасці ""Беларуская філалогія"". - Мн., 2006. - 224 с.",1922,,A1957,2006,мастацкі/верш,На прыезд Адама Міцкевіча,,,,,,,,,,,,,,,,,,,,,,
7,Ян Чачот,Jan_Cacot,007_0004,,epub,/Jan_Cacot/Pokul_sonca_uzydzie.epub,,,«Покуль сонца ўзыдзе...»,/Jan_Cacot/Pokul_sonca_uzydzie.html,True,Ян Чачот,1825-1844?,"Беларуская літаратура : хрэстаматыя / [складальнікі: У. В. Адамчык, М. В. Адамчык]. - Мінск : Сучасны літаратар, 2004. - 1007 с.",1844,,A1957,2004,мастацкі/верш,«Покуль сонца ўзыдзе...»,,,,,,,2011-08-04T09:10:00.000Z,,,,,,,,,,,,,,,
13,Уладзіслаў Сыракомля,Uladzislau_Syrakomla,013_0001,,epub,/Uladzislau_Syrakomla/Hruhan.epub,,,Груган,/Uladzislau_Syrakomla/Hruhan.html,True,Уладзіслаў Сыракомля,[1908-1909],,1908; 1913; 1929-1930; 1932,pol,A2008,1996,мастацкі/верш,Груган,Янка Купала,,,,,,,,,,,,,,,,,,,,,
13,Уладзіслаў Сыракомля,Uladzislau_Syrakomla,013_0002,,epub,/Uladzislau_Syrakomla/Dobryja_viesci.epub,,,Добрыя весці,/Uladzislau_Syrakomla/Dobryja_viesci.html,True,Уладзіслаў Сыракомля,1848; 1861,,1862,,,,мастацкі/верш,Добрыя весці,,,,,,"Беларуская літаратура : хрэстаматыя / [складальнікі: У. В. Адамчык, М. В. Адамчык]. - Мінск : Сучасны літаратар, 2004. - 1007 с.",2011-08-04T09:11:00.000Z,,,,,,,,,,,,,,,
13,Уладзіслаў Сыракомля,Uladzislau_Syrakomla,013_0003,,epub,/Uladzislau_Syrakomla/Dola.epub,,,Доля,/Uladzislau_Syrakomla/Dola.html,True,Уладзіслаў Сыракомля,[1908],,1908; 1913; 1929-1930; 1932,pol,A2008,1996,мастацкі/верш,Доля,Янка Купала,,,,,,,,,,,,,,,,,,,,,
13,Уладзіслаў Сыракомля,Uladzislau_Syrakomla,013_0004,,epub,/Uladzislau_Syrakomla/Karali.epub,,,Каралі,/Uladzislau_Syrakomla/Karali.html,True,Уладзіслаў Сыракомля,[1911-1912]?,,1913; 1932,pol,A2008,1997,"мастацкі/балада,мастацкі/верш",Каралі,Янка Купала,,(Пацеркі),,,,,,,,,,,,,,,,,,,
13,Уладзіслаў Сыракомля,Uladzislau_Syrakomla,013_0005,,epub,/Uladzislau_Syrakomla/Na_Palessi.epub,,,На Палессі,/Uladzislau_Syrakomla/Na_Palessi.html,True,Уладзіслаў Сыракомля,1905,,1908; 1913-1914; 1925; 1929-1930,pol,A2008,,мастацкі/верш,На Палессі,Янка Купала,,,,,,,,,,,,,,,,,,,,,
13,Уладзіслаў Сыракомля,Uladzislau_Syrakomla,013_0006,,epub,/Uladzislau_Syrakomla/Nie_ja_piaju_-_narod_Bozy.epub,,,«Не я пяю - народ Божы...»,/Uladzislau_Syrakomla/Nie_ja_piaju_-_narod_Bozy.html,True,Уладзіслаў Сыракомля,1844,,1844?,pol,,,мастацкі/верш,«Не я пяю - народ Божы...»,,,,,,"Сыракомля, Уладзіслаў.  Выбраныя творы :  [вершы, гутаркі, проза] /  Уладзіслаў Сыракомля. -  Мінск :  Кнігазбор, 2006. -  526 с., 1 л. партр.",2011-09-02T11:00:00.000,1844,,,,,,,,,,,,,,
13,Уладзіслаў Сыракомля,Uladzislau_Syrakomla,013_0007,,epub,/Uladzislau_Syrakomla/Niadziela.epub,,,Нядзеля,/Uladzislau_Syrakomla/Niadziela.html,True,Уладзіслаў Сыракомля,1906,,1913; 1924; 1927; 1930; 1932-1933; 1936-1939,pol,A2008,1999,"мастацкі/балада,мастацкі/паэма",Нядзеля,Янка Купала,,,,,,,,,,,,,,,,,,,,,
13,Уладзіслаў Сыракомля,Uladzislau_Syrakomla,013_0008,,epub,/Uladzislau_Syrakomla/Pastaljon.epub,,,Паштальён,/Uladzislau_Syrakomla/Pastaljon.html,True,Уладзіслаў Сыракомля,1844,,1844,pol,,,мастацкі/верш,Паштальён,,,,,,"Сыракомля, Уладзіслаў.  Выбраныя творы :  [вершы, гутаркі, проза] /  Уладзіслаў Сыракомля. -  Мінск :  Кнігазбор, 2006. -  526 с., 1 л. партр.",2011-09-02T11:00:00.000,1844,,,,,,,,,,,,,,
15,Кастусь Каліноўскі,Kastus_Kalinouski,015_0001,Вершы,epub,"/Kastus_Kalinouski/Maryska_carnabreva,_halubka_maja.epub",,,"«Марыська чарнабрэва, галубка мая...»","/Kastus_Kalinouski/Maryska_carnabreva,_halubka_maja.html",True,Кастусь Каліноўскі,1864,,1916,,,,мастацкі/верш,"«Марыська чарнабрэва, галубка мая...»",,Вершы,,,,,,,,,,,,,,,,,,,,
15,Кастусь Каліноўскі,Kastus_Kalinouski,015_0002,Вершы,epub,"/Kastus_Kalinouski/Muzyckaja_prauda,_1.epub",,,"Мужыцкая праўда, №1","/Kastus_Kalinouski/Muzyckaja_prauda,_1.html",True,Кастусь Каліноўскі,ліпень 1862,,1862,,,,публіцыстычны/зварот,"Мужыцкая праўда, №1",,,,,,,,,"Гісторыя, палітыка",,,,,,,,,,,,,
15,Кастусь Каліноўскі,Kastus_Kalinouski,015_0003,Вершы,epub,"/Kastus_Kalinouski/Muzyckaja_prauda,_2.epub",,,"Мужыцкая праўда, №2","/Kastus_Kalinouski/Muzyckaja_prauda,_2.html",True,Кастусь Каліноўскі,жнівень 1862,,1862,,,,публіцыстычны/зварот,"Мужыцкая праўда, №2",,,,,,,,,"Гісторыя, палітыка",,,,,,,,,,,,,
15,Кастусь Каліноўскі,Kastus_Kalinouski,015_0004,Вершы,epub,"/Kastus_Kalinouski/Muzyckaja_prauda,_3.epub",,,"Мужыцкая праўда, №3","/Kastus_Kalinouski/Muzyckaja_prauda,_3.html",True,Кастусь Каліноўскі,верасень 1862,,1862,,,,публіцыстычны/зварот,"Мужыцкая праўда, №3",,,,,,,,,"Гісторыя, палітыка",,,,,,,,,,,,,
15,Кастусь Каліноўскі,Kastus_Kalinouski,015_0005,Вершы,epub,"/Kastus_Kalinouski/Muzyckaja_prauda,_4.epub",,,"Мужыцкая праўда, №4","/Kastus_Kalinouski/Muzyckaja_prauda,_4.html",True,Кастусь Каліноўскі,кастрычнік 1862,,1862,,,,публіцыстычны/зварот,"Мужыцкая праўда, №4",,,,,,,,,"Гісторыя, палітыка",,,,,,,,,,,,,
15,Кастусь Каліноўскі,Kastus_Kalinouski,015_0006,Вершы,epub,"/Kastus_Kalinouski/Muzyckaja_prauda,_5.epub",,,"Мужыцкая праўда, №5","/Kastus_Kalinouski/Muzyckaja_prauda,_5.html",True,Кастусь Каліноўскі,лістапад 1862,,1862,,,,публіцыстычны/зварот,"Мужыцкая праўда, №5",,,,,,,,,"Гісторыя, палітыка",,,,,,,,,,,,,
15,Кастусь Каліноўскі,Kastus_Kalinouski,015_0007,Вершы,epub,"/Kastus_Kalinouski/Muzyckaja_prauda,_6.epub",,,"Мужыцкая праўда, №6","/Kastus_Kalinouski/Muzyckaja_prauda,_6.html",True,Кастусь Каліноўскі,снежань 1862,,1862,,,,публіцыстычны/зварот,"Мужыцкая праўда, №6",,,,,,,,,"Гісторыя, палітыка",,,,,,,,,,,,,
15,Кастусь Каліноўскі,Kastus_Kalinouski,015_0008,Вершы,epub,"/Kastus_Kalinouski/Muzyckaja_prauda,_7.epub",,,"Мужыцкая праўда, №7","/Kastus_Kalinouski/Muzyckaja_prauda,_7.html",True,Кастусь Каліноўскі,чэрвень 1863,,1863,,,,публіцыстычны/зварот,"Мужыцкая праўда, №7",,,,,,,,,"Гісторыя, палітыка",,,,,,,,,,,,,
15,Кастусь Каліноўскі,Kastus_Kalinouski,015_0009,Вершы,epub,/Kastus_Kalinouski/Pismy_z-pad_sybienicy.epub,,,Пісьмы з-пад шыбеніцы,/Kastus_Kalinouski/Pismy_z-pad_sybienicy.html,True,Кастусь Каліноўскі,1864,,1867,,,,публіцыстычны/зварот,Пісьмы з-пад шыбеніцы,,,,,,,,,"Гісторыя, палітыка",,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0001,Апавяданьні,epub,/Francisak_Bahusevic/Palasouscyk.epub,,,Палясоўшчык,/Francisak_Bahusevic/Palasouscyk.html,True,Францішак Багушэвіч,1886-1900?,"Багушэвіч Ф. Творы / Францішак Багушэвіч ; [укладанне, прадмова Я. Янушкевіча ; каментарыі У. Cодаля, Я. Янушкевiча; мастак Г. Хiнка-Янушкевiч]. - Мінск : Мастацкая літаратура, 1991. - 308 с.",1907,,A1957,1991,мастацкі/апавяданне,Палясоўшчык,,Апавяданьні,(Апавяданне старога лесніка),,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0002,Апавяданьні,epub,/Francisak_Bahusevic/Sviedka.epub,,,Сведка,/Francisak_Bahusevic/Sviedka.html,True,Францішак Багушэвіч,1886-1900?,"Багушэвіч Ф. Творы / Францішак Багушэвіч ; [укладанне, прадмова Я. Янушкевіча ; каментарыі У. Cодаля, Я. Янушкевiча; мастак Г. Хiнка-Янушкевiч]. - Мінск : Мастацкая літаратура, 1991. - 308 с.",1907,,A1957,1991,мастацкі/апавяданне,Сведка,,Апавяданьні,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0003,Апавяданьні,epub,/Francisak_Bahusevic/Tralalonacka.epub,,,Тралялёначка,/Francisak_Bahusevic/Tralalonacka.html,True,Францішак Багушэвіч,1892,"Багушэвіч Ф. Творы / Францішак Багушэвіч ; [укладанне, прадмова Я. Янушкевіча ; каментарыі У. Cодаля, Я. Янушкевiча; мастак Г. Хiнка-Янушкевiч]. - Мінск : Мастацкая літаратура, 1991. - 308 с.",1892,,A1957,1991,мастацкі/апавяданне,Тралялёначка,,Апавяданьні,,,,,,,,Bahusevic_Francisak.Tralalonacka.djvu,"Tralalonaczka, Кракаў, 1892",fb9b249c9dff6717cdbdc91d691cd40844b9988f,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0004,Паэмы,epub,/Francisak_Bahusevic/Kiepska_budzie.epub,,,Кепска будзе!,/Francisak_Bahusevic/Kiepska_budzie.html,True,Францішак Багушэвіч,1886-1891?,"Багушэвіч Ф. Творы / Францішак Багушэвіч ; [укладанне, прадмова Я. Янушкевіча ; каментарыі У. Cодаля, Я. Янушкевiча; мастак Г. Хiнка-Янушкевiч]. - Мінск : Мастацкая літаратура, 1991. - 308 с.",1891,,A1957,1991,мастацкі/паэма,Кепска будзе!,,Паэмы,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0005,Вершы,epub,/Francisak_Bahusevic/Achviara.epub,,,Ахвяра,/Francisak_Bahusevic/Achviara.html,True,Францішак Багушэвіч,1891,невядомае,1894,,K2005,1894?,мастацкі/верш,Ахвяра,,Вершы,,,,http://rv-blr.com/vershu/view/408,2011-08-10T18:15:00Z,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0006,Вершы,epub,/Francisak_Bahusevic/Boh_nie_rouna_dziele.epub,,,Бог не роўна дзеле,/Francisak_Bahusevic/Boh_nie_rouna_dziele.html,True,Францішак Багушэвіч,1886-1891?,невядомае,1891,,A1957,1991?,мастацкі/верш,Бог не роўна дзеле,,Вершы,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0007,Вершы,epub,/Francisak_Bahusevic/Byu_u_cyscy.epub,,,Быў у чысцы!,/Francisak_Bahusevic/Byu_u_cyscy.html,True,Францішак Багушэвіч,1886-1891?,невядомае,1891,,A1957,1991?,мастацкі/верш,Быў у чысцы!,,Вершы,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0008,Вершы,epub,/Francisak_Bahusevic/Vierabiej_i_kasa.epub,,,Верабей і каша,/Francisak_Bahusevic/Vierabiej_i_kasa.html,True,Францішак Багушэвіч,1886-1900?,"Беларусь, 1957, № 2",1957,pol,A1957,1957,мастацкі/верш,Верабей і каша,Міхась Машара,Вершы,,,,,,,,,,,,,,,,,,,,
18,Францішак Багушэвіч,Francisak_Bahusevic,018_0009,Вершы,epub,/Francisak_Bahusevic/Viecier_dzmie_i_vyje.epub,,,«Вецер дзьме і вые...»,/Francisak_Bahusevic/Viecier_dzmie_i_vyje.html,True,Францішак Багушэвіч,1886-1900?,"Багушэвіч Ф. Творы / Францішак Багушэвіч ; [укладанне, прадмова Я. Янушкевіча ; каментарыі У. Cодаля, Я. Янушкевiча; мастак Г. Хiнка-Янушкевiч]. - Мінск : Мастацкая літаратура, 1991. - 308 с.",1938,,A1957,1991,мастацкі/верш,«Вецер дзьме і вые...»,,Вершы,,,,,,,,,,,,,,,,,,,,
