linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
013_0001,,epub,/Uladzislau_Syrakomla/Hruhan.epub,,,Груган,/Uladzislau_Syrakomla/Hruhan.html
013_0002,,epub,/Uladzislau_Syrakomla/Dobryja_viesci.epub,,,Добрыя весці,/Uladzislau_Syrakomla/Dobryja_viesci.html
013_0003,,epub,/Uladzislau_Syrakomla/Dola.epub,,,Доля,/Uladzislau_Syrakomla/Dola.html
013_0004,,epub,/Uladzislau_Syrakomla/Karali.epub,,,Каралі,/Uladzislau_Syrakomla/Karali.html
013_0005,,epub,/Uladzislau_Syrakomla/Na_Palessi.epub,,,На Палессі,/Uladzislau_Syrakomla/Na_Palessi.html
013_0006,,epub,/Uladzislau_Syrakomla/Nie_ja_piaju_-_narod_Bozy.epub,,,«Не я пяю - народ Божы...»,/Uladzislau_Syrakomla/Nie_ja_piaju_-_narod_Bozy.html
013_0007,,epub,/Uladzislau_Syrakomla/Niadziela.epub,,,Нядзеля,/Uladzislau_Syrakomla/Niadziela.html
013_0008,,epub,/Uladzislau_Syrakomla/Pastaljon.epub,,,Паштальён,/Uladzislau_Syrakomla/Pastaljon.html
013_0009,Кнігі,pdf,https://files.knihi.com/Knihi/orda.of.by/syrokomla_wedrowki.pdf,,,Wędrówki po moich niegdyś okolicach,/Uladzislau_Syrakomla/Wedrowki_po_moich_niegdys_okolicach.html
013_0010,Кнігі,pdf,https://files.knihi.com/Knihi/orda.of.by/syrokomla_vandrouki.pdf,,,Вандроўкі па маіх былых ваколіцах,/Uladzislau_Syrakomla/Vandrouki_pa_maich_bylych_vakolicach.html
013_0011,Кнігі,djvu,https://files.knihi.com/Knihi/scanned3/Syrakomla_Uladzislau.Zhadki_Niasviza.djvu,,,Згадкі Нясвіжа,/Uladzislau_Syrakomla/Zhadki_Niasviza.html
