linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
039_0001,Апавяданьні,epub,/Ciska_Hartny/Adviacorkam_apav.epub,,,Адвячоркам,/Ciska_Hartny/Adviacorkam_apav.html
039_0002,Апавяданьні,epub,/Ciska_Hartny/Bols_za_usich.epub,,,«Больш за ўсіх»,/Ciska_Hartny/Bols_za_usich.html
039_0003,Апавяданьні,epub,/Ciska_Hartny/Vielikodnaja_karobka.epub,,,Велікодная каробка,/Ciska_Hartny/Vielikodnaja_karobka.html
039_0004,Апавяданьні,epub,/Ciska_Hartny/Haspadar.epub,,,Гаспадар,/Ciska_Hartny/Haspadar.html
039_0005,Апавяданьні,epub,/Ciska_Hartny/Dumki.epub,,,Думкі,/Ciska_Hartny/Dumki.html
039_0006,Апавяданьні,epub,/Ciska_Hartny/Dumki_bielarusa.epub,,,Думкі беларуса,/Ciska_Hartny/Dumki_bielarusa.html
039_0007,Апавяданьні,epub,/Ciska_Hartny/Dyjahnaz.epub,,,Дыягназ,/Ciska_Hartny/Dyjahnaz.html
039_0008,Апавяданьні,epub,/Ciska_Hartny/Zaviausaja_krasa.epub,,,Завяўшая краса,/Ciska_Hartny/Zaviausaja_krasa.html
039_0009,Апавяданьні,epub,/Ciska_Hartny/Kalhasnik_Trychon_Zarolca.epub,,,Калгаснік Трыхон Жаролца,/Ciska_Hartny/Kalhasnik_Trychon_Zarolca.html
039_0010,Апавяданьні,epub,/Ciska_Hartny/Lajdak.epub,,,«Лайдак»,/Ciska_Hartny/Lajdak.html
039_0011,Апавяданьні,epub,/Ciska_Hartny/Na_ruinach.epub,,,На руінах,/Ciska_Hartny/Na_ruinach.html
039_0012,Апавяданьні,epub,/Ciska_Hartny/Na_uschodzie_sonca.epub,,,На ўсходзе сонца,/Ciska_Hartny/Na_uschodzie_sonca.html
039_0013,Апавяданьні,epub,/Ciska_Hartny/Pravodziny.epub,,,Праводзіны,/Ciska_Hartny/Pravodziny.html
039_0014,Апавяданьні,epub,/Ciska_Hartny/Prysady.epub,,,Прысады,/Ciska_Hartny/Prysady.html
039_0015,Апавяданьні,epub,/Ciska_Hartny/Svaje_blincy.epub,,,Свае блінцы,/Ciska_Hartny/Svaje_blincy.html
039_0016,Апавяданьні,epub,/Ciska_Hartny/Skosany_luh.epub,,,Скошаны луг,/Ciska_Hartny/Skosany_luh.html
039_0017,Апавяданьні,epub,/Ciska_Hartny/Sprecka_stychijau.epub,,,Спрэчка стыхіяў,/Ciska_Hartny/Sprecka_stychijau.html
039_0018,Апавяданьні,epub,/Ciska_Hartny/Tavarys_ab_svaim_zycci.epub,,,Таварыш аб сваім жыцці,/Ciska_Hartny/Tavarys_ab_svaim_zycci.html
039_0019,Апавяданьні,epub,/Ciska_Hartny/Treski_na_chvalach.epub,,,Трэскі на хвалях,/Ciska_Hartny/Treski_na_chvalach.html
039_0020,Апавяданьні,epub,/Ciska_Hartny/U_majsterni.epub,,,У майстэрні,/Ciska_Hartny/U_majsterni.html
039_0021,Апавяданьні,epub,/Ciska_Hartny/Strejkbrechier.epub,,,Штрэйкбрэхер,/Ciska_Hartny/Strejkbrechier.html
039_0022,Апавяданьні,epub,/Ciska_Hartny/Sukajucy_pracy.epub,,,Шукаючы працы,/Ciska_Hartny/Sukajucy_pracy.html
039_0023,Апавяданьні,epub,/Ciska_Hartny/Ja_bacyu_Viersy_u_prozie.epub,,,Я бачыў. Вершы ў прозе,/Ciska_Hartny/Ja_bacyu_Viersy_u_prozie.html
039_0024,Апавяданьні,epub,"/Ciska_Hartny/Biez_pary_pamior_ty,_bracie.epub",,,"""Без пары памёр ты, браце...""","/Ciska_Hartny/Biez_pary_pamior_ty,_bracie.html"
039_0025,Апавяданьні,epub,/Ciska_Hartny/Druzna_z_achvotaj.epub,,,"""Дружна з ахвотай...""",/Ciska_Hartny/Druzna_z_achvotaj.html
039_0026,Апавяданьні,epub,/Ciska_Hartny/Miec_by_zyccio_biessmiarotnaje_mnie.epub,,,"""Мець бы жыццё бессмяротнае мне...""",/Ciska_Hartny/Miec_by_zyccio_biessmiarotnaje_mnie.html
039_0027,Апавяданьні,epub,/Ciska_Hartny/Nad_sumnym_palacam.epub,,,"""Над шумным палацам...""",/Ciska_Hartny/Nad_sumnym_palacam.html
039_0028,Апавяданьні,epub,/Ciska_Hartny/Nie_chacu_zabyccia_ja.epub,,,"""Не хачу забыцця я...""",/Ciska_Hartny/Nie_chacu_zabyccia_ja.html
039_0029,Апавяданьні,epub,/Ciska_Hartny/Soniejka_viecna_zijaje.epub,,,"""Сонейка вечна зіяе...""",/Ciska_Hartny/Soniejka_viecna_zijaje.html
039_0030,Апавяданьні,epub,/Ciska_Hartny/Uzysou_miesiac.epub,,,"""Ўзышоў месяц...""",/Ciska_Hartny/Uzysou_miesiac.html
039_0031,Апавяданьні,epub,/Ciska_Hartny/Adviacorkam.epub,,,Адвячоркам,/Ciska_Hartny/Adviacorkam.html
039_0032,Апавяданьні,epub,/Ciska_Hartny/Bacyu_ja.epub,,,Бачыў я...,/Ciska_Hartny/Bacyu_ja.html
039_0033,Апавяданьні,epub,/Ciska_Hartny/Biehuniec.epub,,,Бегунец,/Ciska_Hartny/Biehuniec.html
039_0034,Апавяданьні,epub,/Ciska_Hartny/Bielaruska.epub,,,Беларуска,/Ciska_Hartny/Bielaruska.html
039_0035,Апавяданьні,epub,/Ciska_Hartny/Bielaruski_narod.epub,,,Беларускі народ,/Ciska_Hartny/Bielaruski_narod.html
039_0036,Апавяданьні,epub,/Ciska_Hartny/Budavannie.epub,,,Будаванне,/Ciska_Hartny/Budavannie.html
039_0037,Апавяданьні,epub,/Ciska_Hartny/Biazdolny.epub,,,Бяздольны,/Ciska_Hartny/Biazdolny.html
039_0038,Апавяданьні,epub,/Ciska_Hartny/Vietru.epub,,,Ветру,/Ciska_Hartny/Vietru.html
039_0039,Апавяданьні,epub,/Ciska_Hartny/Vosiennaje.epub,,,Восеннае,/Ciska_Hartny/Vosiennaje.html
039_0040,Апавяданьні,epub,/Ciska_Hartny/Vosien.epub,,,Восень,/Ciska_Hartny/Vosien.html
039_0041,Апавяданьні,epub,/Ciska_Hartny/Hadavina_25_kastrycnika_1917_hoda.epub,,,Гадавіна 25 кастрычніка 1917 года,/Ciska_Hartny/Hadavina_25_kastrycnika_1917_hoda.html
039_0042,Апавяданьні,epub,/Ciska_Hartny/Harbar_na_vandroucy.epub,,,Гарбар на вандроўцы,/Ciska_Hartny/Harbar_na_vandroucy.html
039_0043,Апавяданьні,epub,/Ciska_Hartny/Hladzu_na_pole_ja.epub,,,Гляджу на поле я...,/Ciska_Hartny/Hladzu_na_pole_ja.html
039_0044,Апавяданьні,epub,/Ciska_Hartny/Hodzie.epub,,,Годзе!,/Ciska_Hartny/Hodzie.html
039_0045,Апавяданьні,epub,/Ciska_Hartny/Da_zauranki.epub,,,Да жаўранкі,/Ciska_Hartny/Da_zauranki.html
039_0046,Апавяданьні,epub,/Ciska_Hartny/Da_klaniny.epub,,,Да кляніны,/Ciska_Hartny/Da_klaniny.html
039_0047,Апавяданьні,epub,/Ciska_Hartny/Da_nadziei.epub,,,Да надзеі,/Ciska_Hartny/Da_nadziei.html
039_0048,Апавяданьні,epub,/Ciska_Hartny/Da_Niomna.epub,,,Да Нёмна,/Ciska_Hartny/Da_Niomna.html
039_0049,Апавяданьні,epub,/Ciska_Hartny/Daradcykam.epub,,,Дарадчыкам,/Ciska_Hartny/Daradcykam.html
039_0050,Апавяданьні,epub,/Ciska_Hartny/Dziaucynie-tavarysu.epub,,,Дзяўчыне-таварышу...,/Ciska_Hartny/Dziaucynie-tavarysu.html
039_0051,Апавяданьні,epub,"/Ciska_Hartny/Dojdziem,_synok.epub",,,"Дойдзем, сынок","/Ciska_Hartny/Dojdziem,_synok.html"
039_0052,Апавяданьні,epub,/Ciska_Hartny/Z_cuzyny.epub,,,З чужыны,/Ciska_Hartny/Z_cuzyny.html
039_0053,Апавяданьні,epub,/Ciska_Hartny/Zavajovy.epub,,,Заваёвы,/Ciska_Hartny/Zavajovy.html
039_0054,Апавяданьні,epub,"/Ciska_Hartny/Zahudzi_ty,_viecier.epub",,,"Загудзі ты, вецер","/Ciska_Hartny/Zahudzi_ty,_viecier.html"
039_0055,Апавяданьні,epub,/Ciska_Hartny/Zvanar.epub,,,Званар,/Ciska_Hartny/Zvanar.html
039_0056,Апавяданьні,epub,/Ciska_Hartny/Zvon.epub,,,Звон,/Ciska_Hartny/Zvon.html
039_0057,Апавяданьні,epub,/Ciska_Hartny/Zmahajsia.epub,,,Змагайся!,/Ciska_Hartny/Zmahajsia.html
039_0058,Апавяданьні,epub,/Ciska_Hartny/Kaval.epub,,,Каваль,/Ciska_Hartny/Kaval.html
039_0059,Апавяданьні,epub,/Ciska_Hartny/Kalysnaja_piesnia.epub,,,Калысная песня,/Ciska_Hartny/Kalysnaja_piesnia.html
039_0060,Апавяданьні,epub,/Ciska_Hartny/Kala_boru_sonca_chodzic.epub,,,Каля бору сонца ходзіць,/Ciska_Hartny/Kala_boru_sonca_chodzic.html
039_0061,Апавяданьні,epub,/Ciska_Hartny/Kapyl.epub,,,Капыль,/Ciska_Hartny/Kapyl.html
039_0062,Апавяданьні,epub,/Ciska_Hartny/Kasba.epub,,,Касьба,/Ciska_Hartny/Kasba.html
039_0063,Апавяданьні,epub,/Ciska_Hartny/Klaninka.epub,,,Клянінка,/Ciska_Hartny/Klaninka.html
039_0064,Апавяданьні,epub,"/Ciska_Hartny/Krasuj,_zbozza.epub",,,"Красуй, збожжа!","/Ciska_Hartny/Krasuj,_zbozza.html"
039_0065,Апавяданьні,epub,/Ciska_Hartny/Kraju_rodnaha_nie_kinu.epub,,,Краю роднага не кіну...,/Ciska_Hartny/Kraju_rodnaha_nie_kinu.html
039_0066,Апавяданьні,epub,/Ciska_Hartny/Lichtarscyk.epub,,,Ліхтаршчык,/Ciska_Hartny/Lichtarscyk.html
039_0067,Апавяданьні,epub,/Ciska_Hartny/Majoj_piesni_dali_tony.epub,,,Маёй песні далі тоны..,/Ciska_Hartny/Majoj_piesni_dali_tony.html
039_0068,Апавяданьні,epub,/Ciska_Hartny/Maja_stychija.epub,,,Мая стыхія,/Ciska_Hartny/Maja_stychija.html
039_0069,Апавяданьні,epub,/Ciska_Hartny/Mnoha_sil_maladych.epub,,,Многа сіл маладых,/Ciska_Hartny/Mnoha_sil_maladych.html
039_0070,Апавяданьні,epub,/Ciska_Hartny/Moj_viers.epub,,,Мой верш,/Ciska_Hartny/Moj_viers.html
039_0071,Апавяданьні,epub,/Ciska_Hartny/Napiaredadni.epub,,,Напярэдадні,/Ciska_Hartny/Napiaredadni.html
039_0072,Апавяданьні,epub,/Ciska_Hartny/Novaja_chatka.epub,,,Новая хатка,/Ciska_Hartny/Novaja_chatka.html
039_0073,Апавяданьні,epub,/Ciska_Hartny/Pazaryska.epub,,,Пажарыска,/Ciska_Hartny/Pazaryska.html
039_0074,Апавяданьні,epub,/Ciska_Hartny/Pazyu.epub,,,Пазыў,/Ciska_Hartny/Pazyu.html
039_0075,Апавяданьні,epub,/Ciska_Hartny/Paustannie.epub,,,Паўстанне,/Ciska_Hartny/Paustannie.html
039_0076,Апавяданьні,epub,/Ciska_Hartny/Piesni_harbara.epub,,,Песні гарбара,/Ciska_Hartny/Piesni_harbara.html
039_0077,Апавяданьні,epub,/Ciska_Hartny/Piesnia_hrabara.epub,,,Песня грабара,/Ciska_Hartny/Piesnia_hrabara.html
039_0078,Апавяданьні,epub,/Ciska_Hartny/Piesnia_zniai.epub,,,Песня жняі,/Ciska_Hartny/Piesnia_zniai.html
039_0079,Апавяданьні,epub,/Ciska_Hartny/Piesniaru.epub,,,Песняру,/Ciska_Hartny/Piesniaru.html
039_0080,Апавяданьні,epub,/Ciska_Hartny/Piatnaccac.epub,,,Пятнаццаць,/Ciska_Hartny/Piatnaccac.html
039_0081,Апавяданьні,epub,/Ciska_Hartny/Rabotnickaja_i_sialanskaja_revalucyja.epub,,,Работніцкая і сялянская рэвалюцыя,/Ciska_Hartny/Rabotnickaja_i_sialanskaja_revalucyja.html
039_0082,Апавяданьні,epub,/Ciska_Hartny/Radzimie.epub,,,Радзіме,/Ciska_Hartny/Radzimie.html
039_0083,Апавяданьні,epub,/Ciska_Hartny/Rans_i_ciapier.epub,,,Раньш і цяпер,/Ciska_Hartny/Rans_i_ciapier.html
039_0084,Апавяданьні,epub,/Ciska_Hartny/Raspusnica.epub,,,Распусніца,/Ciska_Hartny/Raspusnica.html
039_0085,Апавяданьні,epub,/Ciska_Hartny/Rvusia_ja.epub,,,Рвуся я,/Ciska_Hartny/Rvusia_ja.html
039_0086,Апавяданьні,epub,/Ciska_Hartny/Rodnaj_krainie.epub,,,Роднай краіне,/Ciska_Hartny/Rodnaj_krainie.html
039_0087,Апавяданьні,epub,/Ciska_Hartny/Sielski_mitynh.epub,,,Сельскі мітынг,/Ciska_Hartny/Sielski_mitynh.html
039_0088,Апавяданьні,epub,/Ciska_Hartny/Sielski_reukom.epub,,,Сельскі рэўком,/Ciska_Hartny/Sielski_reukom.html
039_0089,Апавяданьні,epub,/Ciska_Hartny/Soki_caliny.epub,,,Сокі цаліны,/Ciska_Hartny/Soki_caliny.html
