linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
046_0001,Вершы,epub,/Kanstancyja_Bujlo/Adna.epub,,,Адна,/Kanstancyja_Bujlo/Adna.html
046_0002,Вершы,epub,/Kanstancyja_Bujlo/Bez.epub,,,Бэз,/Kanstancyja_Bujlo/Bez.html
046_0003,Вершы,epub,/Kanstancyja_Bujlo/Vaal_Ja_usio_uzo_spalila_na_altary.epub,,,«Ваал! Я ўсё ужо спаліла на алтары...»,/Kanstancyja_Bujlo/Vaal_Ja_usio_uzo_spalila_na_altary.html
046_0004,Вершы,epub,"/Kanstancyja_Bujlo/Vocy_seryja,_a_blask_ich_-_zalaty.epub",,,"«Вочы шэрыя, а бляск іх - залаты...»","/Kanstancyja_Bujlo/Vocy_seryja,_a_blask_ich_-_zalaty.html"
046_0005,Вершы,epub,/Kanstancyja_Bujlo/Hostra_u_chvorym_sercy_uspychnula_tryvoha.epub,,,«Гостра ў хворым сэрцы ўспыхнула трывога...»,/Kanstancyja_Bujlo/Hostra_u_chvorym_sercy_uspychnula_tryvoha.html
046_0006,Вершы,epub,/Kanstancyja_Bujlo/Dziaucyna.epub,,,Дзяўчына,/Kanstancyja_Bujlo/Dziaucyna.html
046_0007,Вершы,epub,/Kanstancyja_Bujlo/Dobry_viecar.epub,,,Добры вечар!,/Kanstancyja_Bujlo/Dobry_viecar.html
046_0008,Вершы,epub,/Kanstancyja_Bujlo/Zasumieli_sosny.epub,,,Зашумелі сосны...,/Kanstancyja_Bujlo/Zasumieli_sosny.html
046_0009,Вершы,epub,/Kanstancyja_Bujlo/Zvon.epub,,,Звон,/Kanstancyja_Bujlo/Zvon.html
046_0010,Вершы,epub,/Kanstancyja_Bujlo/Zima.epub,,,Зіма,/Kanstancyja_Bujlo/Zima.html
046_0011,Вершы,epub,/Kanstancyja_Bujlo/Kab_ja_miela.epub,,,Каб я мела...,/Kanstancyja_Bujlo/Kab_ja_miela.html
046_0012,Вершы,epub,/Kanstancyja_Bujlo/Kvietki.epub,,,Кветкі,/Kanstancyja_Bujlo/Kvietki.html
046_0013,Вершы,epub,/Kanstancyja_Bujlo/Kurhan.epub,,,Курган,/Kanstancyja_Bujlo/Kurhan.html
046_0014,Вершы,epub,/Kanstancyja_Bujlo/Lahodny_viecar_syple_u_recku_kraski.epub,,,«Лагодны вечар сыпле ў рэчку краскі...»,/Kanstancyja_Bujlo/Lahodny_viecar_syple_u_recku_kraski.html
046_0015,Вершы,epub,/Kanstancyja_Bujlo/Lebiadzinaja_piesnia.epub,,,Лебядзіная песня,/Kanstancyja_Bujlo/Lebiadzinaja_piesnia.html
046_0016,Вершы,epub,/Kanstancyja_Bujlo/Lipy.epub,,,Ліпы,/Kanstancyja_Bujlo/Lipy.html
046_0017,Вершы,epub,/Kanstancyja_Bujlo/Lublu.epub,,,Люблю,/Kanstancyja_Bujlo/Lublu.html
046_0018,Вершы,epub,"/Kanstancyja_Bujlo/Lublu_ahon,_sto_nielha_patusyc.epub",,,"«Люблю агонь, што нельга патушыць...»","/Kanstancyja_Bujlo/Lublu_ahon,_sto_nielha_patusyc.html"
046_0019,Вершы,epub,"/Kanstancyja_Bujlo/Laci,_dumka.epub",,,"Ляці, думка","/Kanstancyja_Bujlo/Laci,_dumka.html"
046_0020,Вершы,epub,/Kanstancyja_Bujlo/Mahila.epub,,,Магіла,/Kanstancyja_Bujlo/Mahila.html
046_0021,Вершы,epub,/Kanstancyja_Bujlo/Majo_scascie_mima_tolki_sto_prajslo.epub,,,«Маё шчасце міма толькі што прайшло...»,/Kanstancyja_Bujlo/Majo_scascie_mima_tolki_sto_prajslo.html
046_0022,Вершы,epub,/Kanstancyja_Bujlo/Miacielica.epub,,,Мяцеліца,/Kanstancyja_Bujlo/Miacielica.html
046_0023,Вершы,epub,/Kanstancyja_Bujlo/Na_krylli_piesni.epub,,,На крыллі песні,/Kanstancyja_Bujlo/Na_krylli_piesni.html
046_0024,Вершы,epub,/Kanstancyja_Bujlo/Na_mahilkach.epub,,,На магілках,/Kanstancyja_Bujlo/Na_mahilkach.html
046_0025,Вершы,epub,/Kanstancyja_Bujlo/Nie_hladzi.epub,,,Не глядзі...,/Kanstancyja_Bujlo/Nie_hladzi.html
046_0026,Вершы,epub,/Kanstancyja_Bujlo/Nie_mahu.epub,,,Не магу...,/Kanstancyja_Bujlo/Nie_mahu.html
046_0027,Вершы,epub,/Kanstancyja_Bujlo/Pamiac.epub,,,Памяць,/Kanstancyja_Bujlo/Pamiac.html
