linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
060_0001,Апавяданьні,epub,/Michas_Carot/Dziunaja_zajava_knihazbor.epub,,,Дзіўная заява,/Michas_Carot/Dziunaja_zajava_knihazbor.html
060_0002,Апавяданьні,epub,/Michas_Carot/Son_Habrusia.epub,,,Сон Габруся,/Michas_Carot/Son_Habrusia.html
060_0003,Паэмы,epub,/Michas_Carot/Bosyja_na_vohniscy.epub,,,Босыя на вогнішчы,/Michas_Carot/Bosyja_na_vohniscy.html
060_0004,Вершы,epub,/Michas_Carot/Balotam_snieznym_praz_sasonnik.epub,,,Балотам снежным праз сасоннік,/Michas_Carot/Balotam_snieznym_praz_sasonnik.html
060_0005,Вершы,epub,/Michas_Carot/Buntar.epub,,,Бунтар,/Michas_Carot/Buntar.html
060_0006,Вершы,epub,"/Michas_Carot/Viedaj,_sviet.epub",,,"Ведай, свет...","/Michas_Carot/Viedaj,_sviet.html"
060_0007,Вершы,epub,/Michas_Carot/Viecaram.epub,,,Вечарам,/Michas_Carot/Viecaram.html
060_0008,Вершы,epub,/Michas_Carot/Viecnaja_bura.epub,,,Вечная бура,/Michas_Carot/Viecnaja_bura.html
060_0009,Вершы,epub,/Michas_Carot/Zyvyja_akordy.epub,,,Жывыя акорды,/Michas_Carot/Zyvyja_akordy.html
060_0010,Вершы,epub,/Michas_Carot/Zavirucha.epub,,,Завіруха,/Michas_Carot/Zavirucha.html
060_0011,Вершы,epub,/Michas_Carot/Na_mohilkach.epub,,,На могілках,/Michas_Carot/Na_mohilkach.html
060_0012,Вершы,epub,/Michas_Carot/Nam_dobra_Ciopla_Ziamla_u_pazary.epub,,,«Нам добра. Цёпла. Зямля ў пажары...»,/Michas_Carot/Nam_dobra_Ciopla_Ziamla_u_pazary.html
060_0013,Вершы,epub,/Michas_Carot/Pole_cicha_saptala_kalossiem.epub,,,Поле ціха шаптала калоссем,/Michas_Carot/Pole_cicha_saptala_kalossiem.html
060_0014,Вершы,epub,/Michas_Carot/Rodnyja_ptuski.epub,,,Родныя птушкі,/Michas_Carot/Rodnyja_ptuski.html
060_0015,Вершы,epub,/Michas_Carot/Sienazaci_i_poli_asniezany.epub,,,Сенажаці і полі аснежаны,/Michas_Carot/Sienazaci_i_poli_asniezany.html
060_0016,Вершы,epub,/Michas_Carot/Slacham_zimnim.epub,,,Шляхам зімнім,/Michas_Carot/Slacham_zimnim.html
060_0017,Аўдыё,mp3,https://files.knihi.com/Knihi/audio-staroeradio.ru/Carot_Michas.Dziunaja_sprava.mp3,,,Дзіўная справа,/Michas_Carot/Dziunaja_sprava_audio.html
060_0018,Аўдыё,mp3,https://files.knihi.com/Knihi/audio-staroeradio.ru/Carot_Michas.Calaviek_jaki_nie_naradziusia.mp3,,,Чалавек які не нарадзіўся,/Michas_Carot/Calaviek_jaki_nie_naradziusia_audio.html
060_0019,Аўдыё,epub,/Michas_Carot/Aposniaja_noc.epub,,,Апошняя ноч,/Michas_Carot/Aposniaja_noc.html
060_0020,Аўдыё,epub,/Michas_Carot/Baciuska.epub,,,Бацюшка,/Michas_Carot/Baciuska.html
060_0021,Аўдыё,epub,/Michas_Carot/Dziunaja_zajava.epub,,,Дзіўная заява,/Michas_Carot/Dziunaja_zajava.html
060_0022,Аўдыё,epub,/Michas_Carot/Kirmas.epub,,,Кірмаш,/Michas_Carot/Kirmas.html
060_0023,Аўдыё,epub,/Michas_Carot/Mikitau_lapac.epub,,,Мікітаў лапаць,/Michas_Carot/Mikitau_lapac.html
060_0024,Аўдыё,epub,/Michas_Carot/Na_pasiekach.epub,,,На пасеках,/Michas_Carot/Na_pasiekach.html
060_0025,Аўдыё,epub,/Michas_Carot/Pasla_bury_Skaz_staroha_dziaduli.epub,,,Пасля буры... (Сказ старога дзядулі),/Michas_Carot/Pasla_bury_Skaz_staroha_dziaduli.html
060_0026,Аўдыё,epub,/Michas_Carot/Pastuski.epub,,,Пастушкі,/Michas_Carot/Pastuski.html
060_0027,Аўдыё,epub,/Michas_Carot/Samalot.epub,,,Самалёт,/Michas_Carot/Samalot.html
060_0028,Аўдыё,epub,/Michas_Carot/Svinapas.epub,,,Свінапас,/Michas_Carot/Svinapas.html
060_0029,Аўдыё,epub,"/Michas_Carot/Calaviek,_jaki_nie_radziusia.epub",,,"Чалавек, які не радзіўся","/Michas_Carot/Calaviek,_jaki_nie_radziusia.html"
060_0030,Кнігі,pdf,https://files.knihi.com/Knihi/other2/Bielarus_lapciuznaja_1927.pdf,,,Беларусь лапцюжная,/Michas_Carot/Bielarus_lapciuznaja.html
060_0031,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n2/Carot_Michas.Vybranaje.djvu,,,Выбранае,/Michas_Carot/Vybranaje.html
060_0032,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n2/Carot_Michas.Zbor_tvorau_2_2.djvu,,,"Збор творах у двух тамах, т.2","/Michas_Carot/Zbor_tvorach_u_dvuch_tamach,_t2.html"
060_0033,Кнігі,pdf,https://files.knihi.com/Knihi/other2/Carot.Viascun_1927.pdf,,,Чырвонакрылы вяшчун,/Michas_Carot/Cyrvonakryly_viascun.html
060_0034,Вершы,epub,/Michas_Carot/Molodniak-rus.epub,,,Молодняк,/Michas_Carot/Molodniak-rus.html
060_0035,Вершы,epub,/Michas_Carot/Sienokosy_i_pola_zasniezieny-rus.epub,,,«Сенокосы и поля заснежены...»,/Michas_Carot/Sienokosy_i_pola_zasniezieny-rus.html
