linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
084_0001,,epub,/Piatro_Hlebka/Ahni_Susvietu.epub,,,Агні Сусвету,/Piatro_Hlebka/Ahni_Susvietu.html
084_0002,,epub,/Piatro_Hlebka/Apoviesc_pra_kania.epub,,,Аповесць пра каня,/Piatro_Hlebka/Apoviesc_pra_kania.html
084_0003,,epub,/Piatro_Hlebka/Aposniaja_streca.epub,,,Апошняя стрэча,/Piatro_Hlebka/Aposniaja_streca.html
084_0004,,epub,/Piatro_Hlebka/Arka_nad_akijanam.epub,,,Арка над акіянам,/Piatro_Hlebka/Arka_nad_akijanam.html
084_0005,,epub,/Piatro_Hlebka/Arlanka.epub,,,Арлянка,/Piatro_Hlebka/Arlanka.html
084_0006,,epub,/Piatro_Hlebka/Viersy_1925-1967.epub,,,Вершы (1925-1967),/Piatro_Hlebka/Viersy_1925-1967.html
084_0007,,epub,/Piatro_Hlebka/Hieroj_i_partyzanka.epub,,,Герой і партызанка,/Piatro_Hlebka/Hieroj_i_partyzanka.html
084_0008,,epub,/Piatro_Hlebka/Dvanaccaty_zjezd_KPB.epub,,,Дванаццаты з'езд КПБ,/Piatro_Hlebka/Dvanaccaty_zjezd_KPB.html
084_0009,,epub,/Piatro_Hlebka/Dvaccaty_hod.epub,,,Дваццаты год,/Piatro_Hlebka/Dvaccaty_hod.html
084_0010,,epub,/Piatro_Hlebka/Kara.epub,,,Кара,/Piatro_Hlebka/Kara.html
084_0011,,epub,/Piatro_Hlebka/Karmensita.epub,,,Кармэнсіта,/Piatro_Hlebka/Karmensita.html
084_0012,,epub,/Piatro_Hlebka/Kryvavaja_niadziela.epub,,,Крывавая нядзеля,/Piatro_Hlebka/Kryvavaja_niadziela.html
084_0013,,epub,/Piatro_Hlebka/Kurhan.epub,,,Курган,/Piatro_Hlebka/Kurhan.html
084_0014,,epub,/Piatro_Hlebka/Lasnoje_vodhulle.epub,,,Лясное водгулле,/Piatro_Hlebka/Lasnoje_vodhulle.html
084_0015,,epub,/Piatro_Hlebka/Matcyny_kazki.epub,,,Матчыны казкі,/Piatro_Hlebka/Matcyny_kazki.html
084_0016,,epub,/Piatro_Hlebka/Muznasc.epub,,,Мужнасць,/Piatro_Hlebka/Muznasc.html
084_0017,,epub,/Piatro_Hlebka/Nad_Biarozaj-rakoj.epub,,,Над Бярозай-ракой,/Piatro_Hlebka/Nad_Biarozaj-rakoj.html
084_0018,,epub,/Piatro_Hlebka/Noc_u_vajskovych_lahierach.epub,,,Ноч у вайсковых лагерах,/Piatro_Hlebka/Noc_u_vajskovych_lahierach.html
084_0019,,epub,/Piatro_Hlebka/Pamiaci_UILenina.epub,,,Памяці У.І.Леніна,/Piatro_Hlebka/Pamiaci_UILenina.html
084_0020,,epub,/Piatro_Hlebka/Partyzany.epub,,,Партызаны,/Piatro_Hlebka/Partyzany.html
084_0021,,epub,/Piatro_Hlebka/Paslaniec.epub,,,Пасланец,/Piatro_Hlebka/Paslaniec.html
084_0022,,epub,/Piatro_Hlebka/Piesni_zaloby.epub,,,Песні жалобы,/Piatro_Hlebka/Piesni_zaloby.html
084_0023,,epub,/Piatro_Hlebka/Piesni_minulaj_vajny.epub,,,Песні мінулай вайны,/Piatro_Hlebka/Piesni_minulaj_vajny.html
084_0024,,epub,/Piatro_Hlebka/Piesni_pryhonu.epub,,,Песні прыгону,/Piatro_Hlebka/Piesni_pryhonu.html
084_0025,,epub,/Piatro_Hlebka/Pra_viasnu_i_revalucyju.epub,,,Пра вясну і рэвалюцыю,/Piatro_Hlebka/Pra_viasnu_i_revalucyju.html
084_0026,,epub,/Piatro_Hlebka/Rytmy.epub,,,Рытмы,/Piatro_Hlebka/Rytmy.html
084_0027,,epub,/Piatro_Hlebka/Sviatlo_z_Uschodu.epub,,,Святло з Усходу,/Piatro_Hlebka/Sviatlo_z_Uschodu.html
084_0028,,epub,/Piatro_Hlebka/Son_u_piersamajskuju_noc.epub,,,Сон у першамайскую ноч,/Piatro_Hlebka/Son_u_piersamajskuju_noc.html
084_0029,,epub,/Piatro_Hlebka/Tryvozny_sihnal.epub,,,Трывожны сігнал,/Piatro_Hlebka/Tryvozny_sihnal.html
084_0030,,epub,/Piatro_Hlebka/Trylohija_adnaje_historyi.epub,,,Трылогія аднае гісторыі,/Piatro_Hlebka/Trylohija_adnaje_historyi.html
084_0031,,epub,/Piatro_Hlebka/U_darohu.epub,,,У дарогу,/Piatro_Hlebka/U_darohu.html
084_0032,,epub,/Piatro_Hlebka/U_padarozzy.epub,,,У падарожжы,/Piatro_Hlebka/U_padarozzy.html
084_0033,,epub,/Piatro_Hlebka/U_tyja_dni.epub,,,У тыя дні,/Piatro_Hlebka/U_tyja_dni.html
084_0034,,epub,/Piatro_Hlebka/Chada_padziej.epub,,,Хада падзей,/Piatro_Hlebka/Chada_padziej.html
084_0035,,epub,/Piatro_Hlebka/Ema.epub,,,Эма,/Piatro_Hlebka/Ema.html
084_0036,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n2/Hlebka_Piatro.Zbor_tvorau_3_1.djvu,,,"Збор твораў у трох тамах, т. 1","/Piatro_Hlebka/Zbor_tvorau_u_troch_tamach,_t_1.html"
084_0037,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n2/Hlebka_Piatro.Zbor_tvorau_3_2.djvu,,,"Збор твораў у трох тамах, т. 2","/Piatro_Hlebka/Zbor_tvorau_u_troch_tamach,_t_2.html"
084_0038,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n2/Hlebka_Piatro.Zbor_tvorau_3_3.djvu,,,"Збор твораў у трох тамах, т. 3","/Piatro_Hlebka/Zbor_tvorau_u_troch_tamach,_t_3.html"
084_0039,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n2/Hlebka_Piatro.Zbor_tvorau_4_1.djvu,,,"Збор твораў у чатырох тамах, т. 1","/Piatro_Hlebka/Zbor_tvorau_u_catyroch_tamach,_t_1.html"
084_0040,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n2/Hlebka_Piatro.Zbor_tvorau_4_2.djvu,,,"Збор твораў у чатырох тамах, т. 2","/Piatro_Hlebka/Zbor_tvorau_u_catyroch_tamach,_t_2.html"
084_0041,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n2/Hlebka_Piatro.Zbor_tvorau_4_3.djvu,,,"Збор твораў у чатырох тамах, т. 3","/Piatro_Hlebka/Zbor_tvorau_u_catyroch_tamach,_t_3.html"
084_0042,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n2/Hlebka_Piatro.Zbor_tvorau_4_4.djvu,,,"Збор твораў у чатырох тамах, т. 4","/Piatro_Hlebka/Zbor_tvorau_u_catyroch_tamach,_t_4.html"
084_0043,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Hlebka_Piatro.Pytanni_historyi_filalohii_mastactva.djvu,,,"Пытанні гісторыі, філасофіі, мастацтва","/Piatro_Hlebka/Pytanni_historyi,_filasofii,_mastactva.html"
084_0044,Пераклады,epub,/Michail_Lermantau/Paet_Hlebka.epub,Міхаіл Лермантаў,/Michail_Lermantau/,Паэт,/Michail_Lermantau/Paet_Hlebka.html
084_0045,Пераклады,epub,/Michail_Lermantau/Chmary_Hlebka.epub,Міхаіл Лермантаў,/Michail_Lermantau/,Хмары,/Michail_Lermantau/Chmary_Hlebka.html
