linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
094_0001,Вершы,epub,/Ales_Zvonak/Harbuz.epub,,,Гарбуз,/Ales_Zvonak/Harbuz.html
094_0002,Вершы,epub,/Ales_Zvonak/Nad_biezdanniu.epub,,,Над безданню,/Ales_Zvonak/Nad_biezdanniu.html
094_0003,Вершы,epub,/Ales_Zvonak/Rok-saniet.epub,,,Рок-санет,/Ales_Zvonak/Rok-saniet.html
094_0004,Вершы,epub,/Ales_Zvonak/Cien_Jeufrasinni.epub,,,Цень Еўфрасінні,/Ales_Zvonak/Cien_Jeufrasinni.html
094_0005,Зборнікі,djvu,https://files.knihi.com/Knihi/scanned/Zvonak.Sanety.djvu,,,Санеты,/Ales_Zvonak/Saniety.html
094_0006,Зборнікі,epub,"/Ales_Zvonak/Asienni_cholad,_styn_i_biezdarozza.epub",,,"""Асенні холад, стынь і бездарожжа...""","/Ales_Zvonak/Asienni_cholad,_styn_i_biezdarozza.html"
094_0007,Зборнікі,epub,"/Ales_Zvonak/Asfalt,_i_pyl.epub",,,"""Асфальт, і пыл...""","/Ales_Zvonak/Asfalt,_i_pyl.html"
094_0008,Зборнікі,epub,/Ales_Zvonak/Biez_krylau_piesni_nie_uzlaciec_vysoka.epub,,,"""Без крылаў песні не ўзляцець высока...""",/Ales_Zvonak/Biez_krylau_piesni_nie_uzlaciec_vysoka.html
094_0009,Зборнікі,epub,/Ales_Zvonak/Vajna_razmiala_nas.epub,,,"""Вайна размяла нас...""",/Ales_Zvonak/Vajna_razmiala_nas.html
094_0010,Зборнікі,epub,/Ales_Zvonak/Vieras_ryzavaty.epub,,,"""Верас рыжаваты...""",/Ales_Zvonak/Vieras_ryzavaty.html
094_0011,Зборнікі,epub,/Ales_Zvonak/Viecier_nosic_lohkija_sniazynki.epub,,,"""Вецер носіць лёгкія сняжынкі...""",/Ales_Zvonak/Viecier_nosic_lohkija_sniazynki.html
094_0012,Зборнікі,epub,/Ales_Zvonak/Viecar_Hadzina_katoraja.epub,,,"""Вечар. Гадзіна каторая?..""",/Ales_Zvonak/Viecar_Hadzina_katoraja.html
