linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
112_0001,Вершы,epub,/Larysa_Hienijus/Daunina.epub,,,Даўніна,/Larysa_Hienijus/Daunina.html
112_0002,Вершы,epub,/Larysa_Hienijus/Kufar.epub,,,Куфар,/Larysa_Hienijus/Kufar.html
112_0003,Зборнікі,pdf,https://files.knihi.com/Knihi/skaryna.org.uk/Hienijus.Viersy_1945-47.pdf,,,Вершы. Рукапісны зборнік з 1945-47 гг.,/Larysa_Hienijus/Viersy_Rukapisny_zbornik_z_1945-47_hh.html
112_0004,Аўдыё,ogg,https://files.knihi.com/Knihi/audiobooks/Henijus_Larysa.Vostry_sum_pranizau_navakolle.ogg,,,Востры сум пранізаў навакольле...,/Larysa_Hienijus/Vostry_sum_pranizau_navakolle_audio.html
112_0005,Аўдыё,ogg,"https://files.knihi.com/Knihi/audiobooks/Henijus_Larysa.Hlan,miesiac_spyniusia.ogg",,,"Глянь, месяц спыніўся...","/Larysa_Hienijus/Hlan,_miesiac_spyniusia_audio.html"
112_0006,Аўдыё,ogg,https://files.knihi.com/Knihi/audiobooks/Henijus_Larysa.Dzien_sinialoby_stukaje_u_vakno.ogg,,,Дзень сінялобы стукае ў вакно...,/Larysa_Hienijus/Dzien_sinialoby_stukaje_u_vakno_audio.html
112_0007,Аўдыё,ogg,https://files.knihi.com/Knihi/audiobooks/Henijus_Larysa.Znou_viasna.ogg,,,Зноў вясна...,/Larysa_Hienijus/Znou_viasna_audio.html
112_0008,Аўдыё,ogg,https://files.knihi.com/Knihi/audiobooks/Henijus_Larysa.Kali_kranaje_nas_zyccio_surovaj_lapaj.ogg,,,Калі кранае нас жыцьцё суровай лапай...,/Larysa_Hienijus/Kali_kranaje_nas_zyccio_surovaj_lapaj_audio.html
112_0009,Аўдыё,ogg,https://files.knihi.com/Knihi/audiobooks/Henijus_Larysa.Narod_u_niavoli_lichoj.ogg,,,Народ у няволі ліхой...,/Larysa_Hienijus/Narod_u_niavoli_lichoj_audio.html
112_0010,Аўдыё,ogg,"https://files.knihi.com/Knihi/audiobooks/Henijus_Larysa.Nas_zabitych,zahnanych.ogg",,,"Нас забітых, загнаных...","/Larysa_Hienijus/Nas_zabitych,_zahnanych_audio.html"
112_0011,Аўдыё,ogg,https://files.knihi.com/Knihi/audiobooks/Henijus_Larysa.Ni_kraty_ni_ciazkasc_akovau.ogg,,,Ні краты ні цяжкасьць аковаў...,/Larysa_Hienijus/Ni_kraty_ni_ciazkasc_akovau_audio.html
112_0012,Аўдыё,ogg,https://files.knihi.com/Knihi/audiobooks/Henijus_Larysa.Stoma_dnia.ogg,,,Стома дня..,/Larysa_Hienijus/Stoma_dnia_audio.html
112_0013,Аўдыё,ogg,https://files.knihi.com/Knihi/audiobooks/Henijus_Larysa.Serca_da_Kraju_zvierniena.ogg,,,Сэрца да Краю зьвернена...,/Larysa_Hienijus/Serca_da_Kraju_zvierniena_audio.html
112_0014,Аўдыё,ogg,https://files.knihi.com/Knihi/audiobooks/Henijus_Larysa.Cas_mknie_napierad.ogg,,,Час мкне наперад...,/Larysa_Hienijus/Cas_mknie_napierad_audio.html
112_0015,Аўдыё,ogg,https://files.knihi.com/Knihi/audiobooks/Henijus_Larysa.Ja_sustrelasia_z_siabrami.ogg,,,Я сустрэнуся з сябрамі...,/Larysa_Hienijus/Ja_sustrenusia_z_siabrami_audio.html
112_0016,Аўдыё - галасы паэтаў,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Larysa_Hienijus.Dub_zvaliusia.mp3,,,Дуб зваліўся,/Larysa_Hienijus/Dub_zvaliusia_authoraudio.html
