linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
175_0001,Раманы,epub,/Uladzimir_Karatkievic/Kalasy_pad_siarpom_tvaim.epub,,,Каласы пад сярпом тваім,/Uladzimir_Karatkievic/Kalasy_pad_siarpom_tvaim.html
175_0002,Раманы,epub,/Uladzimir_Karatkievic/Chrystos_pryziamliusia_u_Harodni.epub,,,Хрыстос прызямліўся ў Гародні,/Uladzimir_Karatkievic/Chrystos_pryziamliusia_u_Harodni.html
175_0003,Раманы,epub,/Uladzimir_Karatkievic/Corny_zamak_Alsanski.epub,,,Чорны замак Альшанскі,/Uladzimir_Karatkievic/Corny_zamak_Alsanski.html
175_0004,Аповесьці,epub,/Uladzimir_Karatkievic/Dzikaje_palavannie_karala_Stacha.epub,,,Дзікае паляванне караля Стаха,/Uladzimir_Karatkievic/Dzikaje_palavannie_karala_Stacha.html
175_0005,Аповесьці,epub,/Uladzimir_Karatkievic/Zbroja.epub,,,Зброя,/Uladzimir_Karatkievic/Zbroja.html
175_0006,Аповесьці,epub,/Uladzimir_Karatkievic/Laddzia_rospacy.epub,,,Ладдзя роспачы,/Uladzimir_Karatkievic/Laddzia_rospacy.html
175_0007,Аповесьці,epub,/Uladzimir_Karatkievic/Liscie_kastanau.epub,,,Лісце каштанаў,/Uladzimir_Karatkievic/Liscie_kastanau.html
175_0008,Аповесьці,epub,/Uladzimir_Karatkievic/Sivaja_lehienda.epub,,,Сівая легенда,/Uladzimir_Karatkievic/Sivaja_lehienda.html
175_0009,Аповесьці,epub,/Uladzimir_Karatkievic/Cazienija.epub,,,Чазенія,/Uladzimir_Karatkievic/Cazienija.html
175_0010,Навэлы,epub,/Uladzimir_Karatkievic/Knihanosy.epub,,,Кніганошы,/Uladzimir_Karatkievic/Knihanosy.html
175_0011,Апавяданьні,epub,/Uladzimir_Karatkievic/Bielaje_polymia.epub,,,Белае полымя,/Uladzimir_Karatkievic/Bielaje_polymia.html
175_0012,Апавяданьні,epub,/Uladzimir_Karatkievic/Blakit_i_zolata_dnia.epub,,,Блакіт і золата дня,/Uladzimir_Karatkievic/Blakit_i_zolata_dnia.html
175_0013,Апавяданьні,epub,/Uladzimir_Karatkievic/Dreva_viecnasci.epub,,,Дрэва вечнасці,/Uladzimir_Karatkievic/Dreva_viecnasci.html
175_0014,Апавяданьні,epub,/Uladzimir_Karatkievic/Kraina_Cyhanija.epub,,,Краіна Цыганія,/Uladzimir_Karatkievic/Kraina_Cyhanija.html
