linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
196_0001,Апавяданьні,epub,/Janka_Sipakou/Viecier_na_dachu_vahona.epub,,,Вецер на даху вагона,/Janka_Sipakou/Viecier_na_dachu_vahona.html
196_0002,Апавяданьні,epub,/Janka_Sipakou/Dazdzom.epub,,,Дажджом,/Janka_Sipakou/Dazdzom.html
196_0003,Апавяданьні,epub,/Janka_Sipakou/Zubrevickaja_saha.epub,,,Зубрэвіцкая сага,/Janka_Sipakou/Zubrevickaja_saha.html
196_0004,Апавяданьні,epub,/Janka_Sipakou/Pamorak.epub,,,Паморак,/Janka_Sipakou/Pamorak.html
196_0005,Апавяданьні,epub,/Janka_Sipakou/Pacakalnia_u_dozdz.epub,,,Пачакальня ў дождж,/Janka_Sipakou/Pacakalnia_u_dozdz.html
196_0006,Апавяданьні,epub,/Janka_Sipakou/Ptuski.epub,,,Птушкі,/Janka_Sipakou/Ptuski.html
196_0007,Апавяданьні,epub,/Janka_Sipakou/Rusalka.epub,,,Русалка,/Janka_Sipakou/Rusalka.html
196_0008,Апавяданьні,epub,/Janka_Sipakou/Sady.epub,,,Сады,/Janka_Sipakou/Sady.html
196_0009,Апавяданьні,epub,/Janka_Sipakou/Slaza_Pieruna.epub,,,Сляза Перуна,/Janka_Sipakou/Slaza_Pieruna.html
196_0010,Апавяданьні,epub,/Janka_Sipakou/Chutkija_nohi.epub,,,Хуткія ногі,/Janka_Sipakou/Chutkija_nohi.html
196_0011,Эсэ,epub,/Janka_Sipakou/Adam_i_Maryla.epub,,,Адам і Марыля,/Janka_Sipakou/Adam_i_Maryla.html
196_0012,Эсэ,epub,/Janka_Sipakou/Sciezkaju_Zubrevicy-Lauki.epub,,,Сцежкаю Зубрэвічы-Ляўкі,/Janka_Sipakou/Sciezkaju_Zubrevicy-Lauki.html
196_0013,Эсэ,epub,/Janka_Sipakou/Toje_leta.epub,,,Тое лета,/Janka_Sipakou/Toje_leta.html
196_0014,Баляды,epub,/Janka_Sipakou/Kantrabanda.epub,,,Кантрабанда,/Janka_Sipakou/Kantrabanda.html
196_0015,Вершы,epub,/Janka_Sipakou/Spiac_u_snaradach.epub,,,«Спяць у снарадах...»,/Janka_Sipakou/Spiac_u_snaradach.html
196_0016,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Arystant.mp3,,,Балады. Арыштант,/Janka_Sipakou/Balady_Arystant_audio.html
196_0017,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Bazary.mp3,,,Балады. Базары,/Janka_Sipakou/Balady_Bazary_audio.html
196_0018,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Viazien.mp3,,,Балады. Вязень,/Janka_Sipakou/Balady_Viazien_audio.html
196_0019,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Hrunvald.mp3,,,Балады. Грунвальд,/Janka_Sipakou/Balady_Hrunvald_audio.html
196_0020,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Jes.mp3,,,Балады. Еш,/Janka_Sipakou/Balady_Jes_audio.html
196_0021,Аўдыё,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Miacyk.mp3,,,Балады. Мячык,/Janka_Sipakou/Balady_Miacyk_audio.html
