linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
205_0001,Апавяданьні,epub,/Michas_Stralcou/Blakitny_viecier.epub,,,Блакітны вецер,/Michas_Stralcou/Blakitny_viecier.html
205_0002,Апавяданьні,epub,/Michas_Stralcou/Dvoje_u_lesie.epub,,,Двое ў лесе,/Michas_Stralcou/Dvoje_u_lesie.html
205_0003,Апавяданьні,epub,/Michas_Stralcou/Na_cacviertym_hodzie_vajny.epub,,,На чацвертым годзе вайны,/Michas_Stralcou/Na_cacviertym_hodzie_vajny.html
205_0004,Апавяданьні,epub,/Michas_Stralcou/Siena_na_asfalcie.epub,,,Сена на асфальце,/Michas_Stralcou/Siena_na_asfalcie.html
205_0005,Апавяданьні,epub,/Michas_Stralcou/Smalennie_viepruka.epub,,,Смаленне вепрука,/Michas_Stralcou/Smalennie_viepruka.html
205_0006,Аўдыё,mp3,"https://files.knihi.com/Knihi/audio-staroeradio.ru/Stralcou_Michas.Adzin_lapac,_adzin_cun.mp3",,,"Адзін лапаць, адзін чунь","/Michas_Stralcou/Adzin_lapac,_adzin_cun_audio.html"
205_0007,Аўдыё,djvu,https://files.knihi.com/Knihi/scanned/Stralcou.Adzin_lapac.djvu,,,"Адзін лапаць, адзін чунь","/Michas_Stralcou/Adzin_lapac,_adzin_cun.html"
205_0008,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n2/Stralcou_Michas.Vybranaje.djvu,,,Выбранае,/Michas_Stralcou/Vybranaje.html
205_0009,Пераклады,epub,/Cynhiz_Ajtmatau/Buranny_paustanak.epub,Чынгіз Айтматаў,/Cynhiz_Ajtmatau/,Буранны паўстанак,/Cynhiz_Ajtmatau/Buranny_paustanak.html
205_0010,Пераклады,epub,/Alaksandar_Puskin/Haryc_va_mnie_ahon_niacnotny.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,«Гарыць ва мне агонь няцнотны...»,/Alaksandar_Puskin/Haryc_va_mnie_ahon_niacnotny.html
205_0011,Пераклады,epub,/Alaksandar_Puskin/Try_krynicy.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Тры крыніцы,/Alaksandar_Puskin/Try_krynicy.html
