linkId,heading,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
278_0001,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Marcinovic_Pavel.Pradviesnie.djvu,,,Прадвесне,/Paviel_Marcinovic/Pradviesnie.html
278_0002,Кнігі,djvu,https://files.knihi.com/Knihi/scanned-n/Marcinovic_Pavel.Cas_burstynu.djvu,,,Час бурштыну,/Paviel_Marcinovic/Cas_burstynu.html
278_0003,Пераклады,epub,/Sachiba_Abdulajeva/Panavannie_zancyn.epub,Сахіба Абдулаева,/Sachiba_Abdulajeva/,Панаванне жанчын,/Sachiba_Abdulajeva/Panavannie_zancyn.html
278_0004,Пераклады,epub,/Banhuolis_Balasavicus/Znajomy_saldat.epub,Бангуоліс Балашавічус,/Banhuolis_Balasavicus/,Знаёмы салдат,/Banhuolis_Balasavicus/Znajomy_saldat.html
278_0005,Пераклады,epub,/Vasil_Bierazny/Matcyn_holas.epub,Васіль Беражны,/Vasil_Bierazny/,Матчын голас,/Vasil_Bierazny/Matcyn_holas.html
278_0006,Пераклады,epub,/Vasil_Halavacou/Volat_na_darozie.epub,Васіль Галавачоў,/Vasil_Halavacou/,Волат на дарозе,/Vasil_Halavacou/Volat_na_darozie.html
278_0007,Пераклады,epub,/Andrej_Dzmitruk/Noc_maladzika.epub,Андрэй Дзмітрук,/Andrej_Dzmitruk/,Ноч маладзіка,/Andrej_Dzmitruk/Noc_maladzika.html
278_0008,Пераклады,epub,/Ahata_Krysci/Niabozcykava_lustra.epub,Агата Крысьці,/Ahata_Krysci/,Нябожчыкава люстра,/Ahata_Krysci/Niabozcykava_lustra.html
278_0009,Пераклады,epub,/Tachir_Malik/Falak.epub,Тахір Малік,/Tachir_Malik/,Фалак,/Tachir_Malik/Falak.html
278_0010,Пераклады,epub,/Ernest_Cheminhuej/Stary_calaviek_i_mora.epub,Эрнэст Хэмінгуэй,/Ernest_Cheminhuej/,Стары чалавек і мора,/Ernest_Cheminhuej/Stary_calaviek_i_mora.html
