linkId,dir,workHref
004_0002,004_Паўлюк Багрым,"/Pauluk_Bahrym/Play_then,_play-eng.html"
015_0001,015_Кастусь Каліноўскі,"/Kastus_Kalinouski/Maryska_carnabreva,_halubka_maja.html"
015_0002,015_Кастусь Каліноўскі,"/Kastus_Kalinouski/Muzyckaja_prauda,_1.html"
015_0003,015_Кастусь Каліноўскі,"/Kastus_Kalinouski/Muzyckaja_prauda,_2.html"
015_0004,015_Кастусь Каліноўскі,"/Kastus_Kalinouski/Muzyckaja_prauda,_3.html"
015_0005,015_Кастусь Каліноўскі,"/Kastus_Kalinouski/Muzyckaja_prauda,_4.html"
015_0006,015_Кастусь Каліноўскі,"/Kastus_Kalinouski/Muzyckaja_prauda,_5.html"
015_0007,015_Кастусь Каліноўскі,"/Kastus_Kalinouski/Muzyckaja_prauda,_6.html"
015_0008,015_Кастусь Каліноўскі,"/Kastus_Kalinouski/Muzyckaja_prauda,_7.html"
018_0011,018_Францішак Багушэвіч,"/Francisak_Bahusevic/Hdzie_cort_nie_moza,_tam_babu_pasle.html"
018_0015,018_Францішак Багушэвіч,"/Francisak_Bahusevic/Durny_muzyk,_jak_varona.html"
018_0019,018_Францішак Багушэвіч,"/Francisak_Bahusevic/Kab_ja_moh_napisac_toje,_sto_u_dumcy.html"
018_0037,018_Францішак Багушэвіч,"/Francisak_Bahusevic/Ja_stary,_tamu_j_nie_znaju.html"
018_0042,018_Францішак Багушэвіч,"/Francisak_Bahusevic/Moli_sie,_majko-bul.html"
025_0007,025_Карусь Каганец,"/Karus_Kahaniec/Lasy,_bary_i_dubrovy.html"
025_0008,025_Карусь Каганец,"/Karus_Kahaniec/Oj,_u_poli_viecier_vieje.html"
025_0064,025_Карусь Каганец,"/Karus_Kahaniec/Sto_kazuch,_to_nie_vata.html"
025_0065,025_Карусь Каганец,"/Karus_Kahaniec/Sto_kazuch,_to_nie_vata_1979.html"
028_0015,028_Янка Купала,"/Janka_Kupala/Za_sto_Oj,_maje_vy_piesni_9t.html"
028_0033,028_Янка Купала,"/Janka_Kupala/Hej,_u_sviet.html"
028_0041,028_Янка Купала,"/Janka_Kupala/Vos_tak_chlopiec,_vos_tak_jon.html"
028_0042,028_Янка Купала,"/Janka_Kupala/Viartajucca_z_vyraju_zoravy,_husi.html"
028_0043,028_Янка Купала,"/Janka_Kupala/Hraj,_maja_zalejka.html"
028_0044,028_Янка Купала,"/Janka_Kupala/Hrymnu_ja,_hrymnu_pa_strunach_buntarnych.html"
028_0050,028_Янка Купала,"/Janka_Kupala/Za_pasviascennie,_viersyk_charosy.html"
028_0053,028_Янка Купала,"/Janka_Kupala/Kali_casam_tabie_serca_nyje,_balic.html"
028_0056,028_Янка Купала,"/Janka_Kupala/Mo_calaviekam_z_ruk,_z_vacej.html"
028_0059,028_Янка Купала,"/Janka_Kupala/Na_syrokim,_na_dalokim.html"
028_0063,028_Янка Купала,"/Janka_Kupala/Praz_sto_placas,_muzycok.html"
028_0066,028_Янка Купала,"/Janka_Kupala/Sumna,_sumna_zyc_na_sviecie.html"
028_0083,028_Янка Купала,"/Janka_Kupala/A_ty,_siracina.html"
028_0084,028_Янка Купала,"/Janka_Kupala/A_u_bary,_bary.html"
028_0100,028_Янка Купала,"/Janka_Kupala/Adhuknisia,_dusa.html"
028_0118,028_Янка Купала,"/Janka_Kupala/Ach,_ci_douha.html"
028_0176,028_Янка Купала,"/Janka_Kupala/Vyjdu,_vyjdu.html"
028_0194,028_Янка Купала,"/Janka_Kupala/Honis_mianie,_panicok.html"
028_0199,028_Янка Купала,"/Janka_Kupala/Hraj_za,_muzyka.html"
028_0200,028_Янка Купала,"/Janka_Kupala/Hrajcie,_piesni.html"
028_0211,028_Янка Купала,"/Janka_Kupala/Hej,_napierad.html"
028_0212,028_Янка Купала,"/Janka_Kupala/Hej,_pajechau_syn_Danila.html"
028_0215,028_Янка Купала,"/Janka_Kupala/Heta_kryk,_sto_zyvie_Bielarus.html"
028_0242,028_Янка Купала,"/Janka_Kupala/Dzie_ty,_scascie_majo.html"
028_0245,028_Янка Купала,"/Janka_Kupala/Dzien_dobry,_Maskva.html"
028_0250,028_Янка Купала,"/Janka_Kupala/Dziaucynka,_halubka_maja.html"
028_0256,028_Янка Купала,"/Janka_Kupala/Dla_tych,_jakich_lublu.html"
028_0269,028_Янка Купала,"/Janka_Kupala/Dusacka,_synkarka.html"
028_0277,028_Янка Купала,"/Janka_Kupala/Zalciesia,_hrajkija_struny.html"
028_0355,028_Янка Купала,"/Janka_Kupala/Zdajecca_z,_bylo_heta_ucora.html"
028_0361,028_Янка Купала,"/Janka_Kupala/Zmaucycie,_dumy.html"
028_0385,028_Янка Купала,"/Janka_Kupala/Kamu_vas,_piesni.html"
028_0416,028_Янка Купала,"/Janka_Kupala/Lubimos,_maje_susiedzi.html"
028_0458,028_Янка Купала,"/Janka_Kupala/Music,_treba_bylo.html"
028_0532,028_Янка Купала,"/Janka_Kupala/Nie_capajsia,_panicok.html"
028_0547,028_Янка Купала,"/Janka_Kupala/Oj,_viadu_biadu.html"
028_0549,028_Янка Купала,"/Janka_Kupala/Oj,_camu_na_chaty_hetyja.html"
028_0560,028_Янка Купала,"/Janka_Kupala/Padymajsia,_ustavaj.html"
028_0562,028_Янка Купала,"/Janka_Kupala/Pakachaj_mianie,_dziaucynka.html"
028_0567,028_Янка Купала,"/Janka_Kupala/Palaci,_maja_mysl.html"
028_0634,028_Янка Купала,"/Janka_Kupala/Pracaj_druznaj,_kalektyunaj.html"
028_0649,028_Янка Купала,"/Janka_Kupala/Razviejsia,_tuman.html"
028_0653,028_Янка Купала,"/Janka_Kupala/Rvisia,_dumka.html"
028_0676,028_Янка Купала,"/Janka_Kupala/Siej,_volny_siejbit.html"
028_0681,028_Янка Купала,"/Janka_Kupala/Slava_tabie,_Armija.html"
028_0685,028_Янка Купала,"/Janka_Kupala/Smutna_mnie,_boza.html"
028_0719,028_Янка Купала,"/Janka_Kupala/Tabie,_pravadyr.html"
028_0732,028_Янка Купала,"/Janka_Kupala/Ty_z_Zachodniaj,_ja_z_Uschodniaj.html"
028_0733,028_Янка Купала,"/Janka_Kupala/Ty_mnie_piesniu_spiej,_dziaucyna.html"
028_0735,028_Янка Купала,"/Janka_Kupala/Ty,_zialonaja_dubrava.html"
028_0751,028_Янка Купала,"/Janka_Kupala/Uznimisia,_sciah_cyrvony.html"
028_0781,028_Янка Купала,"/Janka_Kupala/Ci_ty_uzojdzies_kali,_sonca.html"
028_0801,028_Янка Купала,"/Janka_Kupala/Cyn,_hierb_i_lapac.html"
028_0839,028_Янка Купала,"/Janka_Kupala/Jak_pajdu_ja,_pajdu.html"
028_0854,028_Янка Купала,"/Janka_Kupala/Jastrab,_lisica_j_pievien.html"
028_0880,028_Янка Купала,"/Janka_Kupala/U_casie,_kali_pan_nad_nami.html"
028_0921,028_Янка Купала,"/Janka_Kupala/Closed_in_dreams,_with_pain_for_all_time_persisting-eng.html"
028_0925,028_Янка Купала,"/Janka_Kupala/I_love_thee,_land-eng.html"
028_0948,028_Янка Купала,"/Janka_Kupala/Moja_molitva_I_v_pole_razdolnom,_i_v_chatkie_s_okonciem-rus.html"
028_0949,028_Янка Купала,"/Janka_Kupala/Moja_molitva_Ja_budu_molitsia_i_sierdciem,_i_dumami-rus.html"
028_0960,028_Янка Купала,"/Janka_Kupala/Hiej,_u_svit-ukr.html"
028_0973,028_Янка Купала,"/Janka_Kupala/Po_miezach_ridnich,_die_rozora-ukr.html"
028_0986,028_Янка Купала,"/Maryja_Kanapnickaja/Zbudziusia_les,_azvausia_les.html"
028_1001,028_Янка Купала,"/Ivan_Krylou/Lebiedz,_scupak_i_rak.html"
028_1002,028_Янка Купала,"/Ivan_Krylou/Lebiedz,_Scupak_i_Rak.html"
028_1019,028_Янка Купала,"/Nieviadomy/Slova_ab_palku_Iharavym,_Ihara,_syna_Sviataslauleva,_unuka_Alehava.html"
028_1020,028_Янка Купала,"/Mikalaj_Niakrasau/Sto_ni_hod,_pamiansajucca_sily.html"
028_1046,028_Янка Купала,"/Taras_Saucenka/Dumka_Viecier_bujny,_viecier_bujny.html"
028_1047,028_Янка Купала,"/Taras_Saucenka/Dumka_Ciazka,_ciazka_zyc_na_sviecie.html"
029_0013,029_Якуб Колас,"/Jakub_Kolas/I_ja_stary,_stary_i_moj_susied.html"
029_0014,029_Якуб Колас,"/Jakub_Kolas/Adstanu_ja,_i_cas_razluki.html"
029_0017,029_Якуб Колас,"/Jakub_Kolas/Butelecka,_butelecka.html"
029_0026,029_Якуб Колас,"/Jakub_Kolas/Hudzie_ziamla,_dryzac_lasy.html"
029_0033,029_Якуб Колас,"/Jakub_Kolas/Dzie_b_ni_byu_ja,_sto_b_ni_dumau.html"
029_0035,029_Якуб Колас,"/Jakub_Kolas/Dumki_ujucca,_tomiac_hrudzi.html"
029_0037,029_Якуб Колас,"/Jakub_Kolas/Zapytaj_ty_siabie,_calavieca.html"
029_0039,029_Якуб Колас,"/Jakub_Kolas/Lud_stohnie,_haruje_pad_ciazaram_mieca.html"
029_0040,029_Якуб Колас,"/Jakub_Kolas/Lazu_ja_chvory,_aslabiely.html"
029_0042,029_Якуб Колас,"/Jakub_Kolas/Moj_zrok,_jak_lod_chalodny.html"
029_0043,029_Якуб Колас,"/Jakub_Kolas/My_maucali,_jak_niamyja.html"
029_0047,029_Якуб Колас,"/Jakub_Kolas/Nie_viedaju,_kamu_skazac_mnie_dziakuj.html"
029_0050,029_Якуб Колас,"/Jakub_Kolas/Nie_pytajcie,_nie_prasiecie.html"
029_0051,029_Якуб Колас,"/Jakub_Kolas/Ni_krasak,_ni_zykau_Zamierla_pryroda.html"
029_0055,029_Якуб Колас,"/Jakub_Kolas/Niachaj_sabie_ludzi_kazuc,_sto_chocuc.html"
