028_Янка Купала
029_Якуб Колас
031_Максім Багдановіч
061_Кандрат Крапіва
068_Уладзімір Дубоўка
074_Наталля Арсеннева
084_Пятро Глебка
094_Алесь Звонак
095_Сяргей Дзяргай
105_Максім Лужанін
119_Васіль Вітка
125_Максім Танк
128_Сяргей Грахоўскі
129_Эдзі Агняцвет
131_Аркадзь Куляшоў
147_Алесь Бачыла
175_Уладзімір Караткевіч
177_Алег Лойка
180_Ніл Гілевіч
181_Анатоль Вярцінскі
184_Пятрусь Макаль
187_Юрась Свірка
191_Рыгор Барадулін
193_Васіль Зуёнак
196_Янка Сіпакоў
205_Міхась Стральцоў
235_Ніна Мацяш
251_Раіса Баравікова 
254_Алесь Разанаў
271_Алег Мінкін
278_Павел Марціновіч
Всего: 31
