linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
018_0001,epub,/Francisak_Bahusevic/Palasouscyk.epub,,,Палясоўшчык,/Francisak_Bahusevic/Palasouscyk.html
018_0002,epub,/Francisak_Bahusevic/Sviedka.epub,,,Сведка,/Francisak_Bahusevic/Sviedka.html
018_0003,epub,/Francisak_Bahusevic/Tralalonacka.epub,,,Тралялёначка,/Francisak_Bahusevic/Tralalonacka.html
018_0004,epub,/Francisak_Bahusevic/Kiepska_budzie.epub,,,Кепска будзе!,/Francisak_Bahusevic/Kiepska_budzie.html
018_0005,epub,/Francisak_Bahusevic/Achviara.epub,,,Ахвяра,/Francisak_Bahusevic/Achviara.html
018_0006,epub,/Francisak_Bahusevic/Boh_nie_rouna_dziele.epub,,,Бог не роўна дзеле,/Francisak_Bahusevic/Boh_nie_rouna_dziele.html
018_0007,epub,/Francisak_Bahusevic/Byu_u_cyscy.epub,,,Быў у чысцы!,/Francisak_Bahusevic/Byu_u_cyscy.html
018_0008,epub,/Francisak_Bahusevic/Vierabiej_i_kasa.epub,,,Верабей і каша,/Francisak_Bahusevic/Vierabiej_i_kasa.html
018_0009,epub,/Francisak_Bahusevic/Viecier_dzmie_i_vyje.epub,,,«Вецер дзьме і вые...»,/Francisak_Bahusevic/Viecier_dzmie_i_vyje.html
018_0010,epub,/Francisak_Bahusevic/Vouk_i_aviecka.epub,,,Воўк і авечка,/Francisak_Bahusevic/Vouk_i_aviecka.html
018_0011,epub,"/Francisak_Bahusevic/Hdzie_cort_nie_moza,_tam_babu_pasle.epub",,,"Гдзе чорт не можа, там бабу пашле","/Francisak_Bahusevic/Hdzie_cort_nie_moza,_tam_babu_pasle.html"
018_0012,epub,/Francisak_Bahusevic/Da_100-hoddzia.epub,,,Да 100-годдзя,/Francisak_Bahusevic/Da_100-hoddzia.html
018_0013,epub,/Francisak_Bahusevic/Daharaje_resta_vieccia.epub,,,«Дагарае рэшта вецця...»,/Francisak_Bahusevic/Daharaje_resta_vieccia.html
018_0014,epub,/Francisak_Bahusevic/Dumka.epub,,,Думка,/Francisak_Bahusevic/Dumka.html
018_0015,epub,"/Francisak_Bahusevic/Durny_muzyk,_jak_varona.epub",,,"Дурны мужык, як варона","/Francisak_Bahusevic/Durny_muzyk,_jak_varona.html"
018_0016,epub,/Francisak_Bahusevic/Zyccio_-_vandrouka_na_counie_pa_mory.epub,,,«Жыццё - вандроўка на чоўне па моры...»,/Francisak_Bahusevic/Zyccio_-_vandrouka_na_counie_pa_mory.html
018_0017,epub,/Francisak_Bahusevic/Z_kirmasu.epub,,,З кірмашу,/Francisak_Bahusevic/Z_kirmasu.html
018_0018,epub,/Francisak_Bahusevic/Zdarennie.epub,,,Здарэнне,/Francisak_Bahusevic/Zdarennie.html
018_0019,epub,"/Francisak_Bahusevic/Kab_ja_moh_napisac_toje,_sto_u_dumcy.epub",,,"«Каб я мог напісаць тое, што ў думцы...»","/Francisak_Bahusevic/Kab_ja_moh_napisac_toje,_sto_u_dumcy.html"
018_0020,epub,/Francisak_Bahusevic/Kalychanka.epub,,,Калыханка,/Francisak_Bahusevic/Kalychanka.html
018_0021,epub,/Francisak_Bahusevic/Kamu_dudka_paslusna.epub,,,«Каму дудка паслушна...»,/Francisak_Bahusevic/Kamu_dudka_paslusna.html
018_0022,epub,/Francisak_Bahusevic/Maja_dudka.epub,,,Мая дудка,/Francisak_Bahusevic/Maja_dudka.html
018_0023,epub,/Francisak_Bahusevic/Maja_chata.epub,,,Мая хата,/Francisak_Bahusevic/Maja_chata.html
018_0024,epub,/Francisak_Bahusevic/Niemiec.epub,,,Немец,/Francisak_Bahusevic/Niemiec.html
018_0025,epub,/Francisak_Bahusevic/Novy_1886_hod.epub,,,Новы 1886 год,/Francisak_Bahusevic/Novy_1886_hod.html
018_0026,epub,"/Francisak_Bahusevic/Oto_z,_bracie,_daviadziecca.epub",,,"«Ото ж, браце, давядзецца...»","/Francisak_Bahusevic/Oto_z,_bracie,_daviadziecca.html"
018_0027,epub,/Francisak_Bahusevic/Padaroznyja_zydy.epub,,,Падарожныя жыды,/Francisak_Bahusevic/Padaroznyja_zydy.html
018_0028,epub,/Francisak_Bahusevic/Prauda.epub,,,Праўда,/Francisak_Bahusevic/Prauda.html
018_0029,epub,/Francisak_Bahusevic/Sabrausysia_na_try_couna.epub,,,«Сабраўшыся на тры чоўна...»,/Francisak_Bahusevic/Sabrausysia_na_try_couna.html
018_0030,epub,/Francisak_Bahusevic/U_astrozie.epub,,,У астрозе,/Francisak_Bahusevic/U_astrozie.html
018_0031,epub,/Francisak_Bahusevic/U_sudzie.epub,,,У судзе,/Francisak_Bahusevic/U_sudzie.html
018_0032,epub,/Francisak_Bahusevic/Chmarki.epub,,,Хмаркі,/Francisak_Bahusevic/Chmarki.html
018_0033,epub,/Francisak_Bahusevic/Chresbiny_Maciuka.epub,,,Хрэсьбіны Мацюка,/Francisak_Bahusevic/Chresbiny_Maciuka.html
018_0034,epub,/Francisak_Bahusevic/Chto_nad_zaleznaj_strunoj_zapanuje.epub,,,«Хто над жалезнай струной запануе...»,/Francisak_Bahusevic/Chto_nad_zaleznaj_strunoj_zapanuje.html
018_0035,epub,/Francisak_Bahusevic/Chciviec_i_skarb_na_sviatoha_Jana.epub,,,Хцівец і скарб на святога Яна,/Francisak_Bahusevic/Chciviec_i_skarb_na_sviatoha_Jana.html
018_0036,epub,/Francisak_Bahusevic/Sumiac_sosny.epub,,,Шумяць сосны,/Francisak_Bahusevic/Sumiac_sosny.html
018_0037,epub,"/Francisak_Bahusevic/Ja_stary,_tamu_j_nie_znaju.epub",,,"«Я стары, таму й не знаю...»","/Francisak_Bahusevic/Ja_stary,_tamu_j_nie_znaju.html"
018_0038,epub,/Francisak_Bahusevic/Jak_praudy_sukajuc.epub,,,Як праўды шукаюць,/Francisak_Bahusevic/Jak_praudy_sukajuc.html
018_0039,epub,/Francisak_Bahusevic/Pradmova_da_Dudki_bielaruskaj.epub,,,Прадмова да «Дудкі беларускай»,/Francisak_Bahusevic/Pradmova_da_Dudki_bielaruskaj.html
018_0040,epub,/Francisak_Bahusevic/Pradmova_da_Smyka_bielaruskaha.epub,,,Прадмова да «Смыка беларускага»,/Francisak_Bahusevic/Pradmova_da_Smyka_bielaruskaha.html
018_0041,epub,/Francisak_Bahusevic/Dudka_bielaruskaja.epub,,,Дудка беларуская,/Francisak_Bahusevic/Dudka_bielaruskaja.html
018_0042,epub,"/Francisak_Bahusevic/Moli_sie,_majko-bul.epub",,,"Моли се, майко","/Francisak_Bahusevic/Moli_sie,_majko-bul.html"
018_0043,epub,/Francisak_Bahusevic/Oblaci-bul.epub,,,Облаци,/Francisak_Bahusevic/Oblaci-bul.html
018_0044,djvu,https://files.knihi.com/Knihi/scanned-n/Sodal_Uladzimir.Zupranskaja_staronka.djvu,Уладзімір Содаль,/Uladzimir_Sodal/,Жупранская старонка,/Uladzimir_Sodal/Zupranskaja_staronka.html
