linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
032_0001,epub,/Ales_Harun/Zyccio.epub,,,Жыццё,/Ales_Harun/Zyccio.html
032_0002,epub,/Ales_Harun/Iduc_hady.epub,,,Ідуць гады,/Ales_Harun/Iduc_hady.html
032_0003,epub,/Ales_Harun/Malitva.epub,,,Малітва,/Ales_Harun/Malitva.html
032_0004,epub,/Ales_Harun/Miacielica.epub,,,Мяцеліца,/Ales_Harun/Miacielica.html
032_0005,epub,/Ales_Harun/Paetu.epub,,,Паэту,/Ales_Harun/Paetu.html
032_0006,epub,"/Ales_Harun/Ty,_moj_brat,_kaho_zvac_Bielarusam.epub",,,"«Ты, мой брат, каго зваць Беларусам...»","/Ales_Harun/Ty,_moj_brat,_kaho_zvac_Bielarusam.html"
032_0007,epub,/Ales_Harun/U_prypar.epub,,,У прыпар,/Ales_Harun/U_prypar.html
032_0008,epub,/Ales_Harun/Prabludziu_ja_pa_sciepu_dva_tydni_spz.epub,,,«[Праблудзіў] я па сцепу два тыдні...»,/Ales_Harun/Prabludziu_ja_pa_sciepu_dva_tydni_spz.html
032_0009,epub,/Ales_Harun/Nokturno.epub,,,Nokturno,/Ales_Harun/Nokturno.html
032_0010,epub,/Ales_Harun/Ad_vioski_nasaj_niedaloka_spz.epub,,,«Ад вёскі нашай недалёка...»,/Ales_Harun/Ad_vioski_nasaj_niedaloka_spz.html
032_0011,epub,/Ales_Harun/Adbitak.epub,,,Адбітак,/Ales_Harun/Adbitak.html
032_0012,epub,/Ales_Harun/Adlaciela_dusa_spz.epub,,,Адляцела душа,/Ales_Harun/Adlaciela_dusa_spz.html
032_0013,epub,/Ales_Harun/Adras_spz.epub,,,Адрас,/Ales_Harun/Adras_spz.html
032_0014,epub,/Ales_Harun/Apiakun_spz.epub,,,Апякун,/Ales_Harun/Apiakun_spz.html
032_0015,epub,/Ales_Harun/Asienni_spieu.epub,,,Асенні сьпеу,/Ales_Harun/Asienni_spieu.html
032_0016,epub,"/Ales_Harun/Babula,_kazku_spz.epub",,,"«Бабуля, казку!..»","/Ales_Harun/Babula,_kazku_spz.html"
032_0017,epub,/Ales_Harun/Bahaty_vy_spz.epub,,,Багаты вы,/Ales_Harun/Bahaty_vy_spz.html
032_0018,epub,/Ales_Harun/Bazannie_spz.epub,,,Бажанне,/Ales_Harun/Bazannie_spz.html
032_0019,epub,/Ales_Harun/Bielarusam_u_catyrochleccie_Nasaj_nivy_spz.epub,,,Беларусам у чатырохлецце «Нашай нівы»,/Ales_Harun/Bielarusam_u_catyrochleccie_Nasaj_nivy_spz.html
032_0020,epub,/Ales_Harun/Boza_moj_Ja_cuju_znou_spz.epub,,,«Божа мой! Я чую зноў...»,/Ales_Harun/Boza_moj_Ja_cuju_znou_spz.html
032_0021,epub,/Ales_Harun/Braty_Dakul_my_budziem_spac_spz.epub,,,Браты! Дакуль мы будзем спаць?,/Ales_Harun/Braty_Dakul_my_budziem_spac_spz.html
032_0022,epub,"/Ales_Harun/Braccia,_k_ahulnamu_scasciu_spz.epub",,,"«Брацця, к агульнаму шчасцю...»","/Ales_Harun/Braccia,_k_ahulnamu_scasciu_spz.html"
032_0023,epub,/Ales_Harun/Braccia_Dosyc_ciarpiec_nam_i_hnucca_spz.epub,,,«Брацця! Досыць цярпець нам і гнуцца...»,/Ales_Harun/Braccia_Dosyc_ciarpiec_nam_i_hnucca_spz.html
032_0024,epub,/Ales_Harun/Varozba.epub,,,Варожба,/Ales_Harun/Varozba.html
032_0025,epub,/Ales_Harun/Vietru.epub,,,Ветру,/Ales_Harun/Vietru.html
032_0026,epub,"/Ales_Harun/Viecier_asienni_chalodny,_siardzity_spz.epub",,,"«Вецер асенні халодны, сярдзіты...»","/Ales_Harun/Viecier_asienni_chalodny,_siardzity_spz.html"
032_0027,epub,/Ales_Harun/Vieciar.epub,,,Вецяр,/Ales_Harun/Vieciar.html
032_0028,epub,/Ales_Harun/Viecnaj_pamiaci_T_H_Seucenko.epub,,,«Вечнай памяці Т. Г. Шэучэнко...»,/Ales_Harun/Viecnaj_pamiaci_T_H_Seucenko.html
032_0029,epub,/Ales_Harun/Vidziennie_spz.epub,,,Відзенне,/Ales_Harun/Vidziennie_spz.html
032_0030,epub,/Ales_Harun/Vosien.epub,,,Восень,/Ales_Harun/Vosien.html
032_0031,epub,/Ales_Harun/Voukalaki.epub,,,Воукалакі,/Ales_Harun/Voukalaki.html
032_0032,epub,/Ales_Harun/Viasielle.epub,,,Вяселле,/Ales_Harun/Viasielle.html
032_0033,epub,/Ales_Harun/Viasna_cuz.epub,,,Вясна,/Ales_Harun/Viasna_cuz.html
032_0034,epub,/Ales_Harun/Viasna.epub,,,Вясна,/Ales_Harun/Viasna.html
032_0035,epub,/Ales_Harun/Habruska.epub,,,Габруська,/Ales_Harun/Habruska.html
032_0036,epub,/Ales_Harun/Halasujuc_spz.epub,,,Галасуюць,/Ales_Harun/Halasujuc_spz.html
032_0037,epub,/Ales_Harun/Himn_rodnaj_movie_spz.epub,,,Гімн роднай мове,/Ales_Harun/Himn_rodnaj_movie_spz.html
032_0038,epub,"/Ales_Harun/Hej_za_z,_maja_vioska_spz.epub",,,"Гэй жа ж, мая вёска!..","/Ales_Harun/Hej_za_z,_maja_vioska_spz.html"
032_0039,epub,"/Ales_Harun/Dajcie_mnie_slou,_jak_zviniucy_krystal_spz.epub",,,"«Дайце мне слоў, як звінючы крышталь...»","/Ales_Harun/Dajcie_mnie_slou,_jak_zviniucy_krystal_spz.html"
032_0040,epub,/Ales_Harun/Dakory_spz.epub,,,Дакоры,/Ales_Harun/Dakory_spz.html
032_0041,djvu,https://files.knihi.com/Knihi/scanned/Harun.Datrymau_charaktar.djvu,,,Датрымаў характар,/Ales_Harun/Datrymau_charaktar.html
032_0042,epub,/Ales_Harun/Datrymau_charaktar_spz.epub,,,Датрымаў характар,/Ales_Harun/Datrymau_charaktar_spz.html
032_0043,epub,/Ales_Harun/Dva_kachanni.epub,,,Два каханні,/Ales_Harun/Dva_kachanni.html
032_0044,epub,"/Ales_Harun/Dzie_jasnyja_zory,_na_nieba_daroha_spz.epub",,,"«Дзе ясныя зоры, на неба дарога...»","/Ales_Harun/Dzie_jasnyja_zory,_na_nieba_daroha_spz.html"
032_0045,epub,/Ales_Harun/Dzieucaci.epub,,,Дзеучаці,/Ales_Harun/Dzieucaci.html
