linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
036_0001,epub,/Uladzislau_Halubok/Abmylka_vuconaha_v1.epub,,,Абмылка вучонага,/Uladzislau_Halubok/Abmylka_vuconaha_v1.html
036_0002,epub,/Uladzislau_Halubok/Ab_hastrolach_u_Mazyrskaj_akruzie.epub,,,Аб гастролях у Мазырскай акрузе,/Uladzislau_Halubok/Ab_hastrolach_u_Mazyrskaj_akruzie.html
036_0003,epub,/Uladzislau_Halubok/Abmylka_vuconaha.epub,,,Абмылка вучонага,/Uladzislau_Halubok/Abmylka_vuconaha.html
036_0004,epub,/Uladzislau_Halubok/Abrazok.epub,,,Абразок,/Uladzislau_Halubok/Abrazok.html
036_0005,epub,/Uladzislau_Halubok/Advaha.epub,,,Адвага,/Uladzislau_Halubok/Advaha.html
036_0006,epub,/Uladzislau_Halubok/Advakat.epub,,,Адвакат,/Uladzislau_Halubok/Advakat.html
036_0007,epub,/Uladzislau_Halubok/Adplata_za_pracu.epub,,,Адплата за працу,/Uladzislau_Halubok/Adplata_za_pracu.html
036_0008,epub,/Uladzislau_Halubok/Adukavanaja_kabyla.epub,,,Адукаваная кабыла,/Uladzislau_Halubok/Adukavanaja_kabyla.html
036_0009,epub,/Uladzislau_Halubok/Aposniaje_spatkannie_drama.epub,,,Апошняе спатканне,/Uladzislau_Halubok/Aposniaje_spatkannie_drama.html
036_0010,epub,/Uladzislau_Halubok/Aposniaje_spatkannie.epub,,,Апошняе спатканне,/Uladzislau_Halubok/Aposniaje_spatkannie.html
036_0011,epub,/Uladzislau_Halubok/Baciuskau_kapialus.epub,,,Бацюшкаў капялюш,/Uladzislau_Halubok/Baciuskau_kapialus.html
036_0012,epub,/Uladzislau_Halubok/Bielaja_zbroja.epub,,,Белая зброя,/Uladzislau_Halubok/Bielaja_zbroja.html
036_0013,epub,/Uladzislau_Halubok/Biely_vianok.epub,,,Белы вянок,/Uladzislau_Halubok/Biely_vianok.html
036_0014,epub,/Uladzislau_Halubok/Bor.epub,,,Бор,/Uladzislau_Halubok/Bor.html
036_0015,epub,/Uladzislau_Halubok/Buducynia.epub,,,Будучыня,/Uladzislau_Halubok/Buducynia.html
036_0016,epub,/Uladzislau_Halubok/Biazvinnaja_krou.epub,,,Бязвінная кроў,/Uladzislau_Halubok/Biazvinnaja_krou.html
036_0017,epub,/Uladzislau_Halubok/Biazrodny.epub,,,Бязродны,/Uladzislau_Halubok/Biazrodny.html
036_0018,epub,/Uladzislau_Halubok/Vada_pamahla.epub,,,Вада памагла,/Uladzislau_Halubok/Vada_pamahla.html
036_0019,epub,/Uladzislau_Halubok/Vaukalaki.epub,,,Ваўкалакі,/Uladzislau_Halubok/Vaukalaki.html
036_0020,epub,/Uladzislau_Halubok/Vietrahony.epub,,,Ветрагоны,/Uladzislau_Halubok/Vietrahony.html
036_0021,epub,/Uladzislau_Halubok/Viaskovyja_astranomy.epub,,,Вясковыя астраномы,/Uladzislau_Halubok/Viaskovyja_astranomy.html
036_0022,epub,/Uladzislau_Halubok/Hanka.epub,,,Ганка,/Uladzislau_Halubok/Hanka.html
036_0023,epub,/Uladzislau_Halubok/Hod_pracy.epub,,,Год працы,/Uladzislau_Halubok/Hod_pracy.html
036_0024,epub,/Uladzislau_Halubok/Holad.epub,,,Голад,/Uladzislau_Halubok/Holad.html
036_0025,epub,/Uladzislau_Halubok/Honar.epub,,,Гонар,/Uladzislau_Halubok/Honar.html
036_0026,epub,/Uladzislau_Halubok/Horki_ahrest.epub,,,Горкі агрэст,/Uladzislau_Halubok/Horki_ahrest.html
036_0027,epub,/Uladzislau_Halubok/Darahija_leki.epub,,,Дарагія лекі,/Uladzislau_Halubok/Darahija_leki.html
036_0028,epub,/Uladzislau_Halubok/Dola_muzyka.epub,,,Доля мужыка,/Uladzislau_Halubok/Dola_muzyka.html
036_0029,epub,/Uladzislau_Halubok/Zuravinka.epub,,,«Журавінка»,/Uladzislau_Halubok/Zuravinka.html
036_0030,epub,/Uladzislau_Halubok/Z_miemuarau.epub,,,З  мемуараў,/Uladzislau_Halubok/Z_miemuarau.html
036_0031,epub,"/Uladzislau_Halubok/Za_scylnuju_suviaz_aktora,_pismiennika_i_hledaca.epub",,,"За шчыльную сувязь актора, пісьменніка і гледача","/Uladzislau_Halubok/Za_scylnuju_suviaz_aktora,_pismiennika_i_hledaca.html"
036_0032,epub,/Uladzislau_Halubok/Zabytaja_chatka.epub,,,Забытая хатка,/Uladzislau_Halubok/Zabytaja_chatka.html
036_0033,epub,/Uladzislau_Halubok/Zvany.epub,,,Званы,/Uladzislau_Halubok/Zvany.html
036_0034,epub,/Uladzislau_Halubok/Kontrataku_pavinien_bacyc_kozny_rabocy.epub,,,«Контратаку» павінен бачыць кожны рабочы,/Uladzislau_Halubok/Kontrataku_pavinien_bacyc_kozny_rabocy.html
036_0035,epub,/Uladzislau_Halubok/Krab.epub,,,Краб,/Uladzislau_Halubok/Krab.html
036_0036,epub,/Uladzislau_Halubok/Kruciel.epub,,,Круцель,/Uladzislau_Halubok/Kruciel.html
036_0037,epub,/Uladzislau_Halubok/Lipavicok.epub,,,Ліпавічок,/Uladzislau_Halubok/Lipavicok.html
036_0038,epub,/Uladzislau_Halubok/List_u_redakcyju.epub,,,Ліст у рэдакцыю,/Uladzislau_Halubok/List_u_redakcyju.html
036_0039,epub,/Uladzislau_Halubok/Marymonavy_sabaki.epub,,,Марымонавы сабакі,/Uladzislau_Halubok/Marymonavy_sabaki.html
036_0040,epub,/Uladzislau_Halubok/Mastactva_-_u_syrokija_masy_pracounych.epub,,,Мастацтва — у шырокія масы працоўных,/Uladzislau_Halubok/Mastactva_-_u_syrokija_masy_pracounych.html
036_0041,epub,/Uladzislau_Halubok/Minulaje.epub,,,Мінулае,/Uladzislau_Halubok/Minulaje.html
036_0042,epub,/Uladzislau_Halubok/Minuuscyna.epub,,,Мінуўшчына,/Uladzislau_Halubok/Minuuscyna.html
036_0043,epub,/Uladzislau_Halubok/Na_viasielle.epub,,,На вяселле,/Uladzislau_Halubok/Na_viasielle.html
036_0044,epub,/Uladzislau_Halubok/Na_kirmasy.epub,,,На кірмашы,/Uladzislau_Halubok/Na_kirmasy.html
036_0045,epub,/Uladzislau_Halubok/Navalnica.epub,,,Навальніца,/Uladzislau_Halubok/Navalnica.html
036_0046,epub,"/Uladzislau_Halubok/Nie_paklausy,_nie_vozmies.epub",,,"Не  паклаўшы, не возьмеш","/Uladzislau_Halubok/Nie_paklausy,_nie_vozmies.html"
036_0047,epub,/Uladzislau_Halubok/Pan_Surynta.epub,,,Пан Сурынта,/Uladzislau_Halubok/Pan_Surynta.html
036_0048,epub,/Uladzislau_Halubok/Parabki.epub,,,Парабкі,/Uladzislau_Halubok/Parabki.html
036_0049,epub,/Uladzislau_Halubok/Pisaravy_imianiny.epub,,,Пісаравы  імяніны,/Uladzislau_Halubok/Pisaravy_imianiny.html
036_0050,epub,/Uladzislau_Halubok/Plytahony.epub,,,Плытагоны,/Uladzislau_Halubok/Plytahony.html
036_0051,epub,/Uladzislau_Halubok/Posnaja_husiacina.epub,,,Посная гусяціна,/Uladzislau_Halubok/Posnaja_husiacina.html
036_0052,epub,/Uladzislau_Halubok/Praca_dramaturha_-_hanarovaja_praca.epub,,,Праца драматурга — ганаровая праца,/Uladzislau_Halubok/Praca_dramaturha_-_hanarovaja_praca.html
036_0053,epub,/Uladzislau_Halubok/Praca_II_Bielaruskaj_trupy_u_1921_hodzie.epub,,,Праца ІІ  Беларускай трупы ў 1921 годзе,/Uladzislau_Halubok/Praca_II_Bielaruskaj_trupy_u_1921_hodzie.html
036_0054,epub,/Uladzislau_Halubok/Razbitaja_nadzieja.epub,,,Разбітая надзея,/Uladzislau_Halubok/Razbitaja_nadzieja.html
036_0055,epub,/Uladzislau_Halubok/Sirata_Hanusia.epub,,,Сірата Гануся,/Uladzislau_Halubok/Sirata_Hanusia.html
036_0056,epub,/Uladzislau_Halubok/Sirata_Prachor.epub,,,Сірата Прахор,/Uladzislau_Halubok/Sirata_Prachor.html
036_0057,epub,/Uladzislau_Halubok/Slady_staryny.epub,,,Сляды старыны,/Uladzislau_Halubok/Slady_staryny.html
036_0058,epub,/Uladzislau_Halubok/Smierc_starca.epub,,,Смерць старца,/Uladzislau_Halubok/Smierc_starca.html
