linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
067_0001,epub,"/Uladzimir_Zylka/Boza,_nie_smat_zastalosia.epub",,,"""Божа, не шмат засталося...""","/Uladzimir_Zylka/Boza,_nie_smat_zastalosia.html"
067_0002,epub,"/Uladzimir_Zylka/Budz_blaslaulona,_maja_maladosc.epub",,,"""Будзь бласлаўлёна, мая маладосць!..""","/Uladzimir_Zylka/Budz_blaslaulona,_maja_maladosc.html"
067_0003,epub,"/Uladzimir_Zylka/Biasspynna,_hlucha_procma_casu.epub",,,"""Бясспынна, глуха процьма часу...""","/Uladzimir_Zylka/Biasspynna,_hlucha_procma_casu.html"
067_0004,epub,/Uladzimir_Zylka/Viekaviecny_chmury_bor.epub,,,"""Векавечны хмуры бор...""",/Uladzimir_Zylka/Viekaviecny_chmury_bor.html
067_0005,epub,/Uladzimir_Zylka/Vielmi_sanouny_pan_Redaktar.epub,,,"""Вельмі шаноўны пан Рэдактар!..""",/Uladzimir_Zylka/Vielmi_sanouny_pan_Redaktar.html
067_0006,epub,/Uladzimir_Zylka/Da_Piatra_ziaziulenka.epub,,,"""Да Пятра зязюленька...""",/Uladzimir_Zylka/Da_Piatra_ziaziulenka.html
067_0007,epub,"/Uladzimir_Zylka/Darma,_sto_znacny_rany.epub",,,"""Дарма, што значны раны...""","/Uladzimir_Zylka/Darma,_sto_znacny_rany.html"
067_0008,epub,/Uladzimir_Zylka/Dusa_maja_tuzlivaja.epub,,,"""Душа мая тужлівая...""",/Uladzimir_Zylka/Dusa_maja_tuzlivaja.html
067_0009,epub,/Uladzimir_Zylka/Zapytau_ja_morski_chvali.epub,,,"""Запытаў я морскі хвалі...""",/Uladzimir_Zylka/Zapytau_ja_morski_chvali.html
067_0010,epub,/Uladzimir_Zylka/Zacvili_tvaje_vocy_miz_tlumu.epub,,,"""Зацвілі твае вочы між тлуму...""",/Uladzimir_Zylka/Zacvili_tvaje_vocy_miz_tlumu.html
067_0011,epub,"/Uladzimir_Zylka/I_u_sercy_boza,_jakavo.epub",,,"""І ў сэрцы (божа, якаво!)...""","/Uladzimir_Zylka/I_u_sercy_boza,_jakavo.html"
067_0012,epub,/Uladzimir_Zylka/Iznou_pytanni.epub,,,"""Ізноў пытанні...""",/Uladzimir_Zylka/Iznou_pytanni.html
067_0013,epub,/Uladzimir_Zylka/Kali_zmrocnasc_achinvaje_cmianaja.epub,,,"""Калі змрочнасць ахінвае цьмяная...""",/Uladzimir_Zylka/Kali_zmrocnasc_achinvaje_cmianaja.html
067_0014,epub,/Uladzimir_Zylka/Kamu_zyccio_-_atruty_kielich.epub,,,"""Каму жыццё — атруты келіх...""",/Uladzimir_Zylka/Kamu_zyccio_-_atruty_kielich.html
067_0015,epub,/Uladzimir_Zylka/Kachanniu_nicoha_nie_treba.epub,,,"""Каханню нічога не трэба...""",/Uladzimir_Zylka/Kachanniu_nicoha_nie_treba.html
067_0016,epub,/Uladzimir_Zylka/Krychu_uzrusany_i_rady.epub,,,"""Крыху ўзрушаны і рады...""",/Uladzimir_Zylka/Krychu_uzrusany_i_rady.html
