linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
068_0001,epub,/Uladzimir_Dubouka/Pialostki.epub,,,Пялёсткі,/Uladzimir_Dubouka/Pialostki.html
068_0002,epub,/Uladzimir_Dubouka/Bielaruskaja_Aryjadna.epub,,,Беларуская Арыядна,/Uladzimir_Dubouka/Bielaruskaja_Aryjadna.html
068_0003,epub,/Uladzimir_Dubouka/Branislava.epub,,,Браніслава,/Uladzimir_Dubouka/Branislava.html
068_0004,epub,/Uladzimir_Dubouka/I_purpurovych_vietraziej_uzvivy.epub,,,І пурпуровых ветразей узвівы...,/Uladzimir_Dubouka/I_purpurovych_vietraziej_uzvivy.html
068_0005,epub,/Uladzimir_Dubouka/Kruhi.epub,,,Кругі,/Uladzimir_Dubouka/Kruhi.html
068_0006,epub,/Uladzimir_Dubouka/Krycauskaja_spakusa.epub,,,Крычаўская спакуса,/Uladzimir_Dubouka/Krycauskaja_spakusa.html
068_0007,epub,/Uladzimir_Dubouka/Pierad_imieniem_Lubovi.epub,,,Перад іменем Любові,/Uladzimir_Dubouka/Pierad_imieniem_Lubovi.html
068_0008,epub,/Uladzimir_Dubouka/Sturmujcie_buducyni_avanposty.epub,,,Штурмуйце будучыні аванпосты!,/Uladzimir_Dubouka/Sturmujcie_buducyni_avanposty.html
068_0009,epub,/Uladzimir_Dubouka/Viersy.epub,,,Вершы,/Uladzimir_Dubouka/Viersy.html
068_0010,epub,/Uladzimir_Dubouka/Zakladali_padmurak_dziarzavy_svajoj.epub,,,Закладалі падмурак дзяржавы сваёй...,/Uladzimir_Dubouka/Zakladali_padmurak_dziarzavy_svajoj.html
068_0011,epub,"/Uladzimir_Dubouka/Zalataja,_asienniaja_ranica.epub",,,"Залатая, асенняя раніца...","/Uladzimir_Dubouka/Zalataja,_asienniaja_ranica.html"
068_0012,epub,/Uladzimir_Dubouka/Kvietka_Scascia.epub,,,Кветка Шчасця,/Uladzimir_Dubouka/Kvietka_Scascia.html
068_0013,epub,"/Uladzimir_Dubouka/O_Bielarus,_maja_sypsyna.epub",,,"О Беларусь, мая шыпшына","/Uladzimir_Dubouka/O_Bielarus,_maja_sypsyna.html"
068_0014,epub,/Uladzimir_Dubouka/Palcy_zoutych_klanovych_listou.epub,,,Пальцы жоўтых кляновых лістоў,/Uladzimir_Dubouka/Palcy_zoutych_klanovych_listou.html
068_0015,epub,/Uladzimir_Dubouka/Pieraklady_Kazki.epub,,,Пераклады (Казкі),/Uladzimir_Dubouka/Pieraklady_Kazki.html
068_0016,epub,"/Uladzimir_Dubouka/Rodnaja_mova,_cudounaja_mova.epub",,,"Родная мова, цудоўная мова!..","/Uladzimir_Dubouka/Rodnaja_mova,_cudounaja_mova.html"
068_0017,epub,/Uladzimir_Dubouka/Slapy_bajanist.epub,,,Сляпы баяніст,/Uladzimir_Dubouka/Slapy_bajanist.html
068_0018,epub,/Uladzimir_Dubouka/Chto_duzejsy.epub,,,Хто дужэйшы,/Uladzimir_Dubouka/Chto_duzejsy.html
068_0019,epub,/Uladzimir_Dubouka/Chto_sukaje_-_toj_znachodzic.epub,,,Хто шукае - той знаходзіць,/Uladzimir_Dubouka/Chto_sukaje_-_toj_znachodzic.html
068_0020,epub,/Uladzimir_Dubouka/Cudounaja_znachodka.epub,,,Цудоўная знаходка,/Uladzimir_Dubouka/Cudounaja_znachodka.html
068_0021,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Uladzimir_Dubouka/Uladzimir_Dubouka.Zalataja_asienniaja_ranica.mp3,,,Залатая асенняя раніца,/Uladzimir_Dubouka/Zalataja_asienniaja_ranica_audio.html
068_0022,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Uladzimir_Dubouka/Uladzimir_Dubouka.Kvietka_scascia.mp3,,,Кветка шчасця,/Uladzimir_Dubouka/Kvietka_scascia_audio.html
068_0023,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Uladzimir_Dubouka/Uladzimir_Dubouka.O_Bielarus_maja_sypsyna.mp3,,,"О, Беларусь, мая шыпшына !","/Uladzimir_Dubouka/O,_Bielarus,_maja_sypsyna_audio.html"
068_0024,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Uladzimir_Dubouka/Uladzimir_Dubouka.Palcy_zoutych_klinovych_listou.mp3,,,Пальцы жоўтых кліновых лістоў,/Uladzimir_Dubouka/Palcy_zoutych_klinovych_listou_audio.html
068_0025,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Uladzimir_Dubouka/Uladzimir_Dubouka.Rodnaja_mova_cudounaja_mova.mp3,,,Родная мова - цудоўная мова,/Uladzimir_Dubouka/Rodnaja_mova_-_cudounaja_mova_audio.html
068_0026,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Uladzimir_Dubouka/Uladzimir_Dubouka.Chto_duzejsy.mp3,,,Хто дужэйшы,/Uladzimir_Dubouka/Chto_duzejsy_audio.html
068_0027,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Uladzimir_Dubouka/Uladzimir_Dubouka.Chto_sukaje_toj_znachodzic.mp3,,,Хто шукае - той знаходзіць,/Uladzimir_Dubouka/Chto_sukaje_-_toj_znachodzic_audio.html
