linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,zip,https://files.knihi.com/Knihi/mininfarm/Skolnikam/5_klas/Maksim_Luzanin.Dobry_chlopiec_Dzik.zip,,,Добры хлопец Дзік,/Maksim_Luzanin/Dobry_chlopiec_Dzik_audio_zip.html
2,mp3,https://files.knihi.com/Knihi/audio-staroeradio.ru/Luzanin_Maksim.Chto_robic_nadvorje.mp3,,,Хто робіць надвор'е,/Maksim_Luzanin/Chto_robic_nadvorje_audio.html
3,epub,/Maksim_Luzanin/Asiennija_dni_Cyrvanieje_rabina.epub,,,"""...Асеннія дні. Чырванее рабіна...""",/Maksim_Luzanin/Asiennija_dni_Cyrvanieje_rabina.html
4,epub,"/Maksim_Luzanin/Adkul_za_znou_pauzies,_tryvoha.epub",,,"""Адкуль жа зноў паўзеш, трывога?..","/Maksim_Luzanin/Adkul_za_znou_pauzies,_tryvoha.html"
5,epub,/Maksim_Luzanin/Adno_ciahnu_ja_na_harbu.epub,,,"""Адно цягну я на гарбу...""",/Maksim_Luzanin/Adno_ciahnu_ja_na_harbu.html
6,epub,/Maksim_Luzanin/Biedavali_horka_damy.epub,,,"""Бедавалі горка дамы...""",/Maksim_Luzanin/Biedavali_horka_damy.html
7,epub,/Maksim_Luzanin/Blizka_pad_snieham_bulkoca_vada.epub,,,"""Блізка пад снегам булькоча вада...""",/Maksim_Luzanin/Blizka_pad_snieham_bulkoca_vada.html
8,epub,/Maksim_Luzanin/Byvala_Smat_caho_byvala.epub,,,"""Бывала... Шмат чаго бывала!..""",/Maksim_Luzanin/Byvala_Smat_caho_byvala.html
9,epub,/Maksim_Luzanin/Biarozin_cien_ustau_na_mylicy.epub,,,"""Бярозін цень устаў на мыліцы...""",/Maksim_Luzanin/Biarozin_cien_ustau_na_mylicy.html
10,epub,/Maksim_Luzanin/Viecier_tuzaje_u_niebie_viarouki_dazdzou.epub,,,"""Вецер тузае ў небе вяроўкі дажджоў...""",/Maksim_Luzanin/Viecier_tuzaje_u_niebie_viarouki_dazdzou.html
11,epub,"/Maksim_Luzanin/Vychodzu_u_les,_krysu_akrajec.epub",,,"""Выходжу ў лес, крышу акраец...""","/Maksim_Luzanin/Vychodzu_u_les,_krysu_akrajec.html"
12,epub,/Maksim_Luzanin/Hallo_sumic.epub,,,"""Галлё шуміць...""",/Maksim_Luzanin/Hallo_sumic.html
13,epub,/Maksim_Luzanin/Dasvietu_usio_zyccio.epub,,,"""Дасвету ўсё жыццё...""",/Maksim_Luzanin/Dasvietu_usio_zyccio.html
14,epub,/Maksim_Luzanin/Dzie_ty.epub,,,"""Дзе ты?...""",/Maksim_Luzanin/Dzie_ty.html
15,epub,/Maksim_Luzanin/Za_noc_padkinula_sniazku.epub,,,"""За ноч падкінула сняжку...""",/Maksim_Luzanin/Za_noc_padkinula_sniazku.html
16,epub,/Maksim_Luzanin/Za_scienkaj_molacca.epub,,,"""За сценкай моляцца...""",/Maksim_Luzanin/Za_scienkaj_molacca.html
17,epub,/Maksim_Luzanin/Zajcy_naprysyvali_huzikau.epub,,,"""Зайцы напрышывалі гузікаў...""",/Maksim_Luzanin/Zajcy_naprysyvali_huzikau.html
