linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Vasil_Vitka/Buslinaje_leta.epub,,,Буслінае лета,/Vasil_Vitka/Buslinaje_leta.html
2,epub,/Vasil_Vitka/Vaviorcyna_hora.epub,,,Вавёрчына гора,/Vasil_Vitka/Vaviorcyna_hora.html
3,epub,/Vasil_Vitka/Hienieral_vierabiej.epub,,,Генерал верабей,/Vasil_Vitka/Hienieral_vierabiej.html
4,epub,/Vasil_Vitka/Dudaryk.epub,,,Дударык,/Vasil_Vitka/Dudaryk.html
5,epub,/Vasil_Vitka/Kazka_biez_kanca.epub,,,Казка без канца,/Vasil_Vitka/Kazka_biez_kanca.html
6,epub,/Vasil_Vitka/Kazka_pra_cara_zubra.epub,,,Казка пра цара зубра,/Vasil_Vitka/Kazka_pra_cara_zubra.html
7,epub,/Vasil_Vitka/Kazki_dzieda_Vasila.epub,,,Казкі дзеда Васіля,/Vasil_Vitka/Kazki_dzieda_Vasila.html
8,epub,/Vasil_Vitka/Kazki_i_kraski.epub,,,Казкі і краскі,/Vasil_Vitka/Kazki_i_kraski.html
9,epub,/Vasil_Vitka/Maski.epub,,,Маскі,/Vasil_Vitka/Maski.html
10,epub,/Vasil_Vitka/PPS.epub,,,ППШ,/Vasil_Vitka/PPS.html
11,epub,/Vasil_Vitka/Azbuka_Vasi_Viasiolkina.epub,,,Азбука Васі Вясёлкіна,/Vasil_Vitka/Azbuka_Vasi_Viasiolkina.html
12,epub,/Vasil_Vitka/Nul_bul-bul.epub,,,Нуль буль-буль,/Vasil_Vitka/Nul_bul-bul.html
13,mp3,https://files.knihi.com/Knihi/audio-staroeradio.ru/Vitka_Vasil.Scascie_paeta.mp3,,,Шчасьце паэта,/Vasil_Vitka/Scascie_paeta_audio.html
14,epub,/Vasil_Vitka/Ablicca_druha.epub,,,Аблічча друга,/Vasil_Vitka/Ablicca_druha.html
15,djvu,https://files.knihi.com/Knihi/scanned/Vitka.Tryvoha_u_Elnicach.djvu,,,Трывога ў Ельнічах,/Vasil_Vitka/Tryvoha_u_Jelnicach.html
16,djvu,https://files.knihi.com/Knihi/scanned-n/Vitka_Vasil.Azbuka_dusy.djvu,,,Азбука душы,/Vasil_Vitka/Azbuka_dusy.html
17,djvu,https://files.knihi.com/Knihi/scanned-n/Vitka_Vasil.Vysyni_sviatla.djvu,,,Вышыні святла,/Vasil_Vitka/Vysyni_sviatla.html
18,djvu,https://files.knihi.com/Knihi/scanned-n/Vitka_Vasil.Dzieci_i_my.djvu,,,Дзеці і мы,/Vasil_Vitka/Dzieci_i_my.html
19,djvu,https://files.knihi.com/Knihi/scanned-n/Vitka_Vasil.Minskija_balady.djvu,,,Мінскія балады,/Vasil_Vitka/Minskija_balady.html
20,djvu,https://files.knihi.com/Knihi/scanned-n/Vitka_Vasil.Sluccyna.djvu,,,Случчына,/Vasil_Vitka/Sluccyna.html
21,djvu,https://files.knihi.com/Knihi/scanned-n/Vitka_Vasil.Trecija_pieuni.djvu,,,Трэція пеўні,/Vasil_Vitka/Trecija_pieuni.html
22,epub,/Uladzimir_Majakouski/Kim_byc.epub,Уладзімір Маякоўскі,/Uladzimir_Majakouski/,Кім быць?,/Uladzimir_Majakouski/Kim_byc.html
23,epub,/Alaksandar_Puskin/Aniol.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Анёл,/Alaksandar_Puskin/Aniol.html
24,epub,/Alaksandar_Puskin/I_I_Puscynu.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,І. І. Пушчыну,/Alaksandar_Puskin/I_I_Puscynu.html
25,epub,/Alaksandar_Puskin/Pad_sinim_niebam_rodnaje_svajoj_ziamli.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,«Пад сінім небам роднае сваёй зямлі...»,/Alaksandar_Puskin/Pad_sinim_niebam_rodnaje_svajoj_ziamli.html
26,epub,/Alaksandar_Puskin/Pryznannie.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Прызнанне,/Alaksandar_Puskin/Pryznannie.html
27,epub,/Alaksandar_Puskin/Talisman.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Талісман,/Alaksandar_Puskin/Talisman.html
28,epub,/Fiodar_Ciutcau/Viasnovaja_navalnica_vitka.epub,Фёдар Цютчаў,/Fiodar_Ciutcau/,Вясновая навальніца,/Fiodar_Ciutcau/Viasnovaja_navalnica_vitka.html
29,epub,"/Fiodar_Ciutcau/Josc_niezabyuny,_razvitalny.epub",Фёдар Цютчаў,/Fiodar_Ciutcau/,"«Ёсць незабыўны, развітальны...»","/Fiodar_Ciutcau/Josc_niezabyuny,_razvitalny.html"
