linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Uladzislau_Syrakomla/Hruhan.epub,,,Груган,/Uladzislau_Syrakomla/Hruhan.html
2,epub,/Uladzislau_Syrakomla/Dobryja_viesci.epub,,,Добрыя весці,/Uladzislau_Syrakomla/Dobryja_viesci.html
3,epub,/Uladzislau_Syrakomla/Dola.epub,,,Доля,/Uladzislau_Syrakomla/Dola.html
4,epub,/Uladzislau_Syrakomla/Karali.epub,,,Каралі,/Uladzislau_Syrakomla/Karali.html
5,epub,/Uladzislau_Syrakomla/Na_Palessi.epub,,,На Палессі,/Uladzislau_Syrakomla/Na_Palessi.html
6,epub,/Uladzislau_Syrakomla/Nie_ja_piaju_-_narod_Bozy.epub,,,«Не я пяю - народ Божы...»,/Uladzislau_Syrakomla/Nie_ja_piaju_-_narod_Bozy.html
7,epub,/Uladzislau_Syrakomla/Niadziela.epub,,,Нядзеля,/Uladzislau_Syrakomla/Niadziela.html
8,epub,/Uladzislau_Syrakomla/Pastaljon.epub,,,Паштальён,/Uladzislau_Syrakomla/Pastaljon.html
9,pdf,https://files.knihi.com/Knihi/orda.of.by/syrokomla_wedrowki.pdf,,,Wędrówki po moich niegdyś okolicach,/Uladzislau_Syrakomla/Wedrowki_po_moich_niegdys_okolicach.html
10,pdf,https://files.knihi.com/Knihi/orda.of.by/syrokomla_vandrouki.pdf,,,Вандроўкі па маіх былых ваколіцах,/Uladzislau_Syrakomla/Vandrouki_pa_maich_bylych_vakolicach.html
11,djvu,https://files.knihi.com/Knihi/scanned3/Syrakomla_Uladzislau.Zhadki_Niasviza.djvu,,,Згадкі Нясвіжа,/Uladzislau_Syrakomla/Zhadki_Niasviza.html
