linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
143_0001,epub,/Pimien_Pancanka/Apalascusia_chvalami_viatrou.epub,,,"""Апалашчуся хвалямі вятроў...""",/Pimien_Pancanka/Apalascusia_chvalami_viatrou.html
143_0002,epub,/Pimien_Pancanka/A_movu_ledz_nie_zataptali.epub,,,«А мову ледзь не затапталі...»,/Pimien_Pancanka/A_movu_ledz_nie_zataptali.html
143_0003,epub,/Pimien_Pancanka/Bielaruskaja_mova.epub,,,Беларуская мова,/Pimien_Pancanka/Bielaruskaja_mova.html
143_0004,epub,/Pimien_Pancanka/Buduc_viecna_sady_rascvitac.epub,,,«Будуць вечна сады расцвітаць...»,/Pimien_Pancanka/Buduc_viecna_sady_rascvitac.html
143_0005,epub,/Pimien_Pancanka/Viasiolaj_malankaju_lastauka_bliskaje.epub,,,«Вясёлай маланкаю ластаўка бліскае...»,/Pimien_Pancanka/Viasiolaj_malankaju_lastauka_bliskaje.html
143_0006,epub,/Pimien_Pancanka/Hieroj.epub,,,Герой,/Pimien_Pancanka/Hieroj.html
143_0007,epub,/Pimien_Pancanka/Dozdz_idzie_pramienisty_i_drobny.epub,,,«Дождж ідзе праменісты і дробны...»,/Pimien_Pancanka/Dozdz_idzie_pramienisty_i_drobny.html
143_0008,epub,/Pimien_Pancanka/Ich_viecnyja_ahni.epub,,,Іх вечныя агні,/Pimien_Pancanka/Ich_viecnyja_ahni.html
143_0009,epub,/Pimien_Pancanka/Koni.epub,,,Коні,/Pimien_Pancanka/Koni.html
143_0010,epub,/Pimien_Pancanka/Kraina_maja.epub,,,Краіна мая,/Pimien_Pancanka/Kraina_maja.html
143_0011,epub,/Pimien_Pancanka/Kraj_paetau.epub,,,Край паэтаў,/Pimien_Pancanka/Kraj_paetau.html
143_0012,epub,/Pimien_Pancanka/Rodnaja_mova.epub,,,Родная мова,/Pimien_Pancanka/Rodnaja_mova.html
143_0013,epub,/Pimien_Pancanka/Sarmackaje_kadzila.epub,,,Сармацкае кадзіла,/Pimien_Pancanka/Sarmackaje_kadzila.html
143_0014,epub,/Pimien_Pancanka/Sinija_kasacy.epub,,,Сінія касачы,/Pimien_Pancanka/Sinija_kasacy.html
143_0015,epub,/Pimien_Pancanka/Sparysy.epub,,,Спарышы,/Pimien_Pancanka/Sparysy.html
143_0016,epub,/Pimien_Pancanka/Sumny_vierlibr.epub,,,Сумны верлібр,/Pimien_Pancanka/Sumny_vierlibr.html
143_0017,epub,/Pimien_Pancanka/Tolki_lisciem_rabin_salachni.epub,,,«Толькі лісцем рабін шалахні...»,/Pimien_Pancanka/Tolki_lisciem_rabin_salachni.html
143_0018,epub,/Pimien_Pancanka/U_akienca_tvajo.epub,,,«У акенца тваё...»,/Pimien_Pancanka/U_akienca_tvajo.html
143_0019,djvu,https://files.knihi.com/Knihi/scanned/Pancanka.Vysoki_bierah.djvu,,,Высокі бераг : Вершы.Эсэ,/Pimien_Pancanka/Vysoki_bierah_ViersyEse.html
143_0020,djvu,https://files.knihi.com/Knihi/scanned/Pancanka.Horki_zolud.djvu,,,Горкі жолуд,/Pimien_Pancanka/Horki_zolud.html
143_0021,ogg,https://files.knihi.com/Knihi/audio-disk-kurhan/Pancanka.Babuli.ogg,,,Бабулі,/Pimien_Pancanka/Babuli_audio.html
143_0022,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Pimen_Pancanka/Pimen_Pancanka.Hieroj.mp3,,,Герой,/Pimien_Pancanka/Hieroj_audio.html
143_0023,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Pimen_Pancanka/Pimen_Pancanka.Kraina_maja.mp3,,,Краіна мая,/Pimien_Pancanka/Kraina_maja_audio.html
143_0024,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Pimen_Pancanka/Pimen_Pancanka.Kryk_soiki.mp3,,,Крык сойкі,/Pimien_Pancanka/Kryk_sojki_audio.html
143_0025,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Pimen_Pancanka/Pimen_Pancanka.Rodnaja_mova.mp3,,,Родная мова,/Pimien_Pancanka/Rodnaja_mova_audio.html
143_0026,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Pimen_Pancanka/Pimen_Pancanka.Sparysy.mp3,,,Спарышы,/Pimien_Pancanka/Sparysy_audio.html
143_0027,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Pimen_Pancanka/Pimen_Pancanka.Toj_dzien_prapau_i_stracany_navieki.mp3,,,Той дзень прапаў і страчаны навекі...,/Pimien_Pancanka/Toj_dzien_prapau_i_stracany_navieki_audio.html
143_0028,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Pimen_Pancanka/Pimen_Pancanka.Tolki_lisciem_rabin_salachni.mp3,,,Толькі лісцем рабін шалахні...,/Pimien_Pancanka/Tolki_lisciem_rabin_salachni_audio.html
143_0029,epub,/Pimien_Pancanka/I_nieba_nie_prajasnilasia.epub,,,"""I неба не праяснілася...""",/Pimien_Pancanka/I_nieba_nie_prajasnilasia.html
143_0030,epub,/Pimien_Pancanka/A_hidrastancyju_nasu_u_Sajanach.epub,,,"""А гідрастанцыю нашу ў Саянах...""",/Pimien_Pancanka/A_hidrastancyju_nasu_u_Sajanach.html
143_0031,epub,/Pimien_Pancanka/A_my_uzo_jak_zimy_sivyja.epub,,,"""А мы ўжо як зімы сівыя...""",/Pimien_Pancanka/A_my_uzo_jak_zimy_sivyja.html
143_0032,epub,/Pimien_Pancanka/A_pabyvac_tam_dauno_ja_maru.epub,,,"""А пабываць там даўно я мару...""",/Pimien_Pancanka/A_pabyvac_tam_dauno_ja_maru.html
143_0033,epub,/Pimien_Pancanka/A_ptuski_znikajuc.epub,,,"""А птушкі знікаюць...""",/Pimien_Pancanka/A_ptuski_znikajuc.html
143_0034,epub,/Pimien_Pancanka/A_radasc_-_nie_sumlivaja.epub,,,"""А радасць — не шумлівая...""",/Pimien_Pancanka/A_radasc_-_nie_sumlivaja.html
143_0035,epub,/Pimien_Pancanka/A_sonca_ciabie_prasmalila.epub,,,"""А сонца цябе прасмаліла...""",/Pimien_Pancanka/A_sonca_ciabie_prasmalila.html
143_0036,epub,/Pimien_Pancanka/A_stracic_hodnasc_-_nievynosna.epub,,,"""А страціць годнасць — невыносна...""",/Pimien_Pancanka/A_stracic_hodnasc_-_nievynosna.html
143_0037,epub,/Pimien_Pancanka/A_cas_pa_hryby_mnie_chadzic_nie_pryjsou.epub,,,"""А час па грыбы мне хадзіць не прыйшоў...""",/Pimien_Pancanka/A_cas_pa_hryby_mnie_chadzic_nie_pryjsou.html
143_0038,epub,/Pimien_Pancanka/A_ja_maladych_nie_laju.epub,,,"""А я маладых не лаю...""",/Pimien_Pancanka/A_ja_maladych_nie_laju.html
143_0039,epub,/Pimien_Pancanka/Abahacalnyja_fabryki.epub,,,"""Абагачальныя фабрыкі...""",/Pimien_Pancanka/Abahacalnyja_fabryki.html
143_0040,epub,"/Pimien_Pancanka/Ahryzajecca,_dy_zvuzajecca.epub",,,"""Агрызаецца, ды звужаецца...""","/Pimien_Pancanka/Ahryzajecca,_dy_zvuzajecca.html"
143_0041,epub,/Pimien_Pancanka/Adplyvaje_biely_cieplachod.epub,,,"""Адплывае белы цеплаход...""",/Pimien_Pancanka/Adplyvaje_biely_cieplachod.html
143_0042,epub,"/Pimien_Pancanka/Azonu,-_prosim_my,-_azonu.epub",,,"""Азону,— просім мы,— азону!""","/Pimien_Pancanka/Azonu,-_prosim_my,-_azonu.html"
143_0043,epub,/Pimien_Pancanka/Aposni_dzien_viasny_i_piersy_leta.epub,,,"""Апошні дзень вясны і першы лета...""",/Pimien_Pancanka/Aposni_dzien_viasny_i_piersy_leta.html
143_0044,epub,/Pimien_Pancanka/Asiennimi_dazdzami_zalilo.epub,,,"""Асеннімі дажджамі заліло...""",/Pimien_Pancanka/Asiennimi_dazdzami_zalilo.html
143_0045,epub,/Pimien_Pancanka/Boj_pad_viecar_skoncyusia.epub,,,"""Бой пад вечар скончыўся...""",/Pimien_Pancanka/Boj_pad_viecar_skoncyusia.html
143_0046,epub,/Pimien_Pancanka/Bojni_svietu_u_kryvi_i_sale.epub,,,"""Бойні свету у крыві і сале...""",/Pimien_Pancanka/Bojni_svietu_u_kryvi_i_sale.html
143_0047,epub,/Pimien_Pancanka/Byvala_viartajessia_z_lesu_u_malenstvie.epub,,,"""Бывала: вяртаешся з лесу ў маленстве...""",/Pimien_Pancanka/Byvala_viartajessia_z_lesu_u_malenstvie.html
143_0048,epub,/Pimien_Pancanka/Bylo_usio_nieba_nada_mnoju.epub,,,"""Было ўсё неба нада мною...""",/Pimien_Pancanka/Bylo_usio_nieba_nada_mnoju.html
143_0049,epub,/Pimien_Pancanka/Vieru_Siryusu_i_Vieniery.epub,,,"""Веру Сірыусу і Венеры...""",/Pimien_Pancanka/Vieru_Siryusu_i_Vieniery.html
143_0050,epub,/Pimien_Pancanka/Viecier_hruknuu_fortkaj.epub,,,"""Вецер грукнуў форткай...""",/Pimien_Pancanka/Viecier_hruknuu_fortkaj.html
143_0051,epub,/Pimien_Pancanka/Vos_jasce_maloje_namahannie_Turabu_Tula.epub,,,"""Вось яшчэ малое намаганне..."" (Турабу Тула)",/Pimien_Pancanka/Vos_jasce_maloje_namahannie_Turabu_Tula.html
143_0052,epub,/Pimien_Pancanka/Vy_nacavali_nad_rakoj.epub,,,"""Вы начавалі над ракой...?""",/Pimien_Pancanka/Vy_nacavali_nad_rakoj.html
143_0053,epub,/Pimien_Pancanka/Hladzu_ja_na_azierbajdzanku.epub,,,"""Гляджу я на азербайджанку...""",/Pimien_Pancanka/Hladzu_ja_na_azierbajdzanku.html
143_0054,epub,/Pimien_Pancanka/Hryzie_usich_nas_nieciarplivasc.epub,,,"""Грызе усіх нас нецярплівасць...""",/Pimien_Pancanka/Hryzie_usich_nas_nieciarplivasc.html
143_0055,epub,/Pimien_Pancanka/Davierlivaja_prastadusnasc.epub,,,"""Даверлівая прастадушнасць...""",/Pimien_Pancanka/Davierlivaja_prastadusnasc.html
143_0056,epub,"/Pimien_Pancanka/Davoli_vam,_dzieci.epub",,,"""Даволі вам, дзеці...""","/Pimien_Pancanka/Davoli_vam,_dzieci.html"
143_0057,epub,"/Pimien_Pancanka/Daruj,_zyccio,_sto_u_slabasci_casovaj.epub",,,"""Даруй, жыццё, што ў слабасці часовай...""","/Pimien_Pancanka/Daruj,_zyccio,_sto_u_slabasci_casovaj.html"
143_0058,epub,"/Pimien_Pancanka/Darujcie_backam,_sto_zadajuc_svaim.epub",,,"""Даруйце бацькам, што жадаюць сваім...""","/Pimien_Pancanka/Darujcie_backam,_sto_zadajuc_svaim.html"
143_0059,epub,/Pimien_Pancanka/Dozdz_iznou.epub,,,"""Дождж ізноў...""",/Pimien_Pancanka/Dozdz_iznou.html
143_0060,epub,/Pimien_Pancanka/Znivienskaja_noc_jak_zvarjaciela.epub,,,"""Жнівеньская ноч як звар’яцела...""",/Pimien_Pancanka/Znivienskaja_noc_jak_zvarjaciela.html
143_0061,epub,/Pimien_Pancanka/Zyvaja_raka_u_niaspynnym_ruchu.epub,,,"""Жывая рака у няспынным руху...""",/Pimien_Pancanka/Zyvaja_raka_u_niaspynnym_ruchu.html
143_0062,epub,/Pimien_Pancanka/Z_malenstva_my_irvalisia_u_horad.epub,,,"""З маленства мы ірваліся у горад...""",/Pimien_Pancanka/Z_malenstva_my_irvalisia_u_horad.html
143_0063,epub,/Pimien_Pancanka/Z_nas_mnohija_prahnuc_razumnaha_Ryhoru_Baradulinu.epub,,,"""З нас многія прагнуць разумнага..."" (Рыгору Барадуліну)",/Pimien_Pancanka/Z_nas_mnohija_prahnuc_razumnaha_Ryhoru_Baradulinu.html
143_0064,epub,/Pimien_Pancanka/Z_pracy_pacynajecca_Kupala.epub,,,"""З працы пачынаецца Купала...""",/Pimien_Pancanka/Z_pracy_pacynajecca_Kupala.html
143_0065,epub,/Pimien_Pancanka/Z_telemacty_lipy_nasmichalisia.epub,,,"""З тэлемачты ліпы насміхаліся...""",/Pimien_Pancanka/Z_telemacty_lipy_nasmichalisia.html
143_0066,epub,/Pimien_Pancanka/Za_aknom_-_biaskoncych_syn_sypiennie.epub,,,"""За акном — бясконцых шын шыпенне...""",/Pimien_Pancanka/Za_aknom_-_biaskoncych_syn_sypiennie.html
143_0067,epub,/Pimien_Pancanka/Za_prasnicaj_harbataju.epub,,,"""За прасніцай гарбатаю...""",/Pimien_Pancanka/Za_prasnicaj_harbataju.html
143_0068,epub,"/Pimien_Pancanka/Zviazac_by_usich,_chto_prahnie_novaj_bojni.epub",,,"""Звязаць бы ўсіх, хто прагне новай бойні...""","/Pimien_Pancanka/Zviazac_by_usich,_chto_prahnie_novaj_bojni.html"
143_0069,epub,"/Pimien_Pancanka/Zdarajecca,_casami_ja_rablu.epub",,,"""Здараецца, часамі я раблю...""","/Pimien_Pancanka/Zdarajecca,_casami_ja_rablu.html"
143_0070,epub,/Pimien_Pancanka/Ziernie_praudy_i_prauda_ziernia.epub,,,"""Зерне праўды і праўда зерня...""",/Pimien_Pancanka/Ziernie_praudy_i_prauda_ziernia.html
143_0071,epub,/Pimien_Pancanka/Znikli_halosy.epub,,,"""Зніклі галёшы...""",/Pimien_Pancanka/Znikli_halosy.html
143_0072,epub,"/Pimien_Pancanka/Zialony_Minsk,_stary_tvoj_sad_pasiekla.epub",,,"""Зялёны Мінск, стары твой сад пасекла...""","/Pimien_Pancanka/Zialony_Minsk,_stary_tvoj_sad_pasiekla.html"
143_0073,epub,"/Pimien_Pancanka/Ziamla_maja_to_miakkaja,_to_mulkaja.epub",,,"""Зямля мая то мяккая, то мулкая...""","/Pimien_Pancanka/Ziamla_maja_to_miakkaja,_to_mulkaja.html"
143_0074,epub,/Pimien_Pancanka/I_ludzi.epub,,,"""І людзі...""",/Pimien_Pancanka/I_ludzi.html
143_0075,epub,/Pimien_Pancanka/I_mianie_chvaroba_tuzanula.epub,,,"""І мяне хвароба тузанула...""",/Pimien_Pancanka/I_mianie_chvaroba_tuzanula.html
143_0076,epub,/Pimien_Pancanka/I_niama_kaho_nam_paprakac.epub,,,"""І няма каго нам папракаць...""",/Pimien_Pancanka/I_niama_kaho_nam_paprakac.html
143_0077,epub,"/Pimien_Pancanka/Iznouku_hrom_na_les,_na_holy.epub",,,"""Ізноўку гром на лес, на голы...""","/Pimien_Pancanka/Iznouku_hrom_na_les,_na_holy.html"
143_0078,epub,"/Pimien_Pancanka/Iluzii,_iluzii.epub",,,"""Ілюзіі, ілюзіі...""","/Pimien_Pancanka/Iluzii,_iluzii.html"
143_0079,epub,/Pimien_Pancanka/Kazuc_Kali_b_davialosia_spacatku.epub,,,"""Кажуць: «Калі б давялося спачатку...»""",/Pimien_Pancanka/Kazuc_Kali_b_davialosia_spacatku.html
143_0080,epub,/Pimien_Pancanka/Kali_zredku_mianie.epub,,,"""Калі зрэдку мяне...""",/Pimien_Pancanka/Kali_zredku_mianie.html
143_0081,epub,/Pimien_Pancanka/Kali_pacalasia_vajna_dla_mianie.epub,,,"""Калі пачалася вайна для мяне?..""",/Pimien_Pancanka/Kali_pacalasia_vajna_dla_mianie.html
143_0082,epub,/Pimien_Pancanka/Kapajcie_u_sercy_maim_mahilu.epub,,,"""Капайце у сэрцы маім магілу...""",/Pimien_Pancanka/Kapajcie_u_sercy_maim_mahilu.html
143_0083,epub,/Pimien_Pancanka/Kasmanaut_zauzdy_pasla_palotu.epub,,,"""Касманаўт заўжды пасля палёту...""",/Pimien_Pancanka/Kasmanaut_zauzdy_pasla_palotu.html
143_0084,epub,/Pimien_Pancanka/Kolki_toj_radasci_u_calavieka.epub,,,"""Колькі той радасці у чалавека!..""",/Pimien_Pancanka/Kolki_toj_radasci_u_calavieka.html
143_0085,epub,/Pimien_Pancanka/Krasa_i_cud_ziamli_-_Vasil_Blazenny.epub,,,"""Краса і цуд зямлі — Васіль Блажэнны...""",/Pimien_Pancanka/Krasa_i_cud_ziamli_-_Vasil_Blazenny.html
143_0086,epub,/Pimien_Pancanka/Lamaje_cas_bylyja_zvycki.epub,,,"""Ламае час былыя звычкі...""",/Pimien_Pancanka/Lamaje_cas_bylyja_zvycki.html
143_0087,epub,/Pimien_Pancanka/Ludzi_leta_z_paletkau_nazvozili.epub,,,"""Людзі лета з палеткаў назвозілі...""",/Pimien_Pancanka/Ludzi_leta_z_paletkau_nazvozili.html
143_0088,epub,/Pimien_Pancanka/Mala_skazac_nienavidzu.epub,,,"""Мала сказаць: ненавіджу...""",/Pimien_Pancanka/Mala_skazac_nienavidzu.html
143_0089,epub,/Pimien_Pancanka/Mitynhi_vialikaj_revalucyi.epub,,,"""Мітынгі вялікай рэвалюцыі...""",/Pimien_Pancanka/Mitynhi_vialikaj_revalucyi.html
143_0090,epub,/Pimien_Pancanka/Mnie_backa_nie_pakinuu_rodnaj_chaty.epub,,,"""Мне бацька не пакінуў роднай хаты...""",/Pimien_Pancanka/Mnie_backa_nie_pakinuu_rodnaj_chaty.html
143_0091,epub,/Pimien_Pancanka/Mnie_nie_patrebny_suciasenni.epub,,,"""Мне не патрэбны суцяшэнні...""",/Pimien_Pancanka/Mnie_nie_patrebny_suciasenni.html
143_0092,epub,/Pimien_Pancanka/My_vielmi_lubim_slova_malady_Hienadziu_Buraukinu.epub,,,"""Мы вельмі любім слова «малады»..."" (Генадзю Бураўкіну)",/Pimien_Pancanka/My_vielmi_lubim_slova_malady_Hienadziu_Buraukinu.html
143_0093,epub,/Pimien_Pancanka/My_vycierpieli.epub,,,"""Мы выцерпелі...""",/Pimien_Pancanka/My_vycierpieli.html
143_0094,epub,/Pimien_Pancanka/My_pilniej_pazirajem_na_reki.epub,,,"""Мы пільней пазіраем на рэкі...""",/Pimien_Pancanka/My_pilniej_pazirajem_na_reki.html
143_0095,epub,/Pimien_Pancanka/My_usie_krychu_tyrany.epub,,,"""Мы ўсе крыху тыраны...""",/Pimien_Pancanka/My_usie_krychu_tyrany.html
143_0096,epub,/Pimien_Pancanka/My_usie_u_malankach_i_bijatokach.epub,,,"""Мы ўсе ў маланках і біятоках...""",/Pimien_Pancanka/My_usie_u_malankach_i_bijatokach.html
143_0097,epub,"/Pimien_Pancanka/My,_ludzi,-_dziunyja_stvarenni.epub",,,"""Мы, людзі,— дзіўныя стварэнні...""","/Pimien_Pancanka/My,_ludzi,-_dziunyja_stvarenni.html"
143_0098,epub,/Pimien_Pancanka/Mianie_siabry_pytajuc.epub,,,"""Мяне сябры пытаюць...""",/Pimien_Pancanka/Mianie_siabry_pytajuc.html
143_0099,epub,/Pimien_Pancanka/Na_Brestcynie_karybski_urahan.epub,,,"""На Брэстчыне карыбскі ураган...""",/Pimien_Pancanka/Na_Brestcynie_karybski_urahan.html
143_0100,epub,/Pimien_Pancanka/Na_dziesiac_pracentau_bolej.epub,,,"""На дзесяць працэнтаў болей...""",/Pimien_Pancanka/Na_dziesiac_pracentau_bolej.html
143_0101,epub,/Pimien_Pancanka/Na_nasym_paunocnym_pausarji.epub,,,"""На нашым паўночным паўшар’і...""",/Pimien_Pancanka/Na_nasym_paunocnym_pausarji.html
143_0102,epub,/Pimien_Pancanka/Na_niahody_zyccia_nie_zalciesia.epub,,,"""На нягоды жыцця не жальцеся...""",/Pimien_Pancanka/Na_niahody_zyccia_nie_zalciesia.html
143_0103,epub,/Pimien_Pancanka/Na_Palessi_vosien.epub,,,"""На Палессі восень...""",/Pimien_Pancanka/Na_Palessi_vosien.html
143_0104,epub,/Pimien_Pancanka/Na_schodach_casta_u_zvon_my_hucna_bjom.epub,,,"""На сходах часта ў звон мы гучна б’ём...""",/Pimien_Pancanka/Na_schodach_casta_u_zvon_my_hucna_bjom.html
143_0105,epub,/Pimien_Pancanka/Nad_bielaju_pustyniaju_ablok.epub,,,"""Над белаю пустыняю аблок...""",/Pimien_Pancanka/Nad_bielaju_pustyniaju_ablok.html
143_0106,epub,/Pimien_Pancanka/Nanizy_na_nitacku_karali_Tani.epub,,,"""Наніжы на нітачку каралі..."" (Тані)",/Pimien_Pancanka/Nanizy_na_nitacku_karali_Tani.html
143_0107,epub,/Pimien_Pancanka/Nas_pravadyr_i_nie_viedau.epub,,,"""Наш правадыр і не ведаў...""",/Pimien_Pancanka/Nas_pravadyr_i_nie_viedau.html
143_0108,epub,/Pimien_Pancanka/Nie_lublu_ja_slova_pakaryciel.epub,,,"""Не люблю я слова «пакарыцель»...""",/Pimien_Pancanka/Nie_lublu_ja_slova_pakaryciel.html
143_0109,epub,/Pimien_Pancanka/Niesta_zurbotnaje_viecier_piaje.epub,,,"""Нешта журботнае вецер пяе...""",/Pimien_Pancanka/Niesta_zurbotnaje_viecier_piaje.html
143_0110,epub,/Pimien_Pancanka/Niesta_projdziena.epub,,,"""Нешта пройдзена...""",/Pimien_Pancanka/Niesta_projdziena.html
143_0111,epub,/Pimien_Pancanka/Noc_kanaje_u_ciomnym_zavuholli.epub,,,"""Ноч канае ў цёмным завуголлі...""",/Pimien_Pancanka/Noc_kanaje_u_ciomnym_zavuholli.html
143_0112,epub,"/Pimien_Pancanka/Nu,_vos_tabie_tvoj_bor,_tvoj_vieras.epub",,,"""Ну, вось табе твой бор, твой верас...""","/Pimien_Pancanka/Nu,_vos_tabie_tvoj_bor,_tvoj_vieras.html"
143_0113,epub,/Pimien_Pancanka/Niama_na_sviecie_ziemlau_niepryhozych.epub,,,"""Няма на свеце земляў непрыгожых...""",/Pimien_Pancanka/Niama_na_sviecie_ziemlau_niepryhozych.html
143_0114,epub,"/Pimien_Pancanka/Pazyc_da_dna_-_i_kropka,_hodzie.epub",,,"""Пажыць да дна — і кропка, годзе...""","/Pimien_Pancanka/Pazyc_da_dna_-_i_kropka,_hodzie.html"
143_0115,epub,/Pimien_Pancanka/Pazarastali_usie_transei.epub,,,"""Пазарасталі ўсе траншэі...""",/Pimien_Pancanka/Pazarastali_usie_transei.html
143_0116,epub,/Pimien_Pancanka/Pakul_biaskoncaja.epub,,,"""Пакуль бясконцая...""",/Pimien_Pancanka/Pakul_biaskoncaja.html
