linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Ales_Bacyla/Radzima_maja_darahaja.epub,,,«Радзіма мая дарагая...»,/Ales_Bacyla/Radzima_maja_darahaja.html
2,epub,/Ales_Bacyla/A_kali_razabracca.epub,,,А калі разабрацца...,/Ales_Bacyla/A_kali_razabracca.html
3,epub,"/Ales_Bacyla/A_mary,_jak_cajki,_na_svoj_majak_imknucca.epub",,,"«А мары, як чайкі, на свой маяк імкнуцца...»","/Ales_Bacyla/A_mary,_jak_cajki,_na_svoj_majak_imknucca.html"
4,epub,/Ales_Bacyla/Adzin_z_niamnohich.epub,,,Адзін з нямногіх,/Ales_Bacyla/Adzin_z_niamnohich.html
5,epub,/Ales_Bacyla/Biez_prava_na_biassprecnasc.epub,,,Без права на бясспрэчнасць,/Ales_Bacyla/Biez_prava_na_biassprecnasc.html
6,epub,/Ales_Bacyla/Vaviorcyna_hora.epub,,,«Вавёрчына гора»,/Ales_Bacyla/Vaviorcyna_hora.html
7,epub,/Ales_Bacyla/Varta_pahavaryc.epub,,,Варта пагаварыць...,/Ales_Bacyla/Varta_pahavaryc.html
8,epub,/Ales_Bacyla/Vierch_-_za_rozumam.epub,,,Верх — за розумам,/Ales_Bacyla/Vierch_-_za_rozumam.html
9,pdf,https://files.knihi.com/Knihi/scanned/Bacyla.Alies.Harac_listy_klianovyja.pdf,,,Гараць лісты кляновыя: Вершы,/Ales_Bacyla/Harac_listy_klanovyja_Viersy.html
10,epub,/Ales_Bacyla/Darohami_Maksima_Bahdanovica.epub,,,Дарогамі Максіма Багдановіча,/Ales_Bacyla/Darohami_Maksima_Bahdanovica.html
11,epub,/Ales_Bacyla/Jon_zyu_litaraturaj.epub,,,Ён жыў літаратурай,/Ales_Bacyla/Jon_zyu_litaraturaj.html
12,epub,/Ales_Bacyla/Josc_na_sto_azirnucca.epub,,,Ёсць на што азірнуцца,/Ales_Bacyla/Josc_na_sto_azirnucca.html
13,epub,/Ales_Bacyla/Zyccio_u_paezii.epub,,,Жыццё ў паэзіі,/Ales_Bacyla/Zyccio_u_paezii.html
14,epub,/Ales_Bacyla/Zabyc_ciabie_nie_maju_sily.epub,,,«Забыць цябе не маю сілы...»,/Ales_Bacyla/Zabyc_ciabie_nie_maju_sily.html
15,epub,/Ales_Bacyla/Zaprasennie_da_pierakladu.epub,,,Запрашэнне да перакладу,/Ales_Bacyla/Zaprasennie_da_pierakladu.html
16,epub,/Ales_Bacyla/Zauvahi.epub,,,Заўвагі,/Ales_Bacyla/Zauvahi.html
17,epub,/Ales_Bacyla/Kab_raka_nie_mialela.epub,,,Каб рака не мялела,/Ales_Bacyla/Kab_raka_nie_mialela.html
18,epub,/Ales_Bacyla/Kali_za_placyma_pauvieka.epub,,,Калі за плячыма паўвека...,/Ales_Bacyla/Kali_za_placyma_pauvieka.html
19,epub,/Ales_Bacyla/Karotkija_sustrecy.epub,,,Кароткія сустрэчы,/Ales_Bacyla/Karotkija_sustrecy.html
20,epub,/Ales_Bacyla/Muzyka_Juryja_Siemianiaki.epub,,,Музыка Юрыя Семянякі,/Ales_Bacyla/Muzyka_Juryja_Siemianiaki.html
21,epub,/Ales_Bacyla/Nas_Ryhor_Ramanavic.epub,,,Наш Рыгор Раманавіч,/Ales_Bacyla/Nas_Ryhor_Ramanavic.html
22,epub,/Ales_Bacyla/Opiera_pacynajecca_z_libreta.epub,,,Опера пачынаецца з лібрэта,/Ales_Bacyla/Opiera_pacynajecca_z_libreta.html
23,epub,/Ales_Bacyla/Paet_i_muzyka.epub,,,Паэт і музыка,/Ales_Bacyla/Paet_i_muzyka.html
24,epub,/Ales_Bacyla/Piesniu_rodnuju_lublu.epub,,,«Песню родную люблю...»,/Ales_Bacyla/Piesniu_rodnuju_lublu.html
25,epub,"/Ales_Bacyla/Sercy,_adkrytyja_kachanniu.epub",,,"Сэрцы, адкрытыя каханню","/Ales_Bacyla/Sercy,_adkrytyja_kachanniu.html"
26,epub,/Ales_Bacyla/Cystyja_rasinki_pacuccia.epub,,,Чыстыя расінкі пачуцця,/Ales_Bacyla/Cystyja_rasinki_pacuccia.html
27,epub,/Ales_Bacyla/Smathrannasc_talentu.epub,,,Шматграннасць таленту,/Ales_Bacyla/Smathrannasc_talentu.html
28,epub,"/Ales_Bacyla/Scyryja,_sardecnyja_piesni.epub",,,"Шчырыя, сардэчныя песні","/Ales_Bacyla/Scyryja,_sardecnyja_piesni.html"
29,epub,/Ales_Bacyla/Junacki_sviet_Valodzi_Uljanava.epub,,,Юнацкі свет Валодзі Ульянава,/Ales_Bacyla/Junacki_sviet_Valodzi_Uljanava.html
30,epub,/Ales_Bacyla/Jak_pisalasia_Radzima_maja_darahaja.epub,,,Як пісалася «Радзіма мая дарагая»,/Ales_Bacyla/Jak_pisalasia_Radzima_maja_darahaja.html
31,djvu,https://files.knihi.com/Knihi/scanned-n/Bacyla_Ales.Biely_biareznik.djvu,,,Белы бярэзьнік,/Ales_Bacyla/Biely_biareznik.html
32,djvu,https://files.knihi.com/Knihi/scanned-n/Bacyla_Ales.Krylo_niespakoju.djvu,,,Крыло неспакою,/Ales_Bacyla/Krylo_niespakoju.html
33,epub,/Michail_Lermantau/U_tuman_vychodzu_na_darohu.epub,Міхаіл Лермантаў,/Michail_Lermantau/,«У туман выходжу на дарогу...»,/Michail_Lermantau/U_tuman_vychodzu_na_darohu.html
34,epub,/Alaksandar_Puskin/Vakchicnaja_piesnia_bac.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Вакхічная песня,/Alaksandar_Puskin/Vakchicnaja_piesnia_bac.html
35,epub,/Alaksandar_Puskin/Uspamin_bac.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Успамін,/Alaksandar_Puskin/Uspamin_bac.html
36,epub,/Alaksandar_Puskin/Ja_vas_kachau.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Я вас кахаў...,/Alaksandar_Puskin/Ja_vas_kachau.html
37,epub,"/Alaksiej_Talstoj/Zalaty_klucyk,_abo_Pryhody_Buraciny.epub",Аляксей Талстой,/Alaksiej_Talstoj/,"Залаты ключык, або Прыгоды Бураціны","/Alaksiej_Talstoj/Zalaty_klucyk,_abo_Pryhody_Buraciny.html"
