linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Uladzimir_Karatkievic/Kalasy_pad_siarpom_tvaim.epub,,,Каласы пад сярпом тваім,/Uladzimir_Karatkievic/Kalasy_pad_siarpom_tvaim.html
2,epub,/Uladzimir_Karatkievic/Chrystos_pryziamliusia_u_Harodni.epub,,,Хрыстос прызямліўся ў Гародні,/Uladzimir_Karatkievic/Chrystos_pryziamliusia_u_Harodni.html
3,epub,/Uladzimir_Karatkievic/Corny_zamak_Alsanski.epub,,,Чорны замак Альшанскі,/Uladzimir_Karatkievic/Corny_zamak_Alsanski.html
4,epub,/Uladzimir_Karatkievic/Dzikaje_palavannie_karala_Stacha.epub,,,Дзікае паляванне караля Стаха,/Uladzimir_Karatkievic/Dzikaje_palavannie_karala_Stacha.html
5,epub,/Uladzimir_Karatkievic/Zbroja.epub,,,Зброя,/Uladzimir_Karatkievic/Zbroja.html
6,epub,/Uladzimir_Karatkievic/Laddzia_rospacy.epub,,,Ладдзя роспачы,/Uladzimir_Karatkievic/Laddzia_rospacy.html
7,epub,/Uladzimir_Karatkievic/Liscie_kastanau.epub,,,Лісце каштанаў,/Uladzimir_Karatkievic/Liscie_kastanau.html
8,epub,/Uladzimir_Karatkievic/Sivaja_lehienda.epub,,,Сівая легенда,/Uladzimir_Karatkievic/Sivaja_lehienda.html
9,epub,/Uladzimir_Karatkievic/Cazienija.epub,,,Чазенія,/Uladzimir_Karatkievic/Cazienija.html
10,epub,/Uladzimir_Karatkievic/Knihanosy.epub,,,Кніганошы,/Uladzimir_Karatkievic/Knihanosy.html
11,epub,/Uladzimir_Karatkievic/Bielaje_polymia.epub,,,Белае полымя,/Uladzimir_Karatkievic/Bielaje_polymia.html
12,epub,/Uladzimir_Karatkievic/Blakit_i_zolata_dnia.epub,,,Блакіт і золата дня,/Uladzimir_Karatkievic/Blakit_i_zolata_dnia.html
13,epub,/Uladzimir_Karatkievic/Dreva_viecnasci.epub,,,Дрэва вечнасці,/Uladzimir_Karatkievic/Dreva_viecnasci.html
14,epub,/Uladzimir_Karatkievic/Kraina_Cyhanija.epub,,,Краіна Цыганія,/Uladzimir_Karatkievic/Kraina_Cyhanija.html
15,epub,/Uladzimir_Karatkievic/Lasnaja_historyja.epub,,,Лясная гісторыя,/Uladzimir_Karatkievic/Lasnaja_historyja.html
16,epub,/Uladzimir_Karatkievic/Latucy_Halandziec.epub,,,Лятучы Галандзец,/Uladzimir_Karatkievic/Latucy_Halandziec.html
17,epub,/Uladzimir_Karatkievic/Palasuk.epub,,,Паляшук,/Uladzimir_Karatkievic/Palasuk.html
18,epub,/Uladzimir_Karatkievic/Parom_na_burnaj_race.epub,,,Паром на бурнай рацэ,/Uladzimir_Karatkievic/Parom_na_burnaj_race.html
19,epub,/Uladzimir_Karatkievic/Siniaja-siniaja.epub,,,Сіняя-сіняя...,/Uladzimir_Karatkievic/Siniaja-siniaja.html
20,epub,/Uladzimir_Karatkievic/Skrypka_dryhvy_j_vierasovych_pustecau_v1.epub,,,Скрыпка дрыгвы й верасовых пустэчаў,/Uladzimir_Karatkievic/Skrypka_dryhvy_j_vierasovych_pustecau_v1.html
21,epub,/Uladzimir_Karatkievic/Jak_zviarhajucca_idaly.epub,,,Як звяргаюцца ідалы,/Uladzimir_Karatkievic/Jak_zviarhajucca_idaly.html
22,epub,/Uladzimir_Karatkievic/Autuch-damounik.epub,,,Аўтух-дамоўнік,/Uladzimir_Karatkievic/Autuch-damounik.html
23,epub,/Uladzimir_Karatkievic/Vierabjova_ciesca.epub,,,Вераб'ёва цешча,/Uladzimir_Karatkievic/Vierabjova_ciesca.html
24,epub,"/Uladzimir_Karatkievic/Vierabiej,_sava_i_ptusyny_sud.epub",,,"Верабей, сава і птушыны суд","/Uladzimir_Karatkievic/Vierabiej,_sava_i_ptusyny_sud.html"
25,epub,/Uladzimir_Karatkievic/Vuzynaja_karaleva.epub,,,Вужыная каралева,/Uladzimir_Karatkievic/Vuzynaja_karaleva.html
26,epub,/Uladzimir_Karatkievic/Viasna_uvosien.epub,,,Вясна ўвосень,/Uladzimir_Karatkievic/Viasna_uvosien.html
27,epub,/Uladzimir_Karatkievic/Zabki_i_Carapacha.epub,,,Жабкі і Чарапаха,/Uladzimir_Karatkievic/Zabki_i_Carapacha.html
28,epub,/Uladzimir_Karatkievic/Kazka_pra_Piatra-razbojnika.epub,,,Казка пра Пятра-разбойніка,/Uladzimir_Karatkievic/Kazka_pra_Piatra-razbojnika.html
29,epub,/Uladzimir_Karatkievic/Kaciol_z_kamiencykami.epub,,,Кацёл з каменьчыкамі,/Uladzimir_Karatkievic/Kaciol_z_kamiencykami.html
30,epub,/Uladzimir_Karatkievic/Kucka.epub,,,Куцька,/Uladzimir_Karatkievic/Kucka.html
31,epub,/Uladzimir_Karatkievic/Muzyk_i_dziva_adnavokaje.epub,,,Мужык і дзіва аднавокае,/Uladzimir_Karatkievic/Muzyk_i_dziva_adnavokaje.html
32,epub,/Uladzimir_Karatkievic/Noc_kazka.epub,,,Ноч,/Uladzimir_Karatkievic/Noc_kazka.html
33,epub,"/Uladzimir_Karatkievic/Pan_tvanny,_slachcic_bahniany.epub",,,"Пан тванны, шляхціц багняны","/Uladzimir_Karatkievic/Pan_tvanny,_slachcic_bahniany.html"
34,epub,/Uladzimir_Karatkievic/Rybin_car.epub,,,Рыбін цар,/Uladzimir_Karatkievic/Rybin_car.html
35,epub,/Uladzimir_Karatkievic/Staraja_kazka.epub,,,Старая казка,/Uladzimir_Karatkievic/Staraja_kazka.html
36,epub,/Uladzimir_Karatkievic/Cortau_skarb.epub,,,Чортаў скарб,/Uladzimir_Karatkievic/Cortau_skarb.html
37,epub,/Uladzimir_Karatkievic/Blakla-siniaje_nieba_i_cyrvan_halin.epub,,,"""Блякла-сіняе неба і чырвань галін...""",/Uladzimir_Karatkievic/Blakla-siniaje_nieba_i_cyrvan_halin.html
38,epub,/Uladzimir_Karatkievic/Byu_Josc_Budu.epub,,,"""Быў. Ёсць. Буду...""",/Uladzimir_Karatkievic/Byu_Josc_Budu.html
39,epub,/Uladzimir_Karatkievic/Mozna_usio_puscic_kachannie_dymam.epub,,,"""Можна ўсё: пусціць каханне дымам...""",/Uladzimir_Karatkievic/Mozna_usio_puscic_kachannie_dymam.html
40,epub,/Uladzimir_Karatkievic/Navat_sciuznym_zimovym_viecaram.epub,,,"""Нават сцюжным зімовым вечарам...""",/Uladzimir_Karatkievic/Navat_sciuznym_zimovym_viecaram.html
41,epub,"/Uladzimir_Karatkievic/O_lubou_maja,_Bielarus.epub",,,"""О любоў мая, Беларусь!..""","/Uladzimir_Karatkievic/O_lubou_maja,_Bielarus.html"
42,epub,/Uladzimir_Karatkievic/Radok_biazzbrojny_i_biassprecny.epub,,,"""Радок бяззбройны і бясспрэчны...""",/Uladzimir_Karatkievic/Radok_biazzbrojny_i_biassprecny.html
43,epub,/Uladzimir_Karatkievic/Abiacajuc_nam_novy_raskosny_dom.epub,,,«Абяцаюць нам новы раскошны дом...»,/Uladzimir_Karatkievic/Abiacajuc_nam_novy_raskosny_dom.html
44,epub,/Uladzimir_Karatkievic/Bahdanovicu.epub,,,Багдановічу,/Uladzimir_Karatkievic/Bahdanovicu.html
45,epub,"/Uladzimir_Karatkievic/Balada_pra_Viacka,_kniazia_ludziej_prostych.epub",,,"Балада пра Вячка, князя людзей простых","/Uladzimir_Karatkievic/Balada_pra_Viacka,_kniazia_ludziej_prostych.html"
46,epub,/Uladzimir_Karatkievic/Backauscyna.epub,,,Бацькаўшчына,/Uladzimir_Karatkievic/Backauscyna.html
47,epub,/Uladzimir_Karatkievic/Bielaruskaja_Piesnia.epub,,,Беларуская Песьня,/Uladzimir_Karatkievic/Bielaruskaja_Piesnia.html
48,epub,/Uladzimir_Karatkievic/Vasilu_Bykavu.epub,,,Васілю Быкаву,/Uladzimir_Karatkievic/Vasilu_Bykavu.html
49,epub,/Uladzimir_Karatkievic/Liscie.epub,,,Лісце,/Uladzimir_Karatkievic/Liscie.html
50,epub,/Uladzimir_Karatkievic/Na_Bielarusi_boh_zyvie.epub,,,«На Беларусі бог жыве»,/Uladzimir_Karatkievic/Na_Bielarusi_boh_zyvie.html
51,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Uladzimir_Karatkievic/Uladzimir_Karatkievic.Abiacajuc_nam_novy_raskosny_dom.mp3,,,Абяцаюць нам новы раскошны дом...,/Uladzimir_Karatkievic/Abiacajuc_nam_novy_raskosny_dom_audio.html
52,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Uladzimir_Karatkievic/Uladzimir_Karatkievic.Amal_chryscijanski_tost_za_vorahau.mp3,,,Амаль хрысціянскі тост за ворагаў,/Uladzimir_Karatkievic/Amal_chryscijanski_tost_za_vorahau_audio.html
53,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Uladzimir_Karatkievic/Uladzimir_Karatkievic.Ararackaja_dalina.mp3,,,Арарацкая даліна,/Uladzimir_Karatkievic/Ararackaja_dalina_audio.html
54,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Uladzimir_Karatkievic/Uladzimir_Karatkievic.Armianskija_ananimnyja_prytcy.mp3,,,Армянскія ананімныя прытчы,/Uladzimir_Karatkievic/Armianskija_ananimnyja_prytcy_audio.html
55,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Uladzimir_Karatkievic/Uladzimir_Karatkievic.Aficeru_Lisanievicu.mp3,,,Афіцэру Лісаневічу,/Uladzimir_Karatkievic/Aficeru_Lisanievicu_audio.html
56,mp3,https://files.knihi.com/Knihi/radio/Karatkievic/U.Karatkievic_-_Babina_leta.mp3,,,Бабіна лета,/Uladzimir_Karatkievic/Babina_leta_audio.html
57,mp3,https://files.knihi.com/Knihi/audiobooks2/Karatkievic.Viersy.Kalada/Bahdanovicu.mp3,,,Багдановічу,/Uladzimir_Karatkievic/Bahdanovicu_audio.html
58,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Uladzimir_Karatkievic/Uladzimir_Karatkievic.Balada_pra_archanhielau.mp3,,,Балада пра архангелаў,/Uladzimir_Karatkievic/Balada_pra_archanhielau_audio.html
59,mp3,https://files.knihi.com/Knihi/audiobooks2/Karatkievic.Viersy.Kalada/Balada_pra_dzika_i_calavieka.mp3,,,Балада пра дзіка і чалавека,/Uladzimir_Karatkievic/Balada_pra_dzika_i_calavieka_audio.html
