linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,mp3,https://files.knihi.com/Knihi/audio-staroeradio.ru/Makal_Piotr.Adkul_biarecca_chleb.mp3,,,Адкуль бярэцца хлеб,/Piatrus_Makal/Adkul_biarecca_chleb_audio.html
2,mp3.zip,https://files.knihi.com/Knihi/rutracker/Piatrus_Makal.Adcynicie_kazlaniatki.mp3.zip,,,"Адчыніце, казляняткі","/Piatrus_Makal/Adcynicie,_kazlaniatki_mp3.zip.html"
3,epub,"/Piatrus_Makal/-_Synku,_hulaj.epub",,,"""— Сынку, гуляй...""","/Piatrus_Makal/-_Synku,_hulaj.html"
4,epub,"/Piatrus_Makal/-_Ja,_vyhnannik_viasny.epub",,,"""— Я, выгнаннік вясны...""","/Piatrus_Makal/-_Ja,_vyhnannik_viasny.html"
5,epub,/Piatrus_Makal/A_leta_nie_kanula.epub,,,"""А лета не канула...""",/Piatrus_Makal/A_leta_nie_kanula.html
6,epub,/Piatrus_Makal/A_spacatku_byla_trava.epub,,,"""А спачатку была трава...""",/Piatrus_Makal/A_spacatku_byla_trava.html
7,epub,/Piatrus_Makal/A_usio-tki_treba_byc_dabrej.epub,,,"""А ўсё-ткі трэба быць дабрэй...""",/Piatrus_Makal/A_usio-tki_treba_byc_dabrej.html
8,epub,/Piatrus_Makal/A_ja_pa_biadu.epub,,,"""А я па бяду...""",/Piatrus_Makal/A_ja_pa_biadu.html
9,epub,"/Piatrus_Makal/Ab_tym,_kudy_ja_jedu.epub",,,"""Аб тым, куды я еду...""","/Piatrus_Makal/Ab_tym,_kudy_ja_jedu.html"
10,epub,/Piatrus_Makal/Ad_ziabkasci.epub,,,"""Ад зябкасці...""",/Piatrus_Makal/Ad_ziabkasci.html
11,epub,"/Piatrus_Makal/Ad_tarmazou_-_sipaty,_dymny_visk.epub",,,"""Ад тармазоў — сіпаты, дымны віск...""","/Piatrus_Makal/Ad_tarmazou_-_sipaty,_dymny_visk.html"
12,epub,/Piatrus_Makal/Addajcie_-_nie_u_kryudu_zoncy.epub,,,"""Аддайце — не ў крыўду жонцы...""",/Piatrus_Makal/Addajcie_-_nie_u_kryudu_zoncy.html
13,epub,/Piatrus_Makal/Adkazy_mnie.epub,,,"""Адкажы мне...""",/Piatrus_Makal/Adkazy_mnie.html
14,epub,/Piatrus_Makal/Adkryvali_macieryki.epub,,,"""Адкрывалі мацерыкі...""",/Piatrus_Makal/Adkryvali_macieryki.html
15,epub,/Piatrus_Makal/Adcujem_u_hrudziach.epub,,,"""Адчуем у грудзях...""",/Piatrus_Makal/Adcujem_u_hrudziach.html
16,epub,/Piatrus_Makal/Akunisia_u_race_malenstva.epub,,,"""Акуніся ў рацэ маленства...""",/Piatrus_Makal/Akunisia_u_race_malenstva.html
17,epub,"/Piatrus_Makal/Ach,_jak_brava.epub",,,"""Ах, як брава....""","/Piatrus_Makal/Ach,_jak_brava.html"
18,epub,"/Piatrus_Makal/Ach,_jak_stralaje_puha.epub",,,"""Ах, як страляе пуга...""","/Piatrus_Makal/Ach,_jak_stralaje_puha.html"
19,epub,/Piatrus_Makal/Achrysciac_vusny.epub,,,"""Ахрысцяць вусны...""",/Piatrus_Makal/Achrysciac_vusny.html
20,epub,"/Piatrus_Makal/Baissia,_sto_miazu.epub",,,"""Баішся, што мяжу...""","/Piatrus_Makal/Baissia,_sto_miazu.html"
21,epub,/Piatrus_Makal/Backi_dziaciej_damou_hukajuc.epub,,,"""Бацькі дзяцей дамоў гукаюць...""",/Piatrus_Makal/Backi_dziaciej_damou_hukajuc.html
22,epub,/Piatrus_Makal/Biez_boju_ja_zdaju.epub,,,"""Без бою я здаю...""",/Piatrus_Makal/Biez_boju_ja_zdaju.html
23,epub,/Piatrus_Makal/Bierahi_vadu_biaruc.epub,,,"""Берагі ваду бяруць...""",/Piatrus_Makal/Bierahi_vadu_biaruc.html
24,epub,"/Piatrus_Makal/Bor,_jak_rozdum.epub",,,"""Бор, як роздум...""","/Piatrus_Makal/Bor,_jak_rozdum.html"
25,epub,/Piatrus_Makal/Bylo_-_hulo.epub,,,"""Было - гуло...""",/Piatrus_Makal/Bylo_-_hulo.html
26,epub,/Piatrus_Makal/Byu_u_zialonym_zahsie.epub,,,"""Быў ў зялёным загсе...""",/Piatrus_Makal/Byu_u_zialonym_zahsie.html
27,epub,/Piatrus_Makal/Biada_adna_nie_chodzic.epub,,,"""Бяда адна не ходзіць...""",/Piatrus_Makal/Biada_adna_nie_chodzic.html
28,epub,/Piatrus_Makal/Viek_z_reaktyunaj.epub,,,"""Век з рэактыўнай...""",/Piatrus_Makal/Viek_z_reaktyunaj.html
29,epub,/Piatrus_Makal/Vielmi_chocacca_azirnucca.epub,,,"""Вельмі хочацца азірнуцца...""",/Piatrus_Makal/Vielmi_chocacca_azirnucca.html
30,epub,/Piatrus_Makal/Vier_ty_mnie.epub,,,"""Вер ты мне...""",/Piatrus_Makal/Vier_ty_mnie.html
31,epub,/Piatrus_Makal/Vierasien_na_dvare.epub,,,"""Верасень на дварэ...""",/Piatrus_Makal/Vierasien_na_dvare.html
32,epub,/Piatrus_Makal/Vitajusia_z_taboju.epub,,,"""Вітаюся з табою...""",/Piatrus_Makal/Vitajusia_z_taboju.html
33,epub,/Piatrus_Makal/Vulica_Asfalt_Slady.epub,,,"""Вуліца. Асфальт. Сляды...""",/Piatrus_Makal/Vulica_Asfalt_Slady.html
34,epub,/Piatrus_Makal/Vucyli_mianie_z_malenstva.epub,,,"""Вучылі мяне з маленства...""",/Piatrus_Makal/Vucyli_mianie_z_malenstva.html
35,epub,/Piatrus_Makal/Vy_adkul.epub,,,"""Вы адкуль?..""",/Piatrus_Makal/Vy_adkul.html
36,epub,"/Piatrus_Makal/Vybacaj,_sto_nie_znaju.epub",,,"""Выбачай, што не знаю...""","/Piatrus_Makal/Vybacaj,_sto_nie_znaju.html"
37,epub,/Piatrus_Makal/Vyvucaju_zamieznyja_movy.epub,,,"""Вывучаю замежныя мовы...""",/Piatrus_Makal/Vyvucaju_zamieznyja_movy.html
38,epub,/Piatrus_Makal/Vyplavic_chacieli.epub,,,"""Выплавіць хацелі...""",/Piatrus_Makal/Vyplavic_chacieli.html
39,epub,/Piatrus_Makal/Vyratavalny_kruh.epub,,,"""Выратавальны круг...""",/Piatrus_Makal/Vyratavalny_kruh.html
40,epub,/Piatrus_Makal/Vychodziacy_u_darohu.epub,,,"""Выходзячы ў дарогу...""",/Piatrus_Makal/Vychodziacy_u_darohu.html
41,epub,/Piatrus_Makal/Vysyni_nam_dajucca.epub,,,"""Вышыні нам даюцца...""",/Piatrus_Makal/Vysyni_nam_dajucca.html
42,epub,/Piatrus_Makal/Hrafin_zichcieu.epub,,,"""Графін зіхцеў...""",/Piatrus_Makal/Hrafin_zichcieu.html
43,epub,/Piatrus_Makal/Hruzcyk_ja.epub,,,"""Грузчык я...""",/Piatrus_Makal/Hruzcyk_ja.html
44,epub,/Piatrus_Makal/Da_ranicy_z_dum.epub,,,"""Да раніцы з дум...""",/Piatrus_Makal/Da_ranicy_z_dum.html
45,epub,/Piatrus_Makal/Davaj_nie_budziem.epub,,,"""Давай не будзем...""",/Piatrus_Makal/Davaj_nie_budziem.html
46,epub,/Piatrus_Makal/Davaj_u_hareznym_salenstvie.epub,,,"""Давай у гарэзным шаленстве...""",/Piatrus_Makal/Davaj_u_hareznym_salenstvie.html
47,epub,/Piatrus_Makal/Davajcie_pa_paradku.epub,,,"""Давайце па парадку...""",/Piatrus_Makal/Davajcie_pa_paradku.html
48,epub,"/Piatrus_Makal/Dajcie,_charei_i_jamby.epub",,,"""Дайце, харэі і ямбы...""","/Piatrus_Makal/Dajcie,_charei_i_jamby.html"
49,epub,/Piatrus_Makal/Dapamoha_pavinna_byc_chutkaj.epub,,,"""Дапамога павінна быць хуткай...""",/Piatrus_Makal/Dapamoha_pavinna_byc_chutkaj.html
50,epub,/Piatrus_Makal/Daciahnucca.epub,,,"""Дацягнуцца...""",/Piatrus_Makal/Daciahnucca.html
51,epub,/Piatrus_Makal/Dzviery_zacynieny.epub,,,"""Дзверы зачынены...""",/Piatrus_Makal/Dzviery_zacynieny.html
52,epub,/Piatrus_Makal/Dzie_sens_majoj_prysutnasci.epub,,,"""Дзе сэнс маёй прысутнасці...""",/Piatrus_Makal/Dzie_sens_majoj_prysutnasci.html
53,epub,"/Piatrus_Makal/Dzien_dobry,_nieba.epub",,,"""Дзень добры, неба!..""","/Piatrus_Makal/Dzien_dobry,_nieba.html"
54,epub,/Piatrus_Makal/Dobrym_ludziam.epub,,,"""Добрым людзям...""",/Piatrus_Makal/Dobrym_ludziam.html
55,epub,/Piatrus_Makal/Dusyla_hora.epub,,,"""Душыла гора...""",/Piatrus_Makal/Dusyla_hora.html
56,epub,/Piatrus_Makal/Josc_slovy.epub,,,"""Ёсць словы...""",/Piatrus_Makal/Josc_slovy.html
57,epub,/Piatrus_Makal/Z_adlehlasci_tak_jasna.epub,,,"""З адлегласці так ясна...""",/Piatrus_Makal/Z_adlehlasci_tak_jasna.html
58,epub,/Piatrus_Makal/Za_budniami_niadziela.epub,,,"""За буднямі нядзеля...""",/Piatrus_Makal/Za_budniami_niadziela.html
59,epub,/Piatrus_Makal/Za_scianoju_dziciacy_kryk.epub,,,"""За сцяною дзіцячы крык...""",/Piatrus_Makal/Za_scianoju_dziciacy_kryk.html
60,epub,/Piatrus_Makal/Za_tydzien.epub,,,"""За тыдзень...""",/Piatrus_Makal/Za_tydzien.html
61,epub,/Piatrus_Makal/Zabirajuc_nas.epub,,,"""Забіраюць нас...""",/Piatrus_Makal/Zabirajuc_nas.html
62,epub,/Piatrus_Makal/Zabiusy_boha.epub,,,"""Забіўшы бога...""",/Piatrus_Makal/Zabiusy_boha.html
63,epub,"/Piatrus_Makal/Zabyusy,_sto_takoje_zmora.epub",,,"""Забыўшы, што такое змора...""","/Piatrus_Makal/Zabyusy,_sto_takoje_zmora.html"
64,epub,/Piatrus_Makal/Zasluzana_ci_niezasluzana.epub,,,"""Заслужана ці незаслужана...""",/Piatrus_Makal/Zasluzana_ci_niezasluzana.html
65,epub,"/Piatrus_Makal/Zdajecca,_vycarpau_siabie.epub",,,"""Здаецца, вычарпаў сябе...""","/Piatrus_Makal/Zdajecca,_vycarpau_siabie.html"
66,epub,"/Piatrus_Makal/Zdajecca,_zahojeny_rany.epub",,,"""Здаецца, загоены раны...""","/Piatrus_Makal/Zdajecca,_zahojeny_rany.html"
67,epub,"/Piatrus_Makal/Ziamla,_jak_ad_suchotau,_sochla.epub",,,"""Зямля, як ад сухотаў, сохла...""","/Piatrus_Makal/Ziamla,_jak_ad_suchotau,_sochla.html"
68,epub,/Piatrus_Makal/I_aziracca.epub,,,"""І азірацца...""",/Piatrus_Makal/I_aziracca.html
69,epub,/Piatrus_Makal/I_zviary_siabrujuc.epub,,,"""І звяры сябруюць...""",/Piatrus_Makal/I_zviary_siabrujuc.html
70,epub,/Piatrus_Makal/I_raptam_snieh.epub,,,"""І раптам снег...""",/Piatrus_Makal/I_raptam_snieh.html
71,epub,/Piatrus_Makal/I_ja_kalis_laviu.epub,,,"""І я калісь лавіў...""",/Piatrus_Makal/I_ja_kalis_laviu.html
72,epub,/Piatrus_Makal/I_ja_stajau.epub,,,"""І я стаяў...""",/Piatrus_Makal/I_ja_stajau.html
73,epub,/Piatrus_Makal/Idziom_dalej.epub,,,"""Ідзём далей...""",/Piatrus_Makal/Idziom_dalej.html
74,epub,/Piatrus_Makal/Iduc_usio_adno.epub,,,"""Ідуць усё адно...""",/Piatrus_Makal/Iduc_usio_adno.html
75,epub,/Piatrus_Makal/Imklivasc_majho_ryuka.epub,,,"""Імклівасць майго рыўка...""",/Piatrus_Makal/Imklivasc_majho_ryuka.html
76,epub,"/Piatrus_Makal/Kazuc,_davoli.epub",,,"""Кажуць, даволі...""","/Piatrus_Makal/Kazuc,_davoli.html"
77,epub,/Piatrus_Makal/Kali_vada_-_pieraplyvi.epub,,,"""Калі вада - пераплыві...""",/Piatrus_Makal/Kali_vada_-_pieraplyvi.html
78,epub,/Piatrus_Makal/Kali_rasstajessia.epub,,,"""Калі расстаешся...""",/Piatrus_Makal/Kali_rasstajessia.html
79,epub,/Piatrus_Makal/Kali_sustrakajucca_dzvie_ruki.epub,,,"""Калі сустракаюцца дзве рукі...""",/Piatrus_Makal/Kali_sustrakajucca_dzvie_ruki.html
