linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,pdf,https://files.knihi.com/Knihi/svaboda.org/dulina_ad_baradulina.pdf,,,Дуліна ад Барадуліна,/Ryhor_Baradulin/Dulina_ad_Baradulina.html
2,epub,/Ryhor_Baradulin/Backu.epub,,,Бацьку,/Ryhor_Baradulin/Backu.html
3,epub,"/Ryhor_Baradulin/Boza,_paspahadaj_usim.epub",,,"Божа, паспагадай усім","/Ryhor_Baradulin/Boza,_paspahadaj_usim.html"
4,epub,/Ryhor_Baradulin/Zaspanaja_ranica_mzystaja.epub,,,Заспаная раніца мжыстая...,/Ryhor_Baradulin/Zaspanaja_ranica_mzystaja.html
5,epub,/Ryhor_Baradulin/My_-_bielarusy.epub,,,Мы - беларусы...,/Ryhor_Baradulin/My_-_bielarusy.html
6,epub,/Ryhor_Baradulin/Nierus.epub,,,Неруш,/Ryhor_Baradulin/Nierus.html
7,epub,"/Ryhor_Baradulin/Pakul_zyvies,_razvitvajsia_z_zycciom.epub",,,"Пакуль жывеш, развітвайся з жыццём...","/Ryhor_Baradulin/Pakul_zyvies,_razvitvajsia_z_zycciom.html"
8,epub,/Ryhor_Baradulin/Treba_doma_byvac_casciej.epub,,,Трэба дома бываць часцей,/Ryhor_Baradulin/Treba_doma_byvac_casciej.html
9,epub,/Ryhor_Baradulin/Uziatyja_na_smierc_pavinny_zyc.epub,,,Узятыя на смерць павінны жыць...,/Ryhor_Baradulin/Uziatyja_na_smierc_pavinny_zyc.html
10,epub,/Ryhor_Baradulin/Uciakala_zima_ad_viasny.epub,,,«Уцякала зіма ад вясны...»,/Ryhor_Baradulin/Uciakala_zima_ad_viasny.html
11,epub,/Ryhor_Baradulin/Jana_adna.epub,,,Яна адна...,/Ryhor_Baradulin/Jana_adna.html
12,mp3,https://files.knihi.com/Knihi/radio/baradulin_vajary.mp3,,,Узятыя на сьмерць павінны жыць...,/Ryhor_Baradulin/Uziatyja_na_smierc_pavinny_zyc_audio.html
13,epub,/Ryhor_Baradulin/Zdubavieccia.epub,,,Здубавецьця,/Ryhor_Baradulin/Zdubavieccia.html
