linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Vasil_Zujonak/Dala_pryroda_mnie_vadu_i_cvierdz.epub,,,«Дала прырода мне ваду і цвердзь...»,/Vasil_Zujonak/Dala_pryroda_mnie_vadu_i_cvierdz.html
2,epub,/Vasil_Zujonak/Nad_ziamloju_suhaje_vierasien.epub,,,«Над зямлёю шугае верасень...»,/Vasil_Zujonak/Nad_ziamloju_suhaje_vierasien.html
3,epub,/Vasil_Zujonak/Nie_daj_mnie_Boh.epub,,,«Не дай мне Бог...»,/Vasil_Zujonak/Nie_daj_mnie_Boh.html
4,epub,/Vasil_Zujonak/Pryjdzi_adnojcy.epub,,,«Прыйдзі аднойчы...»,/Vasil_Zujonak/Pryjdzi_adnojcy.html
5,epub,/Vasil_Zujonak/Ja_sa_slachou_dalokich.epub,,,«Я са шляхоў далёкіх...»,/Vasil_Zujonak/Ja_sa_slachou_dalokich.html
6,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Vasil_Zujonak/Vasil_Zujonak.Dala_pryroda_mnie_vadu_i_cvierdz.mp3,,,Дала прырода мне ваду і цвердзь,/Vasil_Zujonak/Dala_pryroda_mnie_vadu_i_cvierdz_audio.html
7,ogg,https://files.knihi.com/Knihi/audio-disk-kurhan/Zujonak.Drabok_nadziei_lohkaj.ogg,,,Драбок надзеі лёгкай,/Vasil_Zujonak/Drabok_nadziei_lohkaj_audio.html
8,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Vasil_Zujonak/Vasil_Zujonak.Nad_ziamleju_suhaje_vierasien.mp3,,,Над зямлёю шугае верасень,/Vasil_Zujonak/Nad_ziamloju_suhaje_vierasien_audio.html
9,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Vasil_Zujonak/Vasil_Zujonak.Nie_daj_mnie_Boh.mp3,,,Не дай мне Бог,/Vasil_Zujonak/Nie_daj_mnie_Boh_audio.html
10,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Vasil_Zujonak/Vasil_Zujonak.Pryjdzi_adnojcy.mp3,,,Прыйдзі аднойчы,/Vasil_Zujonak/Pryjdzi_adnojcy_audio.html
11,zip,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Vasil_Zujonak/Vasil_Zujonak.Sialiba.zip,,,Сяліба,/Vasil_Zujonak/Sialiba_audio_zip.html
12,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Vasil_Zujonak/Vasil_Zujonak.Ja_sa_slachou_dalokich.mp3,,,Я са шляхоў далёкіх,/Vasil_Zujonak/Ja_sa_slachou_dalokich_audio.html
13,djvu,https://files.knihi.com/Knihi/scanned/Zujonak.Leta_tryvoznych_dazdzou.djvu,,,Лета трывожных дажджоў,/Vasil_Zujonak/Leta_tryvoznych_dazdzou.html
14,djvu,https://files.knihi.com/Knihi/scanned/Zujonak.Maucannie_travy.djvu,,,Маўчанне травы,/Vasil_Zujonak/Maucannie_travy.html
15,djvu,https://files.knihi.com/Knihi/scanned/Zujonak.Cornaja_lesvica.djvu,,,Чорная лесвіца,/Vasil_Zujonak/Cornaja_lesvica.html
