linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Janka_Sipakou/Viecier_na_dachu_vahona.epub,,,Вецер на даху вагона,/Janka_Sipakou/Viecier_na_dachu_vahona.html
2,epub,/Janka_Sipakou/Dazdzom.epub,,,Дажджом,/Janka_Sipakou/Dazdzom.html
3,epub,/Janka_Sipakou/Zubrevickaja_saha.epub,,,Зубрэвіцкая сага,/Janka_Sipakou/Zubrevickaja_saha.html
4,epub,/Janka_Sipakou/Pamorak.epub,,,Паморак,/Janka_Sipakou/Pamorak.html
5,epub,/Janka_Sipakou/Pacakalnia_u_dozdz.epub,,,Пачакальня ў дождж,/Janka_Sipakou/Pacakalnia_u_dozdz.html
6,epub,/Janka_Sipakou/Ptuski.epub,,,Птушкі,/Janka_Sipakou/Ptuski.html
7,epub,/Janka_Sipakou/Rusalka.epub,,,Русалка,/Janka_Sipakou/Rusalka.html
8,epub,/Janka_Sipakou/Sady.epub,,,Сады,/Janka_Sipakou/Sady.html
9,epub,/Janka_Sipakou/Slaza_Pieruna.epub,,,Сляза Перуна,/Janka_Sipakou/Slaza_Pieruna.html
10,epub,/Janka_Sipakou/Chutkija_nohi.epub,,,Хуткія ногі,/Janka_Sipakou/Chutkija_nohi.html
11,epub,/Janka_Sipakou/Adam_i_Maryla.epub,,,Адам і Марыля,/Janka_Sipakou/Adam_i_Maryla.html
12,epub,/Janka_Sipakou/Sciezkaju_Zubrevicy-Lauki.epub,,,Сцежкаю Зубрэвічы-Ляўкі,/Janka_Sipakou/Sciezkaju_Zubrevicy-Lauki.html
13,epub,/Janka_Sipakou/Toje_leta.epub,,,Тое лета,/Janka_Sipakou/Toje_leta.html
14,epub,/Janka_Sipakou/Kantrabanda.epub,,,Кантрабанда,/Janka_Sipakou/Kantrabanda.html
15,epub,/Janka_Sipakou/Spiac_u_snaradach.epub,,,«Спяць у снарадах...»,/Janka_Sipakou/Spiac_u_snaradach.html
16,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Arystant.mp3,,,Балады. Арыштант,/Janka_Sipakou/Balady_Arystant_audio.html
17,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Bazary.mp3,,,Балады. Базары,/Janka_Sipakou/Balady_Bazary_audio.html
18,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Viazien.mp3,,,Балады. Вязень,/Janka_Sipakou/Balady_Viazien_audio.html
19,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Hrunvald.mp3,,,Балады. Грунвальд,/Janka_Sipakou/Balady_Hrunvald_audio.html
20,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Jes.mp3,,,Балады. Еш,/Janka_Sipakou/Balady_Jes_audio.html
21,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Miacyk.mp3,,,Балады. Мячык,/Janka_Sipakou/Balady_Miacyk_audio.html
22,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Siauba.mp3,,,Балады. Сяўба,/Janka_Sipakou/Balady_Siauba_audio.html
23,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Urok.mp3,,,Балады. Урок,/Janka_Sipakou/Balady_Urok_audio.html
24,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Chleb.mp3,,,Балады. Хлеб,/Janka_Sipakou/Balady_Chleb_audio.html
25,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Balady.Scascie.mp3,,,Балады. Шчасце,/Janka_Sipakou/Balady_Scascie_audio.html
26,ogg,https://files.knihi.com/Knihi/audio-disk-kurhan/Sipakou.Zancyna.ogg,,,Жанчына,/Janka_Sipakou/Zancyna_audio.html
27,zip,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou.Kulak.zip,,,Кулак,/Janka_Sipakou/Kulak_audio_zip.html
28,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Janka_Sipakou/Janka_Sipakou.Odzium.mp3,,,Одзіум,/Janka_Sipakou/Odzium_audio.html
29,epub,/Janka_Sipakou/A_zbudzionnic_palaniennie.epub,,,"""А збудзённіць паланенне...""",/Janka_Sipakou/A_zbudzionnic_palaniennie.html
30,epub,"/Janka_Sipakou/A_ziamla,_vidac,_tamu_i_kruhlaja.epub",,,"""А зямля, відаць, таму і круглая...""","/Janka_Sipakou/A_ziamla,_vidac,_tamu_i_kruhlaja.html"
31,epub,"/Janka_Sipakou/A_my_z_taboj,_by_u_raj,_u_hetki.epub",,,"""А мы з табой, бы ў рай, у гэткі...""","/Janka_Sipakou/A_my_z_taboj,_by_u_raj,_u_hetki.html"
32,epub,/Janka_Sipakou/A_satana_-_ludziej_i_Boha_vorah.epub,,,"""А сатана — людзей і Бога вораг...""",/Janka_Sipakou/A_satana_-_ludziej_i_Boha_vorah.html
33,epub,/Janka_Sipakou/A_spacatku.epub,,,"""А спачатку...""",/Janka_Sipakou/A_spacatku.html
34,epub,"/Janka_Sipakou/A_casam,_jak_drevu,_chocacca.epub",,,"""А часам, як дрэву, хочацца...""","/Janka_Sipakou/A_casam,_jak_drevu,_chocacca.html"
35,epub,"/Janka_Sipakou/A_jak_za,_ci_cujecie,_drevam.epub",,,"""А як жа, ці чуеце, дрэвам...""","/Janka_Sipakou/A_jak_za,_ci_cujecie,_drevam.html"
36,epub,"/Janka_Sipakou/Abnaulennia,_chlopcy,_abnaulennia.epub",,,"""Абнаўлення, хлопцы, абнаўлення...""","/Janka_Sipakou/Abnaulennia,_chlopcy,_abnaulennia.html"
37,epub,/Janka_Sipakou/Adhuknisia.epub,,,"""Адгукніся...""",/Janka_Sipakou/Adhuknisia.html
38,epub,/Janka_Sipakou/Adzin_adnoha_kryudzim_poradz.epub,,,"""Адзін аднога крыўдзім порадзь...""",/Janka_Sipakou/Adzin_adnoha_kryudzim_poradz.html
39,epub,/Janka_Sipakou/Adkul_ja_pomniu_hetaki_malunak.epub,,,"""Адкуль я помню гэтакі малюнак?..""",/Janka_Sipakou/Adkul_ja_pomniu_hetaki_malunak.html
40,epub,/Janka_Sipakou/Az_prahinajecca_bieton.epub,,,"""Аж прагінаецца бетон...""",/Janka_Sipakou/Az_prahinajecca_bieton.html
41,epub,/Janka_Sipakou/Aposni_hod_svoj_drevy_adcuvajuc.epub,,,"""Апошні год свой дрэвы адчуваюць...""",/Janka_Sipakou/Aposni_hod_svoj_drevy_adcuvajuc.html
42,epub,/Janka_Sipakou/Asviecvaje_spakusna_zmrok_nacej.epub,,,"""Асвечвае спакусна змрок начэй...""",/Janka_Sipakou/Asviecvaje_spakusna_zmrok_nacej.html
43,epub,"/Janka_Sipakou/Ach,_mily_kon,_ach,_mily_kosiu.epub",,,"""Ах, мілы конь, ах, мілы косю...""","/Janka_Sipakou/Ach,_mily_kon,_ach,_mily_kosiu.html"
