linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Nina_Macias/Amo_te.epub,,,Amo te,/Nina_Macias/Amo_te.html
2,epub,"/Nina_Macias/I_pryjdzie_noc,_i_noc_minie.epub",,,"I прыйдзе ноч, і ноч міне...","/Nina_Macias/I_pryjdzie_noc,_i_noc_minie.html"
3,epub,/Nina_Macias/Adna.epub,,,Адна...,/Nina_Macias/Adna.html
4,epub,/Nina_Macias/Samo.epub,,,Само,/Nina_Macias/Samo.html
5,epub,/Nina_Macias/Jascarka.epub,,,Яшчарка,/Nina_Macias/Jascarka.html
6,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Nina_Macias.Vita_brevis.mp3,,,Віта брэвіс,/Nina_Macias/Vita_brevis_authoraudio.html
7,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Nina_Macias.I_hety_viecar.mp3,,,І гэты вечар,/Nina_Macias/I_hety_viecar_authoraudio.html
8,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Nina_Macias.I_dziela_ciabie.mp3,,,І дзеля цябе,/Nina_Macias/I_dziela_ciabie_authoraudio.html
9,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Nina_Macias.Nie_spaznisia.mp3,,,Не спазніся,/Nina_Macias/Nie_spaznisia_authoraudio.html
10,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Nina_Macias.Niedzie_uzvazvajecca_nas_uniosak.mp3,,,Недзе ўзважваецца наш унёсак,/Nina_Macias/Niedzie_uzvazvajecca_nas_uniosak_authoraudio.html
11,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Nina_Macias.Paniankavala_za_svoj_viek_niamala.mp3,,,Панянькавала за свой век нямала,/Nina_Macias/Paniankavala_za_svoj_viek_niamala_authoraudio.html
12,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Nina_Macias.Piesnia_u_ciarnouniku.mp3,,,Песня ў цярноўніку,/Nina_Macias/Piesnia_u_ciarnouniku_authoraudio.html
13,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Nina_Macias.Piaty_siezon.mp3,,,Пяты сезон,/Nina_Macias/Piaty_siezon_authoraudio.html
14,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Nina_Macias.Slova_majo.mp3,,,Слова маё,/Nina_Macias/Slova_majo_authoraudio.html
15,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Nina_Macias.U_vierasniovym_poli.mp3,,,У вераснёвым полі,/Nina_Macias/U_vierasniovym_poli_authoraudio.html
