linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Uladzimir_Niaklajeu.Zaplakac_mnie_pa_toj_viasnie.mp3,,,Заплакаць мне па той вясне,/Uladzimir_Niaklajeu/Zaplakac_mnie_pa_toj_viasnie_authoraudio.html
2,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Uladzimir_Niaklajeu.Malitvy_klatvy_spoviedzi.mp3,,,Малітвы клятвы споведзі,/Uladzimir_Niaklajeu/Malitvy_klatvy_spoviedzi_authoraudio.html
3,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Uladzimir_Niaklajeu.Mauklivy_mitynh.mp3,,,Маўклівы мітынг,/Uladzimir_Niaklajeu/Mauklivy_mitynh_authoraudio.html
4,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Uladzimir_Niaklajeu.Na_radasc.mp3,,,На радасць,/Uladzimir_Niaklajeu/Na_radasc_authoraudio.html
5,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Uladzimir_Niaklajeu.Pravodzila_z_domu.mp3,,,Праводзіла з дому,/Uladzimir_Niaklajeu/Pravodzila_z_domu_authoraudio.html
6,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Uladzimir_Niaklajeu.Prybiehla_z_marozu.mp3,,,Прыбегла з марозу,/Uladzimir_Niaklajeu/Prybiehla_z_marozu_authoraudio.html
7,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Uladzimir_Niaklajeu.Skoncylasia_leta_nie_sumuj.mp3,,,Скончылася лета не сумуй,/Uladzimir_Niaklajeu/Skoncylasia_leta_nie_sumuj_authoraudio.html
8,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Uladzimir_Niaklajeu.Slovy_zamovy.mp3,,,Словы замовы,/Uladzimir_Niaklajeu/Slovy_zamovy_authoraudio.html
9,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Uladzimir_Niaklajeu.Strumienicca_pa_zylach_chaladok.mp3,,,Струменіцца па жылах халадок,/Uladzimir_Niaklajeu/Strumienicca_pa_zylach_chaladok_authoraudio.html
10,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Uladzimir_Niaklajeu.Sto_zatuzyli_voi_muzcyny.mp3,,,Што затужылі воі мужчыны,/Uladzimir_Niaklajeu/Sto_zatuzyli_voi_muzcyny_authoraudio.html
11,djvu,https://files.knihi.com/Knihi/scanned-n/Niaklajeu_Uladzimir.Halubinaja_posta.djvu,,,Галубіная пошта,/Uladzimir_Niaklajeu/Halubinaja_posta.html
