linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,djvu,https://files.knihi.com/Knihi/scanned-n/Baravikova_Raisa.Kvatarantka.djvu,,,Кватарантка,/Raisa_Baravikova/Kvatarantka_scan.html
2,djvu,https://files.knihi.com/Knihi/scanned/Baravikova.Barbara_Radzivil.djvu,,,Барбара Радзівіл,/Raisa_Baravikova/Barbara_Radzivil.html
3,epub,/Raisa_Baravikova/Vasmiradkouji_aposnich_pacalunkau.epub,,,Васьмірадкоўі апошніх пацалункаў,/Raisa_Baravikova/Vasmiradkouji_aposnich_pacalunkau.html
4,epub,/Raisa_Baravikova/Kazau_mudrec_jano_-_i_narakannie.epub,,,Казаў мудрэц: яно - і нараканне...,/Raisa_Baravikova/Kazau_mudrec_jano_-_i_narakannie.html
5,epub,/Raisa_Baravikova/Ja_-_dziaucynka_na_sary.epub,,,Я - дзяўчынка на шары,/Raisa_Baravikova/Ja_-_dziaucynka_na_sary.html
6,djvu,https://files.knihi.com/Knihi/scanned/Baravikova.Dreva_dla_rajskaj_ptuski.djvu,,,Дрэва для райскай птушкі : лірыка,/Raisa_Baravikova/Dreva_dla_rajskaj_ptuski_liryka.html
7,djvu,https://files.knihi.com/Knihi/scanned/Baravikova.Kazki_astranaita.djvu,,,Казкі астранаўта,/Raisa_Baravikova/Kazki_astranauta.html
8,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.A_dzien_na_sad_sviatlom_praljecca.mp3,,,А дзень на сад святлом прал'ецца,/Raisa_Baravikova/A_dzien_na_sad_sviatlom_praljecca_audio.html
9,mp3,https://files.knihi.com/Knihi/audio-staroeradio.ru/Baravikova_Raisa.Apoviesc_pra_mizplanietnaha_pazarnika.mp3,,,Аповесць пра міжпланетнага пажарніка,/Raisa_Baravikova/Apoviesc_pra_mizplanietnaha_pazarnika_audio.html
10,zip,https://files.knihi.com/Knihi/mininfarm/Skolnikam/6_klas/Raisa_Baravikova.Apoviesc_catyroch_padarozzau.zip,,,Аповесць чатырох падарожжаў,/Raisa_Baravikova/Apoviesc_catyroch_padarozzau_audio_zip.html
11,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.Byvala_u_cichaje_nacy.mp3,,,Бывала ў ціхае начы,/Raisa_Baravikova/Byvala_u_cichaje_nacy_audio.html
12,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.Biazmieznasc_zyvie_u_sniehapadach.mp3,,,Бязмежнасць жыве ў снегападах,/Raisa_Baravikova/Biazmieznasc_zyvie_u_sniehapadach_audio.html
13,zip,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova.Vasmiradkouji.zip,,,Васьмірадкоў'і,/Raisa_Baravikova/Vasmiradkouji_audio_zip.html
14,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.Viera.mp3,,,Вера,/Raisa_Baravikova/Viera_audio.html
15,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.Viecar.mp3,,,Вечар,/Raisa_Baravikova/Viecar_audio.html
16,mp3.zip,https://files.knihi.com/Knihi/radiokultura/dnk/Raisa_Baravikova.Haliencyny_Ja_albo_Planieta_Cikaunych_Chlopcykau.mp3.zip,,,"Галенчыны 'Я', альбо Планета Цікаўных Хлопчыкаў","/Raisa_Baravikova/Halencyny_Ja,_albo_Planieta_Cikaunych_Chlopcykau_mp3.zip.html"
17,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.Holas_moj_nie_dryzy.mp3,,,"Голас мой, не дрыжы","/Raisa_Baravikova/Holas_moj,_nie_dryzy_audio.html"
18,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.Hetaj_nacy_niespakojnaja_nazva.mp3,,,Гэтай начы неспакойная назва,/Raisa_Baravikova/Hetaj_nacy_niespakojnaja_nazva_audio.html
19,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.Dauniaja_mielodyja.mp3,,,Даўняя мелодыя,/Raisa_Baravikova/Dauniaja_mielodyja_audio.html
20,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.Dzvie_hadziny_navahodniaj_nocy.mp3,,,Дзве гадзіны навагодняй ночы,/Raisa_Baravikova/Dzvie_hadziny_navahodniaj_nocy_audio.html
21,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.Dziuliusia.mp3,,,Дзіўлюся,/Raisa_Baravikova/Dziulusia_audio.html
22,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.Za_prycichlymi_dvarami.mp3,,,За прыціхлымі дварамі,/Raisa_Baravikova/Za_prycichlymi_dvarami_audio.html
23,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.Zdziuliajemsia_zahadcy_Baalbieka.mp3,,,Здзіўляемся загадчы Баальбека,/Raisa_Baravikova/Zdziulajemsia_zahadcy_Baalbieka_audio.html
24,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.Zimovy_viecar.mp3,,,Зімовы вечар,/Raisa_Baravikova/Zimovy_viecar_audio.html
25,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Raisa_Baravikova/Raisa_Baravikova.Liedz_tolki_promien_zvavy_hlianuu.mp3,,,Ледзь толькі промень жвавы глянуў,/Raisa_Baravikova/Ledz_tolki_promien_zvavy_hlanuu_audio.html
