linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Ales_Razanau/Hlina_Kamien_Zaleza.epub,,,Гліна. Камень. Жалеза,/Ales_Razanau/Hlina_Kamien_Zaleza.html
2,epub,/Ales_Razanau/Punkciry.epub,,,Пункціры,/Ales_Razanau/Punkciry.html
3,epub,/Ales_Razanau/U_parku.epub,,,«У парку...»,/Ales_Razanau/U_parku.html
4,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Adliha.mp3,,,Адліга,/Ales_Razanau/Adliha_audio.html
5,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Vandrouny_horad.mp3,,,Вандроўны горад,/Ales_Razanau/Vandrouny_horad_audio.html
6,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Vosien.mp3,,,Восень,/Ales_Razanau/Vosien_audio.html
7,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Holas.mp3,,,Голас,/Ales_Razanau/Holas_audio.html
8,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Horad.mp3,,,Горад,/Ales_Razanau/Horad_audio.html
9,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Daroznyja_znaki.mp3,,,Дарожныя знакі,/Ales_Razanau/Daroznyja_znaki_audio.html
10,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Malanka.mp3,,,Маланка,/Ales_Razanau/Malanka_audio.html
11,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Palot.mp3,,,Палёт,/Ales_Razanau/Palot_audio.html
12,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Paroh.mp3,,,Парог,/Ales_Razanau/Paroh_audio.html
13,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Radzima.mp3,,,Радзіма,/Ales_Razanau/Radzima_audio.html
14,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Stary_horad.mp3,,,Стары горад,/Ales_Razanau/Stary_horad_audio.html
15,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Schovy.mp3,,,Сховы,/Ales_Razanau/Schovy_audio.html
16,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Uzvyssa.mp3,,,Узвышша,/Ales_Razanau/Uzvyssa_audio.html
17,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Seran.mp3,,,Шэрань,/Ales_Razanau/Seran_audio.html
18,mp3,https://files.knihi.com/Knihi/mininfarm/Sucasnaja_proza/Ales_Razanau/Ales_Razanau.Yany.mp3,,,Яны,/Ales_Razanau/Jany_audio.html
19,djvu,https://files.knihi.com/Knihi/scanned/Razanau.Strala.djvu,,,"Вастрыё стралы : версэты, паэтычныя мініяцюры","/Ales_Razanau/Vastryjo_straly_viersety,_paetycnyja_minijaciury.html"
20,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Aryst_Kastusia_Kalinouskaha.mp3,,,Арышт Кастуся Каліноўскага,/Ales_Razanau/Aryst_Kastusia_Kalinouskaha_authoraudio.html
21,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Biazmiezza.mp3,,,Бязмежжа,/Ales_Razanau/Biazmiezza_authoraudio.html
22,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Vosien.mp3,,,Восень,/Ales_Razanau/Vosien_authoraudio.html
23,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Holas.mp3,,,Голас,/Ales_Razanau/Holas_authoraudio.html
24,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Drevy.mp3,,,Дрэвы,/Ales_Razanau/Drevy_authoraudio.html
25,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Zapaviet.mp3,,,Запавет,/Ales_Razanau/Zapaviet_authoraudio.html
26,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Malanka.mp3,,,Маланка,/Ales_Razanau/Malanka_authoraudio.html
27,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Mova.mp3,,,Мова,/Ales_Razanau/Mova_authoraudio.html
28,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Na_hetaj_ziamli.mp3,,,На гэтай зямлі,/Ales_Razanau/Na_hetaj_ziamli_authoraudio.html
29,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Padarunak_chrosnaj_maci.mp3,,,Падарунак хроснай маці,/Ales_Razanau/Padarunak_chrosnaj_maci_authoraudio.html
30,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Ales_Razanau.Palot.mp3,,,Палёт,/Ales_Razanau/Palot_authoraudio.html
