linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
261_0001,epub,/Jauhienija_Janiscyc/Akno_u_dozdz.epub,,,Акно ў дождж,/Jauhienija_Janiscyc/Akno_u_dozdz.html
261_0002,epub,/Jauhienija_Janiscyc/Zornaja_paema.epub,,,Зорная паэма,/Jauhienija_Janiscyc/Zornaja_paema.html
261_0003,epub,/Jauhienija_Janiscyc/Zornaja_paema_2008.epub,,,Зорная паэма,/Jauhienija_Janiscyc/Zornaja_paema_2008.html
261_0004,epub,"/Jauhienija_Janiscyc/Pacynajecca_usio_z_lubvi_Viersy,_paemy.epub",,,"Пачынаецца ўсё з любві... Вершы, паэмы","/Jauhienija_Janiscyc/Pacynajecca_usio_z_lubvi_Viersy,_paemy.html"
261_0005,epub,/Jauhienija_Janiscyc/Jahadny_chutar.epub,,,Ягадны хутар,/Jauhienija_Janiscyc/Jahadny_chutar.html
261_0006,epub,/Jauhienija_Janiscyc/Kalina_zimy_Viersy.epub,,,Каліна зімы. Вершы,/Jauhienija_Janiscyc/Kalina_zimy_Viersy.html
261_0007,epub,/Jauhienija_Janiscyc/Lubou_maja.epub,,,Любоў мая...,/Jauhienija_Janiscyc/Lubou_maja.html
261_0008,epub,/Jauhienija_Janiscyc/Mova.epub,,,Мова,/Jauhienija_Janiscyc/Mova.html
261_0009,epub,"/Jauhienija_Janiscyc/Nie_voblaka,_a_prosta_ablacynka.epub",,,"Не воблака, а проста аблачынка...","/Jauhienija_Janiscyc/Nie_voblaka,_a_prosta_ablacynka.html"
261_0010,epub,/Jauhienija_Janiscyc/Para_lubovi_i_zalu.epub,,,Пара любові і жалю,/Jauhienija_Janiscyc/Para_lubovi_i_zalu.html
261_0011,epub,"/Jauhienija_Janiscyc/Pomniu,_pomniu_praz_hady.epub",,,"Помню, помню праз гады...","/Jauhienija_Janiscyc/Pomniu,_pomniu_praz_hady.html"
261_0012,epub,/Jauhienija_Janiscyc/Pryjedz_u_kraj_moj_cichi.epub,,,«Прыедзь у край мой ціхі...»,/Jauhienija_Janiscyc/Pryjedz_u_kraj_moj_cichi.html
261_0013,epub,/Jauhienija_Janiscyc/Pryznannie_vacami.epub,,,Прызнанне вачамі,/Jauhienija_Janiscyc/Pryznannie_vacami.html
261_0014,epub,"/Jauhienija_Janiscyc/Ci_uspomnicca,_ci_uspomnicca.epub",,,"«Ці ўспомніцца, ці ўспомніцца...»","/Jauhienija_Janiscyc/Ci_uspomnicca,_ci_uspomnicca.html"
261_0015,epub,/Jauhienija_Janiscyc/Camu_nikoli_nie_bajusia_ja.epub,,,Чаму ніколі не баюся я...,/Jauhienija_Janiscyc/Camu_nikoli_nie_bajusia_ja.html
261_0016,djvu,https://files.knihi.com/Knihi/scanned/Janiscyc.Kalina_zimy.djvu,,,Каліна зімы : кніга лірыкi,/Jauhienija_Janiscyc/Kalina_zimy_kniha_liryki.html
261_0017,djvu,https://files.knihi.com/Knihi/scanned/Janiscyc.Pacynajecca_usio_z_lubvi.djvu,,,"Пачынаецца ўсё з любві... : вершы, паэмы","/Jauhienija_Janiscyc/Pacynajecca_usio_z_lubvi_viersy,_paemy_scan.html"
261_0018,djvu,https://files.knihi.com/Knihi/scanned-n2/Janiscyc_Jauhienija.Dzien_viecarovy.djvu,,,Дзень вечаровы,/Jauhienija_Janiscyc/Dzien_viecarovy.html
261_0019,djvu,https://files.knihi.com/Knihi/scanned-n2/Janiscyc_Jauhienija.Kalina_zimy.djvu,,,Каліна зімы,/Jauhienija_Janiscyc/Kalina_zimy.html
261_0020,djvu,https://files.knihi.com/Knihi/scanned-n2/Janiscyc_Jauhienija.Na_bierazie_placa.djvu,,,На беразе пляча,/Jauhienija_Janiscyc/Na_bierazie_placa.html
261_0021,djvu,https://files.knihi.com/Knihi/scanned-n/Janiscyc_Jauhienija.Para_lubovi_i_zalu.djvu,,,Пара любові і жалю,/Jauhienija_Janiscyc/Para_lubovi_i_zalu_scan.html
