linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Aleh_Minkin.Vadzianik.mp3,,,Вадзянік,/Aleh_Minkin/Vadzianik_authoraudio.html
2,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Aleh_Minkin.Viecny_vyraj.mp3,,,Вечны вырай,/Aleh_Minkin/Viecny_vyraj_authoraudio.html
3,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Aleh_Minkin.Hronki_kaliny.mp3,,,Гронкі каліны,/Aleh_Minkin/Hronki_kaliny_authoraudio.html
4,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Aleh_Minkin.Duda.mp3,,,Дуда,/Aleh_Minkin/Duda_authoraudio.html
5,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Aleh_Minkin.Znianacku.mp3,,,Знянацку,/Aleh_Minkin/Znianacku_authoraudio.html
6,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Aleh_Minkin.Pieramoha.mp3,,,Перамога,/Aleh_Minkin/Pieramoha_authoraudio.html
7,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Aleh_Minkin.Puhac.mp3,,,Пугач,/Aleh_Minkin/Puhac_authoraudio.html
8,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Aleh_Minkin.Samotny._Alesiu_Bialackamu.mp3,,,Самотны. Алесю Бяляцкаму,/Aleh_Minkin/Samotny_Alesiu_Bialackamu_authoraudio.html
9,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Aleh_Minkin.Skupoje_sonca.mp3,,,Скупое сонца,/Aleh_Minkin/Skupoje_sonca_authoraudio.html
10,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Aleh_Minkin.Chochlik.mp3,,,Хохлік,/Aleh_Minkin/Chochlik_authoraudio.html
11,djvu,https://files.knihi.com/Knihi/scanned-n/Minkin_Aleh.Surma.djvu,,,Сурма,/Aleh_Minkin/Surma.html
12,pdf,https://files.knihi.com/Knihi/Slounik/uploaded05/Aleh_Minkin.Slounicak_rasiejska_bielaruskich_adpaviednikau.pdf,,,Слоўнічак расейска-беларускіх адпаведнікаў,/Aleh_Minkin/Slounicak_rasiejska-bielaruskich_adpaviednikau.html
13,epub,/Dzordz_Oruel/Fierma.epub,Джордж Оруэл,/Dzordz_Oruel/,Ферма,/Dzordz_Oruel/Fierma.html
14,epub,/Edhar_Alan_Po/Krumkac.epub,Эдгар Алан По,/Edhar_Alan_Po/,Крумкач,/Edhar_Alan_Po/Krumkac.html
15,epub,/Edhar_Alan_Po/Ulalum.epub,Эдгар Алан По,/Edhar_Alan_Po/,Улялюм,/Edhar_Alan_Po/Ulalum.html
16,djvu,https://files.knihi.com/Knihi/scanned-n/Staf_Leapold.Vysokija_drevy.djvu,Леапольд Стаф,/Leapold_Staf/,Высокія дрэвы,/Leapold_Staf/Vysokija_drevy.html
17,epub,/Ales_Arkus/Nastaunik.epub,Алесь Аркуш,/Ales_Arkus/,Настаўнік,/Ales_Arkus/Nastaunik.html
