linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,djvu,https://files.knihi.com/Knihi/scanned-n/Marcinovic_Pavel.Pradviesnie.djvu,,,Прадвесне,/Paviel_Marcinovic/Pradviesnie.html
2,djvu,https://files.knihi.com/Knihi/scanned-n/Marcinovic_Pavel.Cas_burstynu.djvu,,,Час бурштыну,/Paviel_Marcinovic/Cas_burstynu.html
3,epub,/Sachiba_Abdulajeva/Panavannie_zancyn.epub,Сахіба Абдулаева,/Sachiba_Abdulajeva/,Панаванне жанчын,/Sachiba_Abdulajeva/Panavannie_zancyn.html
4,epub,/Banhuolis_Balasavicus/Znajomy_saldat.epub,Бангуоліс Балашавічус,/Banhuolis_Balasavicus/,Знаёмы салдат,/Banhuolis_Balasavicus/Znajomy_saldat.html
5,epub,/Vasil_Bierazny/Matcyn_holas.epub,Васіль Беражны,/Vasil_Bierazny/,Матчын голас,/Vasil_Bierazny/Matcyn_holas.html
6,epub,/Vasil_Halavacou/Volat_na_darozie.epub,Васіль Галавачоў,/Vasil_Halavacou/,Волат на дарозе,/Vasil_Halavacou/Volat_na_darozie.html
7,epub,/Andrej_Dzmitruk/Noc_maladzika.epub,Андрэй Дзмітрук,/Andrej_Dzmitruk/,Ноч маладзіка,/Andrej_Dzmitruk/Noc_maladzika.html
8,epub,/Ahata_Krysci/Niabozcykava_lustra.epub,Агата Крысьці,/Ahata_Krysci/,Нябожчыкава люстра,/Ahata_Krysci/Niabozcykava_lustra.html
9,epub,/Tachir_Malik/Falak.epub,Тахір Малік,/Tachir_Malik/,Фалак,/Tachir_Malik/Falak.html
10,epub,/Ernest_Cheminhuej/Stary_calaviek_i_mora.epub,Эрнэст Хэмінгуэй,/Ernest_Cheminhuej/,Стары чалавек і мора,/Ernest_Cheminhuej/Stary_calaviek_i_mora.html
