linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Janka_Kupala/Paulinka.epub,,,Паўлінка,/Janka_Kupala/Paulinka.html
2,epub,/Janka_Kupala/Paulinka_9t.epub,,,Паўлінка,/Janka_Kupala/Paulinka_9t.html
3,epub,/Janka_Kupala/Prymaki_9t.epub,,,Прымакі,/Janka_Kupala/Prymaki_9t.html
4,epub,/Janka_Kupala/Raskidanaje_hniazdo.epub,,,Раскіданае гняздо,/Janka_Kupala/Raskidanaje_hniazdo.html
5,epub,/Janka_Kupala/Raskidanaje_hniazdo_9t.epub,,,Раскіданае гняздо,/Janka_Kupala/Raskidanaje_hniazdo_9t.html
6,epub,/Janka_Kupala/Tutejsyja.epub,,,Тутэйшыя,/Janka_Kupala/Tutejsyja.html
7,epub,/Janka_Kupala/Tutejsyja_9t.epub,,,Тутэйшыя,/Janka_Kupala/Tutejsyja_9t.html
8,epub,/Janka_Kupala/Adviecnaja_piesnia_9t.epub,,,Адвечная песня,/Janka_Kupala/Adviecnaja_piesnia_9t.html
9,epub,/Janka_Kupala/Adplata_kachannia_9t.epub,,,Адплата кахання,/Janka_Kupala/Adplata_kachannia_9t.html
10,epub,/Janka_Kupala/Bandarouna_9t.epub,,,Бандароўна,/Janka_Kupala/Bandarouna_9t.html
11,epub,/Janka_Kupala/Barysau_9t.epub,,,Барысаў,/Janka_Kupala/Barysau_9t.html
12,epub,/Janka_Kupala/Bieznazounaje_9t.epub,,,Безназоўнае,/Janka_Kupala/Bieznazounaje_9t.html
13,epub,/Janka_Kupala/Haryslava_9t.epub,,,Гарыслава,/Janka_Kupala/Haryslava_9t.html
14,epub,/Janka_Kupala/Z_uhodkavych_nastrojau_9t.epub,,,З угодкавых настрояў,/Janka_Kupala/Z_uhodkavych_nastrojau_9t.html
15,epub,"/Janka_Kupala/Za_sto_Oj,_maje_vy_piesni_9t.epub",,,"За што (""Ой, мае вы песні..."")","/Janka_Kupala/Za_sto_Oj,_maje_vy_piesni_9t.html"
16,epub,/Janka_Kupala/Zimoju_9t.epub,,,Зімою,/Janka_Kupala/Zimoju_9t.html
17,epub,/Janka_Kupala/Kaleka_9t.epub,,,Калека,/Janka_Kupala/Kaleka_9t.html
18,epub,/Janka_Kupala/Kurhan_9t.epub,,,Курган,/Janka_Kupala/Kurhan_9t.html
19,epub,/Janka_Kupala/Mahila_lva_9t.epub,,,Магіла льва,/Janka_Kupala/Mahila_lva_9t.html
20,epub,/Janka_Kupala/Na_Dziady_9t.epub,,,На Дзяды,/Janka_Kupala/Na_Dziady_9t.html
21,epub,/Janka_Kupala/Na_kucciu_9t.epub,,,На куццю,/Janka_Kupala/Na_kucciu_9t.html
22,epub,/Janka_Kupala/Na_papasie_9t.epub,,,На папасе,/Janka_Kupala/Na_papasie_9t.html
23,epub,/Janka_Kupala/Nad_rakoj_Aresaj_9t.epub,,,Над ракой Арэсай,/Janka_Kupala/Nad_rakoj_Aresaj_9t.html
24,epub,/Janka_Kupala/Nikomu_9t.epub,,,Нікому,/Janka_Kupala/Nikomu_9t.html
25,epub,/Janka_Kupala/Son_na_kurhanie_9t.epub,,,Сон на кургане,/Janka_Kupala/Son_na_kurhanie_9t.html
26,epub,/Janka_Kupala/Tarasova_dola_9t.epub,,,Тарасова доля,/Janka_Kupala/Tarasova_dola_9t.html
27,epub,/Janka_Kupala/U_Pilipauku_9t.epub,,,У Піліпаўку,/Janka_Kupala/U_Pilipauku_9t.html
28,epub,/Janka_Kupala/Uryvak_z_dramatycnaj_paemy_9t.epub,,,Урывак з драматычнай паэмы,/Janka_Kupala/Uryvak_z_dramatycnaj_paemy_9t.html
29,epub,/Janka_Kupala/Uryvak_z_paemy_Dzie_chmary_cezli_9t.epub,,,"Урывак з паэмы (""Дзе хмары чэзлі..."")",/Janka_Kupala/Uryvak_z_paemy_Dzie_chmary_cezli_9t.html
30,epub,/Janka_Kupala/Ustup_da_paemy_9t.epub,,,Уступ да паэмы,/Janka_Kupala/Ustup_da_paemy_9t.html
31,epub,/Janka_Kupala/Jana_i_ja_9t.epub,,,Яна і я,/Janka_Kupala/Jana_i_ja_9t.html
32,epub,/Janka_Kupala/Bielarus_pol.epub,,,Беларус,/Janka_Kupala/Bielarus_pol.html
33,epub,"/Janka_Kupala/Hej,_u_sviet.epub",,,"Гэй, у свет!..","/Janka_Kupala/Hej,_u_sviet.html"
34,epub,/Janka_Kupala/Ziamla.epub,,,Зямля,/Janka_Kupala/Ziamla.html
35,epub,/Janka_Kupala/Nie_dla_vas.epub,,,Не для вас...,/Janka_Kupala/Nie_dla_vas.html
36,epub,/Janka_Kupala/Pakincie_dumac_ab_slaunym_minulym.epub,,,«Пакіньце думаць аб слаўным мінулым...»,/Janka_Kupala/Pakincie_dumac_ab_slaunym_minulym.html
37,epub,/Janka_Kupala/Svaje_zamknuusy_u_marach_paryvanni.epub,,,«Свае замкнуўшы ў марах парыванні...»,/Janka_Kupala/Svaje_zamknuusy_u_marach_paryvanni.html
38,epub,/Janka_Kupala/U_zmroku.epub,,,У змроку,/Janka_Kupala/U_zmroku.html
39,epub,/Janka_Kupala/O_tak_Ja_-_praletar.epub,,,"""...О так! Я — пралетар!..""",/Janka_Kupala/O_tak_Ja_-_praletar.html
40,epub,/Janka_Kupala/Arlinyja_krylli.epub,,,"""Арліныя крыллі...""",/Janka_Kupala/Arlinyja_krylli.html
41,epub,"/Janka_Kupala/Vos_tak_chlopiec,_vos_tak_jon.epub",,,"""Вось так хлопец, вось так ён...""","/Janka_Kupala/Vos_tak_chlopiec,_vos_tak_jon.html"
42,epub,"/Janka_Kupala/Viartajucca_z_vyraju_zoravy,_husi.epub",,,"""Вяртаюцца з выраю жоравы, гусі...""","/Janka_Kupala/Viartajucca_z_vyraju_zoravy,_husi.html"
