linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Jakub_Kolas/Na_rostaniach.epub,,,На ростанях,/Jakub_Kolas/Na_rostaniach.html
2,epub,/Jakub_Kolas/Antos_Lata.epub,,,Антось Лата,/Jakub_Kolas/Antos_Lata.html
3,epub,/Jakub_Kolas/Vajna_vajnie.epub,,,Вайна вайне,/Jakub_Kolas/Vajna_vajnie.html
4,epub,/Jakub_Kolas/Zabastouscyki.epub,,,Забастоўшчыкі,/Jakub_Kolas/Zabastouscyki.html
5,epub,/Jakub_Kolas/Na_darozie_zyccia.epub,,,На дарозе жыцця,/Jakub_Kolas/Na_darozie_zyccia.html
6,epub,/Jakub_Kolas/U_puscach_Palessia.epub,,,У пушчах Палесся,/Jakub_Kolas/U_puscach_Palessia.html
7,epub,/Jakub_Kolas/Adplata.epub,,,Адплата,/Jakub_Kolas/Adplata.html
8,epub,/Jakub_Kolas/Na_slachach_voli.epub,,,На шляхах волі,/Jakub_Kolas/Na_slachach_voli.html
9,epub,/Jakub_Kolas/Novaja_ziamla.epub,,,Новая зямля,/Jakub_Kolas/Novaja_ziamla.html
10,epub,/Jakub_Kolas/Rybakova_chata.epub,,,Рыбакова хата,/Jakub_Kolas/Rybakova_chata.html
11,epub,/Jakub_Kolas/Sud_u_lesie.epub,,,Суд у лесе,/Jakub_Kolas/Sud_u_lesie.html
12,epub,/Jakub_Kolas/Symon-muzyka.epub,,,Сымон-музыка,/Jakub_Kolas/Symon-muzyka.html
13,epub,"/Jakub_Kolas/I_ja_stary,_stary_i_moj_susied.epub",,,"""I я стары, стары і мой сусед...""","/Jakub_Kolas/I_ja_stary,_stary_i_moj_susied.html"
14,epub,"/Jakub_Kolas/Adstanu_ja,_i_cas_razluki.epub",,,"""Адстану я, і час разлукі...""","/Jakub_Kolas/Adstanu_ja,_i_cas_razluki.html"
15,epub,/Jakub_Kolas/Adstupilasia_radasc_maja_ad_mianie.epub,,,"""Адступілася радасць мая ад мяне...""",/Jakub_Kolas/Adstupilasia_radasc_maja_ad_mianie.html
16,epub,/Jakub_Kolas/Boza_moj_Kali_paustanie.epub,,,"""Божа мой! Калі паўстане...""",/Jakub_Kolas/Boza_moj_Kali_paustanie.html
17,epub,"/Jakub_Kolas/Butelecka,_butelecka.epub",,,"""Бутэлечка, бутэлечка...""","/Jakub_Kolas/Butelecka,_butelecka.html"
18,epub,/Jakub_Kolas/Byvaje_muzyka_i_u_stuku.epub,,,"""Бывае музыка і ў стуку...""",/Jakub_Kolas/Byvaje_muzyka_i_u_stuku.html
19,epub,/Jakub_Kolas/Byu_u_Taskiencie_Kolas_Jakub.epub,,,"""Быў у Ташкенце Колас Якуб...""",/Jakub_Kolas/Byu_u_Taskiencie_Kolas_Jakub.html
20,epub,/Jakub_Kolas/Voraham_za_sto.epub,,,"""Ворагам...""",/Jakub_Kolas/Voraham_za_sto.html
21,epub,/Jakub_Kolas/Vos_staraja_chatka.epub,,,"""Вось старая хатка...""",/Jakub_Kolas/Vos_staraja_chatka.html
22,epub,/Jakub_Kolas/Vyhladajes_ty_jasnaj_viasnoj.epub,,,"""Выглядаеш ты яснай вясной...""",/Jakub_Kolas/Vyhladajes_ty_jasnaj_viasnoj.html
23,epub,/Jakub_Kolas/Vylez_z_dziebrau_zvier_lutuscy.epub,,,"""Вылез з дзебраў звер лютушчы...""",/Jakub_Kolas/Vylez_z_dziebrau_zvier_lutuscy.html
24,epub,/Jakub_Kolas/Hod_za_hodam_nieuzamietki.epub,,,"""Год за годам неўзаметкі...""",/Jakub_Kolas/Hod_za_hodam_nieuzamietki.html
25,epub,/Jakub_Kolas/Hod_za_hodam_uciakaje.epub,,,"""Год за годам уцякае...""",/Jakub_Kolas/Hod_za_hodam_uciakaje.html
26,epub,"/Jakub_Kolas/Hudzie_ziamla,_dryzac_lasy.epub",,,"""Гудзе зямля, дрыжаць лясы...""","/Jakub_Kolas/Hudzie_ziamla,_dryzac_lasy.html"
27,epub,/Jakub_Kolas/Huscieje_nad_stomlenym_svietam_imhla.epub,,,"""Гусцее над стомленым светам імгла...""",/Jakub_Kolas/Huscieje_nad_stomlenym_svietam_imhla.html
28,epub,"/Jakub_Kolas/Davaj_pahamonim,_Jakubie,_z_taboju.epub",,,"""Давай пагамонім, Якубе, з табою...""","/Jakub_Kolas/Davaj_pahamonim,_Jakubie,_z_taboju.html"
29,epub,/Jakub_Kolas/Dahladala_Alena_karovu.epub,,,"""Даглядала Алена карову...""",/Jakub_Kolas/Dahladala_Alena_karovu.html
30,epub,/Jakub_Kolas/Daj_zirnu_u_svajo_vakonca.epub,,,"""Дай зірну ў сваё ваконца...""",/Jakub_Kolas/Daj_zirnu_u_svajo_vakonca.html
31,epub,/Jakub_Kolas/Darahi_Siarhiej_Iosifavic.epub,,,"""Дарагі Сяргей Іосіфавіч!""",/Jakub_Kolas/Darahi_Siarhiej_Iosifavic.html
32,epub,/Jakub_Kolas/Daroha_ad_kurhana.epub,,,"""Дарога...""",/Jakub_Kolas/Daroha_ad_kurhana.html
33,epub,"/Jakub_Kolas/Dzie_b_ni_byu_ja,_sto_b_ni_dumau.epub",,,"""Дзе б ні быў я, што б ні думаў...""","/Jakub_Kolas/Dzie_b_ni_byu_ja,_sto_b_ni_dumau.html"
34,epub,/Jakub_Kolas/Dni_iduc_za_dniami.epub,,,"""Дні ідуць за днямі...""",/Jakub_Kolas/Dni_iduc_za_dniami.html
35,epub,"/Jakub_Kolas/Dumki_ujucca,_tomiac_hrudzi.epub",,,"""Думкі ўюцца, томяць грудзі...""","/Jakub_Kolas/Dumki_ujucca,_tomiac_hrudzi.html"
36,epub,/Jakub_Kolas/Josc_u_nas_haspadary.epub,,,"""Ёсць у нас гаспадары...""",/Jakub_Kolas/Josc_u_nas_haspadary.html
37,epub,"/Jakub_Kolas/Zapytaj_ty_siabie,_calavieca.epub",,,"""Запытай ты сябе, чалавеча...""","/Jakub_Kolas/Zapytaj_ty_siabie,_calavieca.html"
38,epub,/Jakub_Kolas/Kali_na_zjezdzie_ci_na_schodzie.epub,,,"""Калі на з’ездзе ці на сходзе...""",/Jakub_Kolas/Kali_na_zjezdzie_ci_na_schodzie.html
39,epub,"/Jakub_Kolas/Lud_stohnie,_haruje_pad_ciazaram_mieca.epub",,,"""Люд стогне, гаруе пад цяжарам меча...""","/Jakub_Kolas/Lud_stohnie,_haruje_pad_ciazaram_mieca.html"
40,epub,"/Jakub_Kolas/Lazu_ja_chvory,_aslabiely.epub",,,"""Ляжу я хворы, аслабелы...""","/Jakub_Kolas/Lazu_ja_chvory,_aslabiely.html"
41,epub,/Jakub_Kolas/Mnoha_slaunienkich_kutockau.epub,,,"""Многа слаўненькіх куточкаў...""",/Jakub_Kolas/Mnoha_slaunienkich_kutockau.html
42,epub,"/Jakub_Kolas/Moj_zrok,_jak_lod_chalodny.epub",,,"""Мой зрок, як лёд халодны...""","/Jakub_Kolas/Moj_zrok,_jak_lod_chalodny.html"
43,epub,"/Jakub_Kolas/My_maucali,_jak_niamyja.epub",,,"""Мы маўчалі, як нямыя...""","/Jakub_Kolas/My_maucali,_jak_niamyja.html"
44,epub,/Jakub_Kolas/Nadryvajsia_i_sumi.epub,,,"""Надрывайся і шумі...""",/Jakub_Kolas/Nadryvajsia_i_sumi.html
45,epub,/Jakub_Kolas/Nas_Boh_vialiki_sviat.epub,,,"""Наш Бог вялікі свят!""",/Jakub_Kolas/Nas_Boh_vialiki_sviat.html
46,epub,/Jakub_Kolas/Nas_mily_Prezident.epub,,,"""Наш мілы Прэзідэнт!""",/Jakub_Kolas/Nas_mily_Prezident.html
47,epub,"/Jakub_Kolas/Nie_viedaju,_kamu_skazac_mnie_dziakuj.epub",,,"""Не ведаю, каму сказаць мне «дзякуй»...""","/Jakub_Kolas/Nie_viedaju,_kamu_skazac_mnie_dziakuj.html"
48,epub,"/Jakub_Kolas/Nie_viedaju,_papraudzie,_sto_skazac.epub",,,"""Не ведаю, папраўдзе, што сказаць...""","/Jakub_Kolas/Nie_viedaju,_papraudzie,_sto_skazac.html"
