linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Maksim_Bahdanovic/Vadzianik.epub,,,Вадзянік,/Maksim_Bahdanovic/Vadzianik.html
2,epub,/Maksim_Bahdanovic/Viersy_1908-1909_hadou.epub,,,Вершы 1908-1909 гадоў,/Maksim_Bahdanovic/Viersy_1908-1909_hadou.html
3,epub,/Maksim_Bahdanovic/Viecar_na_zachadzie_u_popiele_tusyc.epub,,,«Вечар на захадзе ў попеле тушыць...»,/Maksim_Bahdanovic/Viecar_na_zachadzie_u_popiele_tusyc.html
4,epub,"/Maksim_Bahdanovic/Zyvies_nia_viecna,_calaviek.epub",,,"«Жывеш ня вечна, чалавек...»","/Maksim_Bahdanovic/Zyvies_nia_viecna,_calaviek.html"
5,epub,/Maksim_Bahdanovic/Zimoj.epub,,,Зімой,/Maksim_Bahdanovic/Zimoj.html
6,epub,/Maksim_Bahdanovic/Letapisiec.epub,,,Летапісец,/Maksim_Bahdanovic/Letapisiec.html
7,epub,/Maksim_Bahdanovic/Letapisiec_variant.epub,,,Летапісец,/Maksim_Bahdanovic/Letapisiec_variant.html
8,epub,/Maksim_Bahdanovic/Maladyja_hady.epub,,,«Маладыя гады...»,/Maksim_Bahdanovic/Maladyja_hady.html
9,epub,/Maksim_Bahdanovic/Miazy.epub,,,Мяжы,/Maksim_Bahdanovic/Miazy.html
10,epub,/Maksim_Bahdanovic/Pa-nad_bielym_pucham_visniau.epub,,,«Па-над белым пухам вішняў...»,/Maksim_Bahdanovic/Pa-nad_bielym_pucham_visniau.html
11,epub,/Maksim_Bahdanovic/Piesniaru.epub,,,Песьняру,/Maksim_Bahdanovic/Piesniaru.html
12,epub,"/Maksim_Bahdanovic/Plakala_leta,_ziamlu_pakidajucy.epub",,,"«Плакала лета, зямлю пакідаючы...»","/Maksim_Bahdanovic/Plakala_leta,_ziamlu_pakidajucy.html"
13,epub,/Maksim_Bahdanovic/Ramans.epub,,,Раманс,/Maksim_Bahdanovic/Ramans.html
14,epub,/Maksim_Bahdanovic/Saniet_Zamiorzla_noccu_sparkaja_krynica.epub,,,"Санет (""Замёрзла ноччу шпаркая крыніца..."")",/Maksim_Bahdanovic/Saniet_Zamiorzla_noccu_sparkaja_krynica.html
15,epub,/Maksim_Bahdanovic/Saniet_Pamiz_piaskou_Jehipieckaj_ziamli.epub,,,"Санет (""Паміж пяскоў Егіпецкай зямлі..."")",/Maksim_Bahdanovic/Saniet_Pamiz_piaskou_Jehipieckaj_ziamli.html
16,epub,/Maksim_Bahdanovic/Sluckija_tkalli_last.epub,,,Слуцкія ткальлі,/Maksim_Bahdanovic/Sluckija_tkalli_last.html
17,epub,/Maksim_Bahdanovic/Sluckija_tkacychi.epub,,,Слуцкія ткачыхі,/Maksim_Bahdanovic/Sluckija_tkacychi.html
18,epub,/Maksim_Bahdanovic/Tryjalet_Kalis_hladzieu_na_sonca_ja.epub,,,"Трыялет (""Калісь глядзеў на сонца я..."")",/Maksim_Bahdanovic/Tryjalet_Kalis_hladzieu_na_sonca_ja.html
19,epub,"/Maksim_Bahdanovic/Cioply_viecar,_cichi_viecier.epub",,,"«Цёплы вечар, ціхі вецер...»","/Maksim_Bahdanovic/Cioply_viecar,_cichi_viecier.html"
20,epub,/Maksim_Bahdanovic/Ja_chacieu_by_spatkacca_z_Vami_na_vulicy.epub,,,«Я хацеў бы спаткацца з Вамі на вуліцы...»,/Maksim_Bahdanovic/Ja_chacieu_by_spatkacca_z_Vami_na_vulicy.html
21,mp3,"https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Bielarus,tvoj_narod_dacakajecca.mp3",,,"Беларусь, твой народ дачакаецца....","/Maksim_Bahdanovic/Bielarus,_tvoj_narod_dacakajecca_audio.html"
22,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Viecar_na_zachadzie_u_popiele_tusyc.mp3,,,Вечар на захадзе ў попеле тушыць...,/Maksim_Bahdanovic/Viecar_na_zachadzie_u_popiele_tusyc_audio.html
23,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Vyjsau_z_chaty.Cicha_spic_nadvorak.mp3,,,Выйшаў з хаты. Ціха спіць надворак...,/Maksim_Bahdanovic/Vyjsau_z_chaty_Cicha_spic_nadvorak_audio.html
24,mp3,"https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Dobraj_nocy,zara_zaranica.mp3",,,"Добрай ночы, зара-зараніца!..","/Maksim_Bahdanovic/Dobraj_nocy,_zara-zaranica_audio.html"
25,ogg,https://files.knihi.com/Knihi/audio-disk-kurhan/Bahdanovic.Zyves_nie_viecna.ogg,,,"Жывеш не вечна, чалавек...","/Maksim_Bahdanovic/Zyvies_nie_viecna,_calaviek_audio1.html"
26,mp3,"https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Zyvies_nie_viecna,calaviek.mp3",,,"Жывеш не вечна, чалавек...","/Maksim_Bahdanovic/Zyvies_nie_viecna,_calaviek_audio2.html"
27,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/8_klas/Maksim_Bahdanovic/Maksim_Bahdanovic.Zyvies_nie_viecna_calaviek.mp3,,,"Жывеш ня вечна, чалавек...","/Maksim_Bahdanovic/Zyvies_nia_viecna,_calaviek_audio.html"
28,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Z_piesniau_bielaruskaha_muzyka.mp3,,,З песняў беларускага мужыка,/Maksim_Bahdanovic/Z_piesniau_bielaruskaha_muzyka_audio.html
29,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Zimovaja_daroha.mp3,,,Зімовая дарога,/Maksim_Bahdanovic/Zimovaja_daroha_audio.html
30,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/M.Bahdanovic_-_Zimoj.mp3,,,Зімой,/Maksim_Bahdanovic/Zimoj_audio1.html
31,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Zimoj.mp3,,,Зімой,/Maksim_Bahdanovic/Zimoj_audio2.html
32,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Kniha.mp3,,,Кніга,/Maksim_Bahdanovic/Kniha_audio.html
33,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Kraju_moj_rodny.mp3,,,Краю мой родны! Як выкляты Богам,/Maksim_Bahdanovic/Kraju_moj_rodny_Jak_vyklaty_Boham_audio.html
34,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Letapisiec.mp3,,,Летапісец,/Maksim_Bahdanovic/Letapisiec_audio.html
35,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/8_klas/Maksim_Bahdanovic/Maksim_Bahdanovic.Lietapisiec.mp3,,,Летапісец,/Maksim_Bahdanovic/Letapisiec_audiok.html
36,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/8_klas/Maksim_Bahdanovic/Maksim_Bahdanovic.Maladyja_hady.mp3,,,Маладыя гады,/Maksim_Bahdanovic/Maladyja_hady_audiok.html
37,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Maladyja_hady.mp3,,,Маладыя гады...,/Maksim_Bahdanovic/Maladyja_hady_audio.html
38,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Miazy.mp3,,,Мяжы,/Maksim_Bahdanovic/Miazy_audio.html
39,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/8_klas/Maksim_Bahdanovic/Maksim_Bahdanovic.Miazy.mp3,,,Мяжы,/Maksim_Bahdanovic/Miazy_audiok.html
40,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Nabiahaje_jano.mp3,,,Набягае яно...,/Maksim_Bahdanovic/Nabiahaje_jano_audio.html
41,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Nasych_dziedau_dusyli_absary_liasou.mp3,,,Нашых дзедаў душылі абшары лясоў...,/Maksim_Bahdanovic/Nasych_dziedau_dusyli_absary_lasou_audio.html
42,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Pahonia.mp3,,,Пагоня,/Maksim_Bahdanovic/Pahonia_audio.html
43,ogg,https://files.knihi.com/Knihi/audio-disk-kurhan/Bahdanovic.Majovaja_piesnia.ogg,,,Па-над белым пухам вішняў...,/Maksim_Bahdanovic/Pa-nad_bielym_pucham_visniau_audio1.html
44,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Pa-nad_bielym_pucham_visniau.mp3,,,Па-над белым пухам вішняў...,/Maksim_Bahdanovic/Pa-nad_bielym_pucham_visniau_audio2.html
45,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Pierad_pavodkaj.mp3,,,Перад паводкай,/Maksim_Bahdanovic/Pierad_pavodkaj_audio.html
46,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/8_klas/Maksim_Bahdanovic/Maksim_Bahdanovic.Piesniaru.mp3,,,Песьняру,/Maksim_Bahdanovic/Piesniaru_audio.html
47,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/8_klas/Maksim_Bahdanovic/Maksim_Bahdanovic.Plakala_leta_ziamlu_pakidajucy.mp3,,,"Плакала лета, зямлю пакідаючы...","/Maksim_Bahdanovic/Plakala_leta,_ziamlu_pakidajucy_audio.html"
48,mp3,"https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Pryviet_tabie,zyccio_na_voli.mp3",,,"Прывет табе, жыццё на волі!..","/Maksim_Bahdanovic/Pryviet_tabie,_zyccio_na_voli_audio.html"
49,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/M.Bahdanovic_-_Ramans.mp3,,,Раманс,/Maksim_Bahdanovic/Ramans_audio1.html
50,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Ramans_Zorka_Vieniera.mp3,,,Раманс,/Maksim_Bahdanovic/Ramans_audio2.html
51,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Rajal_caluje_tonkaja_ruka.mp3,,,Раяль цалуе тонкая рука...,/Maksim_Bahdanovic/Rajal_caluje_tonkaja_ruka_audio.html
52,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/8_klas/Maksim_Bahdanovic/Maksim_Bahdanovic.Sonet.Pamiz_piaskou.mp3,,,"Санет (""Паміж пяскоў Егіпецкай зямлі..."")",/Maksim_Bahdanovic/Saniet_Pamiz_piaskou_Jehipieckaj_ziamli_audio.html
53,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Pamiz_piaskou_Ehipieckaj_ziamli.mp3,,,Санет,/Maksim_Bahdanovic/Saniet_audioegipet.html
54,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/M.Bahdanovic_-_Saniet.mp3,,,Санет,/Maksim_Bahdanovic/Saniet_audio.html
55,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/M.Bahdanovic_-_Sluckija_tkacychi.mp3,,,Слуцкія ткачыхі,/Maksim_Bahdanovic/Sluckija_tkacychi_audio1.html
56,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Sluckija_tkacychi.mp3,,,Слуцкія ткачыхі,/Maksim_Bahdanovic/Sluckija_tkacychi_audio2.html
57,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/8_klas/Maksim_Bahdanovic/Maksim_Bahdanovic.Stracim-liebiedz.mp3,,,Страцім-лебедзь,/Maksim_Bahdanovic/Stracim-lebiedz_audio.html
58,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Ja_chacieu_by_spatkacca_z_vami_na_vulicy.mp3,,,Я хацеў бы спаткацца з Вамі на вуліцы...,/Maksim_Bahdanovic/Ja_chacieu_by_spatkacca_z_Vami_na_vulicy_audio.html
59,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/8_klas/Maksim_Bahdanovic/Maksim_Bahdanovic.Ja_chacieu_by_spatkacca_z_vami_na_vulicy.mp3,,,Я хацеў бы спаткацца з Вамі на вуліцы...,/Maksim_Bahdanovic/Ja_chacieu_by_spatkacca_z_Vami_na_vulicy_audiok.html
60,mp3,https://files.knihi.com/Knihi/radio/Bahdanovic/Bahdanovic.Jak_Bazyl_u_pachodzie_kanau.mp3,,,Як Базыль у паходзе канаў...,/Maksim_Bahdanovic/Jak_Bazyl_u_pachodzie_kanau_audio.html
61,epub,/Maksim_Bahdanovic/Apokryf.epub,,,Апокрыф,/Maksim_Bahdanovic/Apokryf.html
62,epub,/Maksim_Bahdanovic/Muzyka.epub,,,Музыка,/Maksim_Bahdanovic/Muzyka.html
63,epub,/Maksim_Bahdanovic/Muska-zielanuska_j_Kamaryk-nasaty_tvaryk.epub,,,Мушка-зелянушка й Камарык-насаты тварык,/Maksim_Bahdanovic/Muska-zielanuska_j_Kamaryk-nasaty_tvaryk.html
64,epub,/Maksim_Bahdanovic/Stracim-lebiedz.epub,,,Страцім-лебедзь,/Maksim_Bahdanovic/Stracim-lebiedz.html
65,pdf,https://files.knihi.com/Knihi/nlb.by/Eura/bogdanovich.pdf,,,Вянок,/Maksim_Bahdanovic/Vianok.html
66,djvu,https://files.knihi.com/Knihi/scanned3/Bahdanovic_Maksim.Vianok.djvu,,,Вянок,/Maksim_Bahdanovic/Vianok_2.html
