linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Ciska_Hartny/Adviacorkam_apav.epub,,,Адвячоркам,/Ciska_Hartny/Adviacorkam_apav.html
2,epub,/Ciska_Hartny/Bols_za_usich.epub,,,«Больш за ўсіх»,/Ciska_Hartny/Bols_za_usich.html
3,epub,/Ciska_Hartny/Vielikodnaja_karobka.epub,,,Велікодная каробка,/Ciska_Hartny/Vielikodnaja_karobka.html
4,epub,/Ciska_Hartny/Haspadar.epub,,,Гаспадар,/Ciska_Hartny/Haspadar.html
5,epub,/Ciska_Hartny/Dumki.epub,,,Думкі,/Ciska_Hartny/Dumki.html
6,epub,/Ciska_Hartny/Dumki_bielarusa.epub,,,Думкі беларуса,/Ciska_Hartny/Dumki_bielarusa.html
7,epub,/Ciska_Hartny/Dyjahnaz.epub,,,Дыягназ,/Ciska_Hartny/Dyjahnaz.html
8,epub,/Ciska_Hartny/Zaviausaja_krasa.epub,,,Завяўшая краса,/Ciska_Hartny/Zaviausaja_krasa.html
9,epub,/Ciska_Hartny/Kalhasnik_Trychon_Zarolca.epub,,,Калгаснік Трыхон Жаролца,/Ciska_Hartny/Kalhasnik_Trychon_Zarolca.html
10,epub,/Ciska_Hartny/Lajdak.epub,,,«Лайдак»,/Ciska_Hartny/Lajdak.html
11,epub,/Ciska_Hartny/Na_ruinach.epub,,,На руінах,/Ciska_Hartny/Na_ruinach.html
12,epub,/Ciska_Hartny/Na_uschodzie_sonca.epub,,,На ўсходзе сонца,/Ciska_Hartny/Na_uschodzie_sonca.html
13,epub,/Ciska_Hartny/Pravodziny.epub,,,Праводзіны,/Ciska_Hartny/Pravodziny.html
14,epub,/Ciska_Hartny/Prysady.epub,,,Прысады,/Ciska_Hartny/Prysady.html
15,epub,/Ciska_Hartny/Svaje_blincy.epub,,,Свае блінцы,/Ciska_Hartny/Svaje_blincy.html
16,epub,/Ciska_Hartny/Skosany_luh.epub,,,Скошаны луг,/Ciska_Hartny/Skosany_luh.html
17,epub,/Ciska_Hartny/Sprecka_stychijau.epub,,,Спрэчка стыхіяў,/Ciska_Hartny/Sprecka_stychijau.html
18,epub,/Ciska_Hartny/Tavarys_ab_svaim_zycci.epub,,,Таварыш аб сваім жыцці,/Ciska_Hartny/Tavarys_ab_svaim_zycci.html
19,epub,/Ciska_Hartny/Treski_na_chvalach.epub,,,Трэскі на хвалях,/Ciska_Hartny/Treski_na_chvalach.html
20,epub,/Ciska_Hartny/U_majsterni.epub,,,У майстэрні,/Ciska_Hartny/U_majsterni.html
