linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,zip,https://files.knihi.com/Knihi/mininfarm/Skolnikam/8_klas/Jan_Barsceuski.Slachcic_Zavalnia.zip,,,Шляхціц Завальня,/Jan_Barsceuski/Slachcic_Zavalnia_audio_zip.html
2,mp3.zip,https://files.knihi.com/Knihi/audiobooks/Barsceuski.Zavalnja.mp3.zip,,,"Шляхціц Завальня, або Беларусь у фантастычных апавяданнях","/Jan_Barsceuski/Slachcic_Zavalnia,_abo_Bielarus_u_fantastycnych_apaviadanniach_mp3.zip.html"
3,pdf,https://files.knihi.com/Knihi/leb.nlr.ru/Barsceuski.Bielaruskije_lehiendy_Kn1_Nacepnasc.pdf,,,Беларускіе легенды. Кн.1. Начэпнасьць,/Jan_Barsceuski/Bielaruskije_lehiendy_Kn1_Nacepnasc.html
4,epub,/Jan_Barsceuski/Draulany_Dziadok_i_kabieta_Insiekta.epub,,,Драўляны Дзядок і кабета Інсекта,/Jan_Barsceuski/Draulany_Dziadok_i_kabieta_Insiekta.html
5,epub,/Jan_Barsceuski/Dusa_nie_u_svaim_ciele.epub,,,Душа не ў сваім целе,/Jan_Barsceuski/Dusa_nie_u_svaim_ciele.html
6,djvu,https://files.knihi.com/Knihi/other/Barsceuski.Slachtic_Zavalnia.djvu,,,"Шляхціц Завальня, або Беларусь у фантастычных апавяданнях","/Jan_Barsceuski/Slachcic_Zavalnia,_abo_Bielarus_u_fantastycnych_apaviadanniach.html"
7,epub,/Jan_Barsceuski/Dzvie_biarozy.epub,,,Дзве бярозы,/Jan_Barsceuski/Dzvie_biarozy.html
8,epub,/Jan_Barsceuski/Zaroslaje_voziera.epub,,,Зарослае возера,/Jan_Barsceuski/Zaroslaje_voziera.html
9,epub,/Jan_Barsceuski/Kurhany.epub,,,Курганы,/Jan_Barsceuski/Kurhany.html
10,epub,/Jan_Barsceuski/Rospac.epub,,,Роспач,/Jan_Barsceuski/Rospac.html
11,epub,/Jan_Barsceuski/Rusalka-spakusnica.epub,,,Русалка-спакусніца,/Jan_Barsceuski/Rusalka-spakusnica.html
12,djvu,https://files.knihi.com/Knihi/sum/Jan_Barsceuski.Vybranyja_tvory.1998.djvu,,,Выбраныя творы,/Jan_Barsceuski/Vybranyja_tvory.html
13,epub,/Jan_Barsceuski/Wiersze-pol.epub,,,Wiersze,/Jan_Barsceuski/Wiersze-pol.html
