linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Kanstancyja_Bujlo/Adna.epub,,,Адна,/Kanstancyja_Bujlo/Adna.html
2,epub,/Kanstancyja_Bujlo/Bez.epub,,,Бэз,/Kanstancyja_Bujlo/Bez.html
3,epub,/Kanstancyja_Bujlo/Vaal_Ja_usio_uzo_spalila_na_altary.epub,,,«Ваал! Я ўсё ужо спаліла на алтары...»,/Kanstancyja_Bujlo/Vaal_Ja_usio_uzo_spalila_na_altary.html
4,epub,"/Kanstancyja_Bujlo/Vocy_seryja,_a_blask_ich_-_zalaty.epub",,,"«Вочы шэрыя, а бляск іх - залаты...»","/Kanstancyja_Bujlo/Vocy_seryja,_a_blask_ich_-_zalaty.html"
5,epub,/Kanstancyja_Bujlo/Hostra_u_chvorym_sercy_uspychnula_tryvoha.epub,,,«Гостра ў хворым сэрцы ўспыхнула трывога...»,/Kanstancyja_Bujlo/Hostra_u_chvorym_sercy_uspychnula_tryvoha.html
6,epub,/Kanstancyja_Bujlo/Dziaucyna.epub,,,Дзяўчына,/Kanstancyja_Bujlo/Dziaucyna.html
7,epub,/Kanstancyja_Bujlo/Dobry_viecar.epub,,,Добры вечар!,/Kanstancyja_Bujlo/Dobry_viecar.html
8,epub,/Kanstancyja_Bujlo/Zasumieli_sosny.epub,,,Зашумелі сосны...,/Kanstancyja_Bujlo/Zasumieli_sosny.html
9,epub,/Kanstancyja_Bujlo/Zvon.epub,,,Звон,/Kanstancyja_Bujlo/Zvon.html
10,epub,/Kanstancyja_Bujlo/Zima.epub,,,Зіма,/Kanstancyja_Bujlo/Zima.html
11,epub,/Kanstancyja_Bujlo/Kab_ja_miela.epub,,,Каб я мела...,/Kanstancyja_Bujlo/Kab_ja_miela.html
12,epub,/Kanstancyja_Bujlo/Kvietki.epub,,,Кветкі,/Kanstancyja_Bujlo/Kvietki.html
13,epub,/Kanstancyja_Bujlo/Kurhan.epub,,,Курган,/Kanstancyja_Bujlo/Kurhan.html
14,epub,/Kanstancyja_Bujlo/Lahodny_viecar_syple_u_recku_kraski.epub,,,«Лагодны вечар сыпле ў рэчку краскі...»,/Kanstancyja_Bujlo/Lahodny_viecar_syple_u_recku_kraski.html
15,epub,/Kanstancyja_Bujlo/Lebiadzinaja_piesnia.epub,,,Лебядзіная песня,/Kanstancyja_Bujlo/Lebiadzinaja_piesnia.html
16,epub,/Kanstancyja_Bujlo/Lipy.epub,,,Ліпы,/Kanstancyja_Bujlo/Lipy.html
17,epub,/Kanstancyja_Bujlo/Lublu.epub,,,Люблю,/Kanstancyja_Bujlo/Lublu.html
18,epub,"/Kanstancyja_Bujlo/Lublu_ahon,_sto_nielha_patusyc.epub",,,"«Люблю агонь, што нельга патушыць...»","/Kanstancyja_Bujlo/Lublu_ahon,_sto_nielha_patusyc.html"
19,epub,"/Kanstancyja_Bujlo/Laci,_dumka.epub",,,"Ляці, думка","/Kanstancyja_Bujlo/Laci,_dumka.html"
20,epub,/Kanstancyja_Bujlo/Mahila.epub,,,Магіла,/Kanstancyja_Bujlo/Mahila.html
21,epub,/Kanstancyja_Bujlo/Majo_scascie_mima_tolki_sto_prajslo.epub,,,«Маё шчасце міма толькі што прайшло...»,/Kanstancyja_Bujlo/Majo_scascie_mima_tolki_sto_prajslo.html
22,epub,/Kanstancyja_Bujlo/Miacielica.epub,,,Мяцеліца,/Kanstancyja_Bujlo/Miacielica.html
23,epub,/Kanstancyja_Bujlo/Na_krylli_piesni.epub,,,На крыллі песні,/Kanstancyja_Bujlo/Na_krylli_piesni.html
24,epub,/Kanstancyja_Bujlo/Na_mahilkach.epub,,,На магілках,/Kanstancyja_Bujlo/Na_mahilkach.html
25,epub,/Kanstancyja_Bujlo/Nie_hladzi.epub,,,Не глядзі...,/Kanstancyja_Bujlo/Nie_hladzi.html
26,epub,/Kanstancyja_Bujlo/Nie_mahu.epub,,,Не магу...,/Kanstancyja_Bujlo/Nie_mahu.html
27,epub,/Kanstancyja_Bujlo/Pamiac.epub,,,Памяць,/Kanstancyja_Bujlo/Pamiac.html
28,epub,/Kanstancyja_Bujlo/Pisu_tabie_A_ty_cytaj.epub,,,«Пішу табе. А ты чытай...»,/Kanstancyja_Bujlo/Pisu_tabie_A_ty_cytaj.html
29,epub,/Kanstancyja_Bujlo/Pomnis_viecar.epub,,,Помніш вечар?,/Kanstancyja_Bujlo/Pomnis_viecar.html
30,epub,/Kanstancyja_Bujlo/Projdzie_dzien_-_i_u_viecnasci_zatonie.epub,,,«Пройдзе дзень - і ў вечнасці затоне...»,/Kanstancyja_Bujlo/Projdzie_dzien_-_i_u_viecnasci_zatonie.html
31,epub,/Kanstancyja_Bujlo/Pryboj.epub,,,Прыбой,/Kanstancyja_Bujlo/Pryboj.html
32,epub,/Kanstancyja_Bujlo/Rabina_nadziela_karali.epub,,,«Рабіна надзела каралі...»,/Kanstancyja_Bujlo/Rabina_nadziela_karali.html
33,epub,/Kanstancyja_Bujlo/Radzima_Ty_lubaj_byla_mnie_da_bolu.epub,,,«Радзіма! Ты любай была мне да болю...»,/Kanstancyja_Bujlo/Radzima_Ty_lubaj_byla_mnie_da_bolu.html
34,epub,/Kanstancyja_Bujlo/Rana.epub,,,Рана,/Kanstancyja_Bujlo/Rana.html
35,epub,/Kanstancyja_Bujlo/Rusalki.epub,,,Русалкі,/Kanstancyja_Bujlo/Rusalki.html
36,epub,/Kanstancyja_Bujlo/Ruta.epub,,,Рута,/Kanstancyja_Bujlo/Ruta.html
37,epub,/Kanstancyja_Bujlo/Snieh.epub,,,Снег,/Kanstancyja_Bujlo/Snieh.html
38,epub,/Kanstancyja_Bujlo/Tamu_mnie_sumna_zyc_na_sviecie.epub,,,«Таму мне сумна жыць на свеце...»,/Kanstancyja_Bujlo/Tamu_mnie_sumna_zyc_na_sviecie.html
39,epub,/Kanstancyja_Bujlo/Tapola.epub,,,Таполя,/Kanstancyja_Bujlo/Tapola.html
40,epub,/Kanstancyja_Bujlo/To_nie_piesnia.epub,,,То не песня...,/Kanstancyja_Bujlo/To_nie_piesnia.html
41,epub,/Kanstancyja_Bujlo/U_biassonnuju_noc.epub,,,У бяссонную ноч,/Kanstancyja_Bujlo/U_biassonnuju_noc.html
42,epub,/Kanstancyja_Bujlo/U_vyraj_daloki_latuc_zurauli.epub,,,«У вырай далёкі лятуць жураўлі...»,/Kanstancyja_Bujlo/U_vyraj_daloki_latuc_zurauli.html
43,epub,/Kanstancyja_Bujlo/U_krainie_mar.epub,,,У краіне мар,/Kanstancyja_Bujlo/U_krainie_mar.html
44,epub,/Kanstancyja_Bujlo/Cichim_homanam_hordych_viarsyn.epub,,,«Ціхім гоманам гордых вяршынь...»,/Kanstancyja_Bujlo/Cichim_homanam_hordych_viarsyn.html
45,epub,/Kanstancyja_Bujlo/Seraja_hadzina.epub,,,Шэрая гадзіна,/Kanstancyja_Bujlo/Seraja_hadzina.html
46,epub,/Kanstancyja_Bujlo/Ja_chaciela_b_prarasci_sasnoj.epub,,,«Я хацела б прарасці сасной...»,/Kanstancyja_Bujlo/Ja_chaciela_b_prarasci_sasnoj.html
47,epub,/Kanstancyja_Bujlo/Ja_sukala.epub,,,Я шукала...,/Kanstancyja_Bujlo/Ja_sukala.html
48,epub,/Kanstancyja_Bujlo/Jak_ja_ciabie_lublu.epub,,,Як я цябе люблю...,/Kanstancyja_Bujlo/Jak_ja_ciabie_lublu.html
