linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Michas_Carot/Dziunaja_zajava_knihazbor.epub,,,Дзіўная заява,/Michas_Carot/Dziunaja_zajava_knihazbor.html
2,epub,/Michas_Carot/Son_Habrusia.epub,,,Сон Габруся,/Michas_Carot/Son_Habrusia.html
3,epub,/Michas_Carot/Bosyja_na_vohniscy.epub,,,Босыя на вогнішчы,/Michas_Carot/Bosyja_na_vohniscy.html
4,epub,/Michas_Carot/Balotam_snieznym_praz_sasonnik.epub,,,Балотам снежным праз сасоннік,/Michas_Carot/Balotam_snieznym_praz_sasonnik.html
5,epub,/Michas_Carot/Buntar.epub,,,Бунтар,/Michas_Carot/Buntar.html
6,epub,"/Michas_Carot/Viedaj,_sviet.epub",,,"Ведай, свет...","/Michas_Carot/Viedaj,_sviet.html"
7,epub,/Michas_Carot/Viecaram.epub,,,Вечарам,/Michas_Carot/Viecaram.html
8,epub,/Michas_Carot/Viecnaja_bura.epub,,,Вечная бура,/Michas_Carot/Viecnaja_bura.html
9,epub,/Michas_Carot/Zyvyja_akordy.epub,,,Жывыя акорды,/Michas_Carot/Zyvyja_akordy.html
10,epub,/Michas_Carot/Zavirucha.epub,,,Завіруха,/Michas_Carot/Zavirucha.html
11,epub,/Michas_Carot/Na_mohilkach.epub,,,На могілках,/Michas_Carot/Na_mohilkach.html
12,epub,/Michas_Carot/Nam_dobra_Ciopla_Ziamla_u_pazary.epub,,,«Нам добра. Цёпла. Зямля ў пажары...»,/Michas_Carot/Nam_dobra_Ciopla_Ziamla_u_pazary.html
13,epub,/Michas_Carot/Pole_cicha_saptala_kalossiem.epub,,,Поле ціха шаптала калоссем,/Michas_Carot/Pole_cicha_saptala_kalossiem.html
14,epub,/Michas_Carot/Rodnyja_ptuski.epub,,,Родныя птушкі,/Michas_Carot/Rodnyja_ptuski.html
15,epub,/Michas_Carot/Sienazaci_i_poli_asniezany.epub,,,Сенажаці і полі аснежаны,/Michas_Carot/Sienazaci_i_poli_asniezany.html
16,epub,/Michas_Carot/Slacham_zimnim.epub,,,Шляхам зімнім,/Michas_Carot/Slacham_zimnim.html
17,mp3,https://files.knihi.com/Knihi/audio-staroeradio.ru/Carot_Michas.Dziunaja_sprava.mp3,,,Дзіўная справа,/Michas_Carot/Dziunaja_sprava_audio.html
18,mp3,https://files.knihi.com/Knihi/audio-staroeradio.ru/Carot_Michas.Calaviek_jaki_nie_naradziusia.mp3,,,Чалавек які не нарадзіўся,/Michas_Carot/Calaviek_jaki_nie_naradziusia_audio.html
19,epub,/Michas_Carot/Aposniaja_noc.epub,,,Апошняя ноч,/Michas_Carot/Aposniaja_noc.html
20,epub,/Michas_Carot/Baciuska.epub,,,Бацюшка,/Michas_Carot/Baciuska.html
21,epub,/Michas_Carot/Dziunaja_zajava.epub,,,Дзіўная заява,/Michas_Carot/Dziunaja_zajava.html
22,epub,/Michas_Carot/Kirmas.epub,,,Кірмаш,/Michas_Carot/Kirmas.html
23,epub,/Michas_Carot/Mikitau_lapac.epub,,,Мікітаў лапаць,/Michas_Carot/Mikitau_lapac.html
24,epub,/Michas_Carot/Na_pasiekach.epub,,,На пасеках,/Michas_Carot/Na_pasiekach.html
25,epub,/Michas_Carot/Pasla_bury_Skaz_staroha_dziaduli.epub,,,Пасля буры... (Сказ старога дзядулі),/Michas_Carot/Pasla_bury_Skaz_staroha_dziaduli.html
26,epub,/Michas_Carot/Pastuski.epub,,,Пастушкі,/Michas_Carot/Pastuski.html
27,epub,/Michas_Carot/Samalot.epub,,,Самалёт,/Michas_Carot/Samalot.html
28,epub,/Michas_Carot/Svinapas.epub,,,Свінапас,/Michas_Carot/Svinapas.html
29,epub,"/Michas_Carot/Calaviek,_jaki_nie_radziusia.epub",,,"Чалавек, які не радзіўся","/Michas_Carot/Calaviek,_jaki_nie_radziusia.html"
30,pdf,https://files.knihi.com/Knihi/other2/Bielarus_lapciuznaja_1927.pdf,,,Беларусь лапцюжная,/Michas_Carot/Bielarus_lapciuznaja.html
31,djvu,https://files.knihi.com/Knihi/scanned-n2/Carot_Michas.Vybranaje.djvu,,,Выбранае,/Michas_Carot/Vybranaje.html
32,djvu,https://files.knihi.com/Knihi/scanned-n2/Carot_Michas.Zbor_tvorau_2_2.djvu,,,"Збор творах у двух тамах, т.2","/Michas_Carot/Zbor_tvorach_u_dvuch_tamach,_t2.html"
33,pdf,https://files.knihi.com/Knihi/other2/Carot.Viascun_1927.pdf,,,Чырвонакрылы вяшчун,/Michas_Carot/Cyrvonakryly_viascun.html
34,epub,/Michas_Carot/Molodniak-rus.epub,,,Молодняк,/Michas_Carot/Molodniak-rus.html
35,epub,/Michas_Carot/Sienokosy_i_pola_zasniezieny-rus.epub,,,«Сенокосы и поля заснежены...»,/Michas_Carot/Sienokosy_i_pola_zasniezieny-rus.html
