linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Natalla_Arsiennieva.Achrysciu_mianie_niechta_u_zialonaj_dubrovie.mp3,,,Ахрысціў мяне нехта ў зялёнай дуброве,/Natalla_Arsiennieva/Achrysciu_mianie_niechta_u_zialonaj_dubrovie_authoraudio.html
2,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Natalla_Arsiennieva.Krasavik.mp3,,,Красавік,/Natalla_Arsiennieva/Krasavik_authoraudio.html
3,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Natalla_Arsiennieva.Mahutny_Boza.mp3,,,Магутны Божа,/Natalla_Arsiennieva/Mahutny_Boza_authoraudio.html
4,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Natalla_Arsiennieva.O_sypsyna_maja_Bielarus.mp3,,,О шыпшына мая Беларусь,/Natalla_Arsiennieva/O_sypsyna_maja_Bielarus_authoraudio.html
5,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Natalla_Arsiennieva.Rabina.mp3,,,Рабіна,/Natalla_Arsiennieva/Rabina_authoraudio.html
6,djvu,https://files.knihi.com/Knihi/scanned-n/Arsiennieva_Natallia.Vybranyja_tvory.djvu,,,Выбраныя творы,/Natalla_Arsiennieva/Vybranyja_tvory.html
7,djvu,https://files.knihi.com/Knihi/scanned3/Arsiennieva_Natalla.Miz_bierahami.djvu,,,Між берагамі,/Natalla_Arsiennieva/Miz_bierahami.html
8,djvu,https://files.knihi.com/Knihi/scanned-n/Arsiennieva_Natalla.Pad_sinim_niebam.djvu,,,Пад сінім небам,/Natalla_Arsiennieva/Pad_sinim_niebam.html
9,djvu,https://files.knihi.com/Knihi/scanned-n/Arsiennieva_Natalla.Jasce_adna_viasna.djvu,,,Яшчэ адна вясна,/Natalla_Arsiennieva/Jasce_adna_viasna.html
10,epub,/Mikola_Husouski/Piesnia_pra_zubra.epub,Мікола Гусоўскі,/Mikola_Husouski/,Песьня пра зубра,/Mikola_Husouski/Piesnia_pra_zubra.html
