linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Piatrus_Brouka/Kali_zlivajucca_reki.epub,,,Калі зліваюцца рэкі,/Piatrus_Brouka/Kali_zlivajucca_reki.html
2,epub,/Piatrus_Brouka/1914.epub,,,1914,/Piatrus_Brouka/1914.html
3,epub,/Piatrus_Brouka/Backau_dom.epub,,,Бацькаў дом,/Piatrus_Brouka/Backau_dom.html
4,djvu,https://files.knihi.com/Knihi/scanned/Brouka.Bielarus.djvu,,,Беларусь,/Piatrus_Brouka/Bielarus.html
5,epub,/Piatrus_Brouka/Bielarus_text.epub,,,Беларусь,/Piatrus_Brouka/Bielarus_text.html
6,epub,/Piatrus_Brouka/Holas_serca.epub,,,Голас сэрца,/Piatrus_Brouka/Holas_serca.html
7,epub,/Piatrus_Brouka/Dzied_i_unuk.epub,,,Дзед і ўнук,/Piatrus_Brouka/Dzied_i_unuk.html
8,epub,/Piatrus_Brouka/Dobry_druh.epub,,,Добры друг,/Piatrus_Brouka/Dobry_druh.html
9,epub,/Piatrus_Brouka/Duma_ab_biessmiarotnasci.epub,,,Дума аб бессмяротнасці,/Piatrus_Brouka/Duma_ab_biessmiarotnasci.html
10,epub,/Piatrus_Brouka/Z_paemy_Minsk.epub,,,"З паэмы ""Мінск""",/Piatrus_Brouka/Z_paemy_Minsk.html
11,epub,/Piatrus_Brouka/Z_paemy_Tak_pacynalasia_maladosc.epub,,,"З паэмы ""Так пачыналася маладосць""",/Piatrus_Brouka/Z_paemy_Tak_pacynalasia_maladosc.html
12,epub,/Piatrus_Brouka/Zausiody_z_Leninym.epub,,,Заўсёды з Леніным,/Piatrus_Brouka/Zausiody_z_Leninym.html
13,epub,/Piatrus_Brouka/Kaciaryna.epub,,,Кацярына,/Piatrus_Brouka/Kaciaryna.html
14,epub,/Piatrus_Brouka/Kiryl_Prakopavic.epub,,,Кірыл Пракопавіч,/Piatrus_Brouka/Kiryl_Prakopavic.html
15,epub,/Piatrus_Brouka/Lasy_naddzvinskija.epub,,,Лясы наддзвінскія,/Piatrus_Brouka/Lasy_naddzvinskija.html
16,epub,/Piatrus_Brouka/Nas_muziej.epub,,,Наш музей,/Piatrus_Brouka/Nas_muziej.html
17,epub,/Piatrus_Brouka/Palanianka.epub,,,Паланянка,/Piatrus_Brouka/Palanianka.html
18,epub,/Piatrus_Brouka/Paema_pra_Smalackova.epub,,,Паэма пра Смалячкова,/Piatrus_Brouka/Paema_pra_Smalackova.html
19,epub,/Piatrus_Brouka/Praz_hory_i_step.epub,,,Праз горы і стэп,/Piatrus_Brouka/Praz_hory_i_step.html
20,epub,/Piatrus_Brouka/Pramova_faktami.epub,,,Прамова фактамі,/Piatrus_Brouka/Pramova_faktami.html
21,epub,/Piatrus_Brouka/Rodnyja_bierahi.epub,,,Родныя берагі,/Piatrus_Brouka/Rodnyja_bierahi.html
22,epub,/Piatrus_Brouka/Siabry.epub,,,Сябры,/Piatrus_Brouka/Siabry.html
23,epub,/Piatrus_Brouka/Chleb.epub,,,Хлеб,/Piatrus_Brouka/Chleb.html
24,epub,/Piatrus_Brouka/Cyrvon-haradok.epub,,,Чырвон-гарадок,/Piatrus_Brouka/Cyrvon-haradok.html
25,epub,/Piatrus_Brouka/Jasny_kut.epub,,,Ясны кут,/Piatrus_Brouka/Jasny_kut.html
26,epub,/Piatrus_Brouka/Vos_i_leta_syslo_Nadychod_vosieni.epub,,,"""Вось і лета сышло..."" (Надыход восені)",/Piatrus_Brouka/Vos_i_leta_syslo_Nadychod_vosieni.html
27,epub,/Piatrus_Brouka/A_ty_idzi.epub,,,А ты ідзі...,/Piatrus_Brouka/A_ty_idzi.html
28,epub,/Piatrus_Brouka/Aleksandryna.epub,,,Александрына,/Piatrus_Brouka/Aleksandryna.html
29,epub,"/Piatrus_Brouka/Budziem_siejac,_bielarusy.epub",,,"Будзем сеяць, беларусы!","/Piatrus_Brouka/Budziem_siejac,_bielarusy.html"
30,epub,/Piatrus_Brouka/Viersy_1926-1941.epub,,,Вершы (1926–1941),/Piatrus_Brouka/Viersy_1926-1941.html
31,epub,/Piatrus_Brouka/Viersy_1941-1953.epub,,,Вершы (1941–1953),/Piatrus_Brouka/Viersy_1941-1953.html
32,epub,/Piatrus_Brouka/Viersy_1954-1964.epub,,,Вершы (1954–1964),/Piatrus_Brouka/Viersy_1954-1964.html
33,epub,/Piatrus_Brouka/Viersy_1965-1972.epub,,,Вершы (1965–1972),/Piatrus_Brouka/Viersy_1965-1972.html
34,epub,/Piatrus_Brouka/Kali_laska.epub,,,Калі ласка!,/Piatrus_Brouka/Kali_laska.html
35,epub,/Piatrus_Brouka/Kropla.epub,,,Кропля,/Piatrus_Brouka/Kropla.html
36,epub,/Piatrus_Brouka/Nadzia-Nadziejka.epub,,,Надзя-Надзейка,/Piatrus_Brouka/Nadzia-Nadziejka.html
37,epub,/Piatrus_Brouka/Pachnie_cabor.epub,,,Пахне чабор...,/Piatrus_Brouka/Pachnie_cabor.html
38,epub,/Piatrus_Brouka/Rodnyja_slovy.epub,,,Родныя словы,/Piatrus_Brouka/Rodnyja_slovy.html
39,epub,/Piatrus_Brouka/Jak_list_dubovy.epub,,,Як ліст дубовы...,/Piatrus_Brouka/Jak_list_dubovy.html
40,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Piatrus_Brouka/Piatrus_Brouka.A_ty_idzi.mp3,,,А ты ідзі...,/Piatrus_Brouka/A_ty_idzi_audio.html
41,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Piatrus_Brouka/Piatrus_Brouka.Aleksandryna.mp3,,,Александрына,/Piatrus_Brouka/Aleksandryna_audio.html
42,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Piatrus_Brouka/Piatrus_Brouka.Budziem_siejac_bielarusy.mp3,,,"Будзем сеяць, беларусы","/Piatrus_Brouka/Budziem_siejac,_bielarusy_audio.html"
43,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/10_klas/Piatrus_Brouka/Piatrus_Brouka.Nadzia_nadziejka.mp3,,,Надзя-надзейка,/Piatrus_Brouka/Nadzia-nadziejka_audio.html
