linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
1,epub,/Ales_Zvonak/Harbuz.epub,,,Гарбуз,/Ales_Zvonak/Harbuz.html
2,epub,/Ales_Zvonak/Nad_biezdanniu.epub,,,Над безданню,/Ales_Zvonak/Nad_biezdanniu.html
3,epub,/Ales_Zvonak/Rok-saniet.epub,,,Рок-санет,/Ales_Zvonak/Rok-saniet.html
4,epub,/Ales_Zvonak/Cien_Jeufrasinni.epub,,,Цень Еўфрасінні,/Ales_Zvonak/Cien_Jeufrasinni.html
5,djvu,https://files.knihi.com/Knihi/scanned/Zvonak.Sanety.djvu,,,Санеты,/Ales_Zvonak/Saniety.html
6,epub,"/Ales_Zvonak/Asienni_cholad,_styn_i_biezdarozza.epub",,,"""Асенні холад, стынь і бездарожжа...""","/Ales_Zvonak/Asienni_cholad,_styn_i_biezdarozza.html"
7,epub,"/Ales_Zvonak/Asfalt,_i_pyl.epub",,,"""Асфальт, і пыл...""","/Ales_Zvonak/Asfalt,_i_pyl.html"
8,epub,/Ales_Zvonak/Biez_krylau_piesni_nie_uzlaciec_vysoka.epub,,,"""Без крылаў песні не ўзляцець высока...""",/Ales_Zvonak/Biez_krylau_piesni_nie_uzlaciec_vysoka.html
9,epub,/Ales_Zvonak/Vajna_razmiala_nas.epub,,,"""Вайна размяла нас...""",/Ales_Zvonak/Vajna_razmiala_nas.html
10,epub,/Ales_Zvonak/Vieras_ryzavaty.epub,,,"""Верас рыжаваты...""",/Ales_Zvonak/Vieras_ryzavaty.html
11,epub,/Ales_Zvonak/Viecier_nosic_lohkija_sniazynki.epub,,,"""Вецер носіць лёгкія сняжынкі...""",/Ales_Zvonak/Viecier_nosic_lohkija_sniazynki.html
12,epub,/Ales_Zvonak/Viecar_Hadzina_katoraja.epub,,,"""Вечар. Гадзіна каторая?..""",/Ales_Zvonak/Viecar_Hadzina_katoraja.html
13,epub,/Ales_Zvonak/Vypadkova_zirni.epub,,,"""Выпадкова зірні...""",/Ales_Zvonak/Vypadkova_zirni.html
14,epub,/Ales_Zvonak/Haryc_tajha.epub,,,"""Гарыць тайга...""",/Ales_Zvonak/Haryc_tajha.html
15,epub,/Ales_Zvonak/Hornyja_reki_pa_zvilinach_recysc.epub,,,"""Горныя рэкі па звілінах рэчышч...""",/Ales_Zvonak/Hornyja_reki_pa_zvilinach_recysc.html
16,epub,/Ales_Zvonak/Daharela_zara_u_niebakrai.epub,,,"""Дагарэла зара ў небакраі...""",/Ales_Zvonak/Daharela_zara_u_niebakrai.html
17,epub,/Ales_Zvonak/Dauno_tryvohi_praplyli.epub,,,"""Даўно трывогі праплылі...""",/Ales_Zvonak/Dauno_tryvohi_praplyli.html
18,epub,"/Ales_Zvonak/Dozdz_idzie,_i_na_sercy_markotna.epub",,,"""Дождж ідзе, і на сэрцы маркотна...""","/Ales_Zvonak/Dozdz_idzie,_i_na_sercy_markotna.html"
19,epub,/Ales_Zvonak/Douha_byu_prytulkam_mnie_padval.epub,,,"""Доўга быў прытулкам мне падвал...""",/Ales_Zvonak/Douha_byu_prytulkam_mnie_padval.html
20,epub,/Ales_Zvonak/Z_drobnaha_vialikaje.epub,,,"""З дробнага вялікае...""",/Ales_Zvonak/Z_drobnaha_vialikaje.html
21,epub,/Ales_Zvonak/Z_taboju_pamiac_zroscana.epub,,,"""З табою памяць зрошчана...""",/Ales_Zvonak/Z_taboju_pamiac_zroscana.html
22,epub,/Ales_Zvonak/Za_paroham_vosien_jencyc.epub,,,"""За парогам восень енчыць...""",/Ales_Zvonak/Za_paroham_vosien_jencyc.html
