author_id;author_name;author_lifetime;author_born;author_died;author_gender;priority;isNationalPoet;v1;author_wkpd_url;author_other_url;src_knihi_url;src_vershyRu_url;src_other_url;author_poemCount;src_knihi_path
1;Іаахім Храптовіч;1729-1812;1729;1812;m;!;;;https://be.wikipedia.org/wiki/%D0%86%D0%B0%D1%85%D1%96%D0%BC_%D0%A5%D1%80%D0%B0%D0%BF%D1%82%D0%BE%D0%B2%D1%96%D1%87 ;;;;;;
2;Міхал Карыцкі;1714-1781;1714;1781;m;!;;TRUE;https://be.wikipedia.org/wiki/%D0%9C%D1%96%D1%85%D0%B0%D0%BB_%D0%9A%D0%B0%D1%80%D1%8B%D1%86%D0%BA%D1%96 ;;;;http://khblit.narod.ru/arhiu/lib/karytski.htm;;
3;Ян Баршчэўскі;1794-1851;1794;1851;m;!!!;;TRUE;https://be.wikipedia.org/wiki/%D0%AF%D0%BD_%D0%91%D0%B0%D1%80%D1%88%D1%87%D1%8D%D1%9E%D1%81%D0%BA%D1%96 ;;https://knihi.com/Jan_Barsceuski/;;;;Jan_Barsceuski
4;Паўлюк Багрым;?-1891;1812;1891;m;!!!;;TRUE;https://be.wikipedia.org/wiki/%D0%9F%D0%B0%D1%9E%D0%BB%D1%8E%D0%BA_%D0%91%D0%B0%D0%B3%D1%80%D1%8B%D0%BC;;https://knihi.com/Pauluk_Bahrym/;http://vershy.ru/category/paulyuk-bagrym;;1;Pauluk_Bahrym
5;Францішак Савіч;1815-1845;1815;1845;m;;;;https://be.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D1%96%D1%88%D0%B0%D0%BA_%D0%A1%D0%B0%D0%B2%D1%96%D1%87 ;;;;;;
6;Ігнат Легатовіч;1796-1867;1796;1867;m;;;;https://be.wikipedia.org/wiki/%D0%86%D0%B3%D0%BD%D0%B0%D1%82_%D0%A1%D1%8B%D0%BC%D0%BE%D0%BD%D0%B0%D0%B2%D1%96%D1%87_%D0%9B%D0%B5%D0%B3%D0%B0%D1%82%D0%BE%D0%B2%D1%96%D1%87 ;;;;;;
7;Ян Чачот;1796-1847;1796;1847;m;!!!;;TRUE;https://be.wikipedia.org/wiki/%D0%AF%D0%BD_%D0%A7%D0%B0%D1%87%D0%BE%D1%82 ;;https://knihi.com/Jan_Cacot/;;;;Jan_Cacot
8;Адэля з Устроні;?;1800;1899;f;;;;;https://bis.nlb.by/ru/documents/132967;;;;;
9;Вінцэнт Дунін-Марцінкевіч;1808-1884;1808;1884;m;!!!;;TRUE;https://be.wikipedia.org/wiki/%D0%92%D1%96%D0%BD%D1%86%D1%8D%D0%BD%D1%82_%D0%94%D1%83%D0%BD%D1%96%D0%BD-%D0%9C%D0%B0%D1%80%D1%86%D1%96%D0%BD%D0%BA%D0%B5%D0%B2%D1%96%D1%87;;;;http://moykahany.ru/autor/vintsent-dunin-martsinkevich;;
10;Арцём Вярыга-Дарэўскі;1816-1884;1816;1884;m;;;;https://be.wikipedia.org/wiki/%D0%90%D1%80%D1%86%D1%91%D0%BC_%D0%86%D0%B3%D0%BD%D0%B0%D1%86%D1%8C%D0%B5%D0%B2%D1%96%D1%87_%D0%92%D1%8F%D1%80%D1%8B%D0%B3%D0%B0-%D0%94%D0%B0%D1%80%D1%8D%D1%9E%D1%81%D0%BA%D1%96 ;;;;;;
11;Ялегі Пранціш Вуль;1835-?;1835;1894;m;;;;https://be.wikipedia.org/wiki/%D0%AF%D0%BB%D0%B5%D0%B3%D1%96_%D0%9F%D1%80%D0%B0%D0%BD%D1%86%D1%96%D1%88_%D0%92%D1%83%D0%BB%D1%8C ;;;;;;
